,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4320,446,LBN,NGDP_R,Lebanon,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: We use a weighted average of the official and parallel exchange rates for 2019-21. Starting in 2022, the exchange rate applied throughout the series is the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Chain-weighted: Yes, from 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Primary domestic currency: Lebanese pound Data last updated: 09/2021",29238.73,29399.45,18583.74,22804.07,32947.14,40953.27,38179.4,44566.44,31994.74,18494.45,16012.25,22128.93,23123.6,24742.18,26728.92,28464.37,29613.83,32631.45,33904.07,33632.84,34002.8,35328.91,36530.09,37151.11,39937.44,40217.0,40840.0,44643.0,48691.0,53674.0,57954.0,58457.0,59942.0,62242.53,63769.41,64173.17,65178.36,65710.03,64618.95,59912.0,44934.0,,,,,,,2019.0
4321,446,LBN,NGDP_RPCH,Lebanon,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.467,0.55,-36.789,22.71,44.479,24.3,-6.773,16.729,-28.209,-42.195,-13.421,38.2,4.495,7.0,8.03,6.493,4.038,10.19,3.9,-0.8,1.1,3.9,3.4,1.7,7.5,0.7,1.549,9.312,9.067,10.234,7.974,0.868,2.54,3.838,2.453,0.633,1.566,0.816,-1.66,-7.284,-25.0,,,,,,,2019.0
4322,446,LBN,NGDP,Lebanon,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: We use a weighted average of the official and parallel exchange rates for 2019-21. Starting in 2022, the exchange rate applied throughout the series is the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Chain-weighted: Yes, from 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Primary domestic currency: Lebanese pound Data last updated: 09/2021",13.809,16.571,12.427,16.347,27.787,58.521,106.623,730.651,1337.53,1331.61,1946.12,4075.71,9369.59,12942.84,15096.49,17782.01,20139.19,23908.78,25854.9,25886.46,25646.77,26162.65,28387.91,29365.41,31887.58,32407.0,33199.0,37427.0,43897.0,53365.0,57954.0,60190.0,66384.0,70716.0,72561.0,75474.0,77469.0,80387.0,83329.0,80736.0,95795.59,,,,,,,2019.0
4323,446,LBN,NGDPD,Lebanon,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.019,3.841,2.62,3.61,4.268,3.565,2.779,3.253,3.268,2.681,2.8,4.391,5.47,7.432,8.985,10.967,12.82,15.53,17.054,17.168,17.013,17.355,18.831,19.48,21.153,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.036,46.909,48.133,50.066,51.389,53.325,55.276,52.371,19.008,,,,,,,2019.0
4324,446,LBN,PPPGDP,Lebanon,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",16.426,18.079,12.134,15.473,23.162,29.701,28.247,33.788,25.112,15.085,13.549,19.358,20.689,22.662,25.005,27.187,28.803,32.285,33.921,34.124,35.281,37.483,39.362,40.821,45.06,46.799,48.99,54.999,61.137,67.825,74.114,76.31,82.065,88.558,94.099,98.682,104.309,109.403,110.157,103.96,78.91,,,,,,,2019.0
4325,446,LBN,NGDP_D,Lebanon,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.047,0.056,0.067,0.072,0.084,0.143,0.279,1.639,4.18,7.2,12.154,18.418,40.52,52.311,56.48,62.471,68.006,73.269,76.259,76.968,75.425,74.055,77.711,79.043,79.844,80.58,81.29,83.836,90.154,99.424,100.0,102.965,110.747,113.614,113.787,117.61,118.857,122.336,128.954,134.758,213.192,,,,,,,2019.0
4326,446,LBN,NGDPRPC,Lebanon,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",11293760.5,11332328.14,7130729.42,8696964.18,12489175.51,15442456.24,14348449.26,16704333.53,11917517.18,6783374.42,5712475.64,7573991.95,7517098.57,7622057.68,7853688.9,8067266.61,8201769.18,8919534.01,9179354.03,8974113.09,8848504.04,8852147.17,8734649.18,8465794.21,8740237.0,8559064.83,8580264.55,9364327.79,10219014.87,11151820.08,11700636.21,11237361.17,10824505.84,10526358.49,10185104.82,9823405.35,9707422.23,9635787.59,9420484.2,8738994.03,6583309.92,,,,,,,2019.0
4327,446,LBN,NGDPRPPPPC,Lebanon,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",18803.46,18867.68,11872.26,14479.95,20793.76,25710.8,23889.34,27811.76,19841.98,11293.93,9510.94,12610.26,12515.54,12690.29,13075.94,13431.54,13655.48,14850.51,15283.1,14941.38,14732.25,14738.32,14542.69,14095.06,14551.99,14250.35,14285.65,15591.07,17014.07,18567.14,19480.89,18709.56,18022.18,17525.78,16957.62,16355.41,16162.3,16043.03,15684.57,14549.92,10960.83,,,,,,,2019.0
4328,446,LBN,NGDPPC,Lebanon,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5333.97,6387.52,4768.48,6234.47,10533.22,22066.71,40070.81,273861.77,498206.65,488405.82,694291.28,1394978.06,3045898.75,3987160.25,4435762.19,5039710.0,5577698.18,6535265.35,7000081.45,6907178.97,6674025.95,6555413.39,6787786.22,6691632.43,6978539.31,6896924.53,6974931.51,7850697.67,9212874.98,11087619.31,11700636.21,11570500.86,11987821.48,11959379.11,11589277.57,11553296.42,11537944.27,11788033.89,12148132.9,11776462.51,14035075.27,,,,,,,2019.0
4329,446,LBN,NGDPDPC,Lebanon,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1552.33,1480.69,1005.26,1376.82,1617.73,1344.14,1044.33,1219.35,1217.43,983.323,998.852,1502.89,1778.32,2289.63,2640.18,3108.25,3550.64,4245.06,4617.16,4580.86,4427.22,4348.53,4502.68,4438.89,4629.21,4575.07,4626.82,5207.76,6111.36,7354.97,7761.62,7675.29,7952.12,7933.25,7687.75,7663.88,7653.69,7819.59,8058.46,7639.1,2784.82,,,,,,,2019.0
