,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4365,666,LSO,NGDP_R,Lesotho,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2012/13 Chain-weighted: No Primary domestic currency: Lesotho loti Data last updated: 08/2021,5.982,6.167,6.509,6.703,6.993,7.225,7.519,7.68,8.274,8.731,9.184,9.622,10.22,10.614,11.089,11.401,11.962,12.378,12.552,12.752,13.377,13.815,14.033,14.604,14.954,15.42,16.101,16.905,17.54,17.604,18.502,19.438,20.438,20.8,21.23,21.921,22.335,21.731,21.51,21.178,20.035,20.599,20.932,21.267,21.659,21.715,22.143,2019.0
4366,666,LSO,NGDP_RPCH,Lesotho,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.825,3.079,5.556,2.98,4.329,3.309,4.072,2.14,7.738,5.52,5.191,4.767,6.222,3.847,4.475,2.814,4.921,3.482,1.404,1.59,4.904,3.276,1.576,4.071,2.398,3.112,4.417,4.993,3.76,0.362,5.1,5.061,5.146,1.772,2.068,3.255,1.885,-2.705,-1.015,-1.544,-5.395,2.811,1.621,1.6,1.84,0.26,1.972,2019.0
4367,666,LSO,NGDP,Lesotho,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2012/13 Chain-weighted: No Primary domestic currency: Lesotho loti Data last updated: 08/2021,0.34,0.386,0.399,0.451,0.522,0.636,0.756,0.886,1.123,1.347,1.603,1.941,2.325,2.66,3.049,3.501,3.928,4.439,4.907,5.32,5.876,6.68,7.458,7.954,8.658,9.497,10.692,12.538,14.636,15.153,16.95,19.131,20.97,23.754,27.396,30.419,31.197,30.627,31.914,32.938,32.718,35.433,37.771,40.192,42.833,45.122,48.267,2019.0
4368,666,LSO,NGDPD,Lesotho,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.437,0.443,0.369,0.406,0.363,0.29,0.333,0.435,0.494,0.514,0.62,0.703,0.815,0.814,0.859,0.965,0.914,0.963,0.888,0.871,0.847,0.701,0.767,1.109,1.384,1.484,1.519,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.207,2.219,2.356,2.32,2.228,1.999,2.478,2.592,2.718,2.845,2.943,3.091,2019.0
4369,666,LSO,PPPGDP,Lesotho,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.621,0.701,0.785,0.84,0.908,0.968,1.028,1.076,1.2,1.316,1.436,1.555,1.69,1.796,1.917,2.012,2.15,2.263,2.32,2.39,2.564,2.708,2.794,2.965,3.117,3.315,3.568,3.848,4.069,4.11,4.372,4.688,4.795,5.407,5.926,6.402,6.225,5.563,5.638,5.65,5.41,5.762,6.017,6.258,6.519,6.678,6.95,2019.0
4370,666,LSO,NGDP_D,Lesotho,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",5.678,6.255,6.133,6.73,7.467,8.798,10.055,11.539,13.576,15.431,17.455,20.173,22.748,25.067,27.493,30.707,32.835,35.859,39.091,41.72,43.928,48.353,53.149,54.464,57.897,61.591,66.405,74.166,83.439,86.08,91.614,98.424,102.605,114.199,129.04,138.763,139.681,140.939,148.369,155.528,163.301,172.015,180.442,188.985,197.765,207.791,217.977,2019.0
4371,666,LSO,NGDPRPC,Lesotho,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4669.99,4689.81,4826.11,4844.9,5149.15,5197.14,5276.69,5148.35,5400.33,5538.64,5667.23,5855.8,5983.8,6066.99,6208.34,6072.82,6423.14,6641.71,6729.8,6831.56,7161.07,7389.99,7500.71,7800.07,7980.95,8222.99,8579.64,8947.62,9221.8,9193.12,9597.2,10015.27,10460.02,10573.99,10720.36,10995.09,11127.25,10753.71,10573.24,10340.26,9716.79,9870.35,9910.26,9948.26,10010.06,9915.99,9990.53,2016.0
4372,666,LSO,NGDPRPPPPC,Lesotho,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1195.43,1200.5,1235.39,1240.2,1318.08,1330.37,1350.73,1317.88,1382.38,1417.78,1450.7,1498.97,1531.73,1553.03,1589.21,1554.52,1644.2,1700.15,1722.69,1748.75,1833.09,1891.69,1920.03,1996.66,2042.96,2104.92,2196.22,2290.41,2360.6,2353.26,2456.69,2563.71,2677.56,2706.73,2744.2,2814.53,2848.36,2752.74,2706.54,2646.9,2487.3,2526.61,2536.83,2546.56,2562.38,2538.3,2557.38,2016.0
4373,666,LSO,NGDPPC,Lesotho,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",265.183,293.329,296.002,326.078,384.464,457.231,530.553,594.048,733.165,854.658,989.203,1181.32,1361.2,1520.8,1706.84,1864.77,2109.04,2381.67,2630.74,2850.16,3145.7,3573.25,3986.53,4248.24,4620.75,5064.62,5697.28,6636.13,7694.61,7913.44,8792.38,9857.39,10732.47,12075.4,13833.6,15257.1,15542.64,15156.16,15687.4,16082.02,15867.65,16978.48,17882.26,18800.73,19796.42,20604.55,21777.06,2016.0
4374,666,LSO,NGDPDPC,Lesotho,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,1011.42,1222.2,1324.61,1261.44,1191.99,1250.63,1106.83,1105.77,1166.07,1140.52,1087.59,969.708,1187.51,1227.37,1271.6,1314.76,1343.73,1394.55,2016.0
