,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4455,672,LBY,NGDP_R,Libya,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank. Outdated; last submitted by authorities for 2014 Latest actual data: 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Libyan dinar Data last updated: 09/2021,88.662,70.894,71.97,68.581,62.884,63.266,56.084,47.838,51.464,55.169,57.222,66.18,64.385,61.962,63.161,55.331,56.787,56.443,56.23,56.49,58.569,57.536,56.984,64.402,67.275,75.261,80.153,85.246,69.798,67.712,69.863,23.294,52.344,33.066,15.536,13.512,12.514,20.525,24.194,27.385,11.031,24.618,25.911,27.343,27.656,28.988,30.289,2014.0
4456,672,LBY,NGDP_RPCH,Libya,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.606,-20.04,1.518,-4.709,-8.306,0.607,-11.353,-14.702,7.579,7.199,3.72,15.655,-2.712,-3.763,1.935,-12.397,2.633,-0.607,-0.377,0.462,3.681,-1.764,-0.959,13.016,4.461,11.87,6.5,6.354,-18.121,-2.988,3.176,-66.657,124.709,-36.829,-53.017,-13.023,-7.389,64.014,17.879,13.188,-59.719,123.173,5.252,5.526,1.143,4.819,4.487,2014.0
4457,672,LBY,NGDP,Libya,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank. Outdated; last submitted by authorities for 2014 Latest actual data: 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Libyan dinar Data last updated: 09/2021,11.529,9.96,9.93,9.463,8.861,8.716,7.556,6.621,7.169,7.966,8.672,9.515,10.107,9.886,10.559,11.314,12.904,13.938,14.005,16.686,19.602,20.64,26.012,33.618,43.059,61.932,72.198,85.246,90.345,63.689,87.375,39.171,100.627,65.994,30.871,23.778,25.786,41.855,57.401,54.72,26.614,121.175,129.614,133.128,132.577,137.767,143.711,2014.0
4458,672,LBY,NGDPD,Libya,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",38.941,33.641,33.541,31.963,29.93,29.44,23.987,22.294,25.067,26.594,30.644,33.908,34.358,30.921,28.796,32.69,35.683,36.531,29.96,35.975,38.271,34.112,20.471,26.186,32.996,47.335,54.963,67.69,73.917,50.808,68.974,31.999,79.759,51.896,24.262,17.216,18.563,30.211,41.432,39.497,19.21,27.3,29.202,29.993,29.869,31.039,32.378,2014.0
4459,672,LBY,PPPGDP,Libya,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",108.353,94.836,102.224,101.224,96.167,99.81,90.26,78.895,87.867,97.886,105.327,125.937,125.313,123.455,128.532,114.959,120.146,121.476,122.379,124.678,132.196,132.79,133.566,153.931,165.115,190.507,209.152,228.452,190.641,186.129,194.35,66.148,148.702,99.491,53.661,48.497,51.056,69.056,83.347,96.026,39.147,90.513,97.889,105.756,109.403,117.166,124.96,2014.0
4460,672,LBY,NGDP_D,Libya,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",13.003,14.049,13.797,13.798,14.091,13.776,13.472,13.841,13.93,14.439,15.155,14.378,15.697,15.955,16.718,20.448,22.723,24.694,24.906,29.538,33.468,35.873,45.648,52.2,64.004,82.29,90.076,100.0,129.437,94.058,125.066,168.158,192.242,199.581,198.712,175.974,206.059,203.927,237.248,199.816,241.26,492.215,500.223,486.881,479.385,475.251,474.466,2014.0
4461,672,LBY,NGDPRPC,Libya,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",29671.15,22680.44,21987.53,20106.72,17672.71,17878.8,15255.83,12479.04,11899.28,12201.36,13432.3,15178.83,14436.04,13588.12,13582.93,11648.57,11732.93,11472.08,11223.49,11098.18,11306.82,10938.44,10671.24,11882.23,12209.6,13463.44,14086.63,14748.36,11870.41,11361.12,11564.65,3932.65,8330.55,5277.14,2482.12,2137.52,1960.01,3182.9,3714.87,4163.18,1660.4,3668.9,3823.39,3994.75,4000.46,4151.75,4295.14,2014.0
4462,672,LBY,NGDPRPPPPC,Libya,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",99828.95,76308.61,73977.31,67649.3,59460.03,60153.44,51328.41,41985.89,40035.28,41051.61,45193.13,51069.37,48570.23,45717.38,45699.95,39191.74,39475.6,38597.97,37761.56,37339.96,38041.94,36802.53,35903.53,39977.91,41079.35,45297.92,47394.62,49621.03,39938.13,38224.64,38909.42,13231.46,28028.24,17755.0,8351.11,7191.72,6594.48,10708.89,12498.71,14007.05,5586.42,12344.05,12863.83,13440.4,13459.59,13968.6,14451.05,2014.0
4463,672,LBY,NGDPPC,Libya,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3858.08,3186.28,3033.69,2774.31,2490.24,2463.06,2055.3,1727.24,1657.6,1761.73,2035.6,2182.35,2266.06,2167.95,2270.8,2381.86,2666.1,2832.89,2795.37,3278.16,3784.12,3923.95,4871.24,6202.56,7814.65,11079.03,12688.62,14748.36,15364.73,10686.09,14463.47,6613.08,16014.78,10532.16,4932.27,3761.48,4038.78,6490.77,8813.43,8318.69,4005.88,18058.88,19125.46,19449.71,19177.57,19731.21,20378.97,2014.0
4464,672,LBY,NGDPDPC,Libya,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13031.83,10762.56,10247.11,9371.01,8411.48,8319.67,6524.78,5815.61,5795.81,5881.53,7193.54,7776.95,7703.53,6780.86,6192.59,6882.21,7372.45,7424.95,5980.04,7067.88,7388.14,6485.16,3833.57,4831.42,5988.39,8467.72,9659.64,11711.14,12570.87,8524.77,11417.42,5402.25,12693.64,8282.15,3876.41,2723.37,2907.46,4685.07,6361.58,6004.47,2891.46,4068.61,4308.91,4381.96,4320.65,4445.38,4591.32,2014.0
