,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4545,137,LUX,NGDP_R,Luxembourg,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000. Primary domestic currency: Euro Data last updated: 08/2021",11.447,11.539,11.659,11.878,12.44,13.136,14.448,15.019,16.29,17.886,18.837,20.466,20.838,21.714,22.543,22.866,23.213,24.591,26.187,28.392,30.789,31.569,32.774,33.309,34.512,35.607,37.45,40.579,40.06,38.314,40.178,41.198,41.053,42.553,44.382,46.293,48.41,49.282,50.815,51.983,51.3,54.128,56.209,57.903,59.467,60.953,62.477,2020.0
4546,137,LUX,NGDP_RPCH,Luxembourg,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.17,0.798,1.039,1.887,4.73,5.596,9.983,3.951,8.464,9.798,5.32,8.645,1.819,4.201,3.821,1.432,1.515,5.937,6.492,8.421,8.442,2.532,3.819,1.63,3.612,3.173,5.178,8.354,-1.279,-4.358,4.865,2.539,-0.353,3.654,4.298,4.305,4.574,1.801,3.111,2.298,-1.314,5.513,3.845,3.014,2.7,2.5,2.5,2020.0
4547,137,LUX,NGDP,Luxembourg,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000. Primary domestic currency: Euro Data last updated: 08/2021",4.676,5.106,5.157,5.674,6.29,6.667,7.326,7.62,8.495,9.702,10.475,11.588,12.239,13.515,14.528,15.08,15.765,16.388,17.38,19.848,23.08,23.772,25.095,26.188,27.936,30.031,33.808,37.179,38.129,36.977,40.178,43.165,44.112,46.5,49.824,52.066,54.867,56.814,60.053,63.516,64.143,70.14,74.267,77.872,81.505,85.082,88.845,2020.0
4548,137,LUX,NGDPD,Luxembourg,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.46,5.572,4.575,4.491,4.403,4.562,6.638,8.244,9.339,9.944,12.68,13.738,15.39,15.778,17.558,20.655,20.548,18.503,19.342,21.174,21.326,21.291,23.712,29.615,34.733,37.382,42.452,50.959,56.072,51.518,53.308,60.073,56.711,61.758,66.209,57.773,60.716,64.159,70.952,71.113,73.205,83.771,89.683,95.406,101.082,106.664,112.253,2020.0
4549,137,LUX,PPPGDP,Luxembourg,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.703,6.292,6.75,7.147,7.755,8.448,9.479,10.097,11.338,12.937,14.135,15.876,16.533,17.636,18.701,19.367,20.02,21.575,23.234,25.545,28.329,29.701,31.316,32.454,34.529,36.742,39.837,44.332,44.604,42.933,45.563,47.691,48.646,51.94,56.354,59.097,64.4,67.28,71.031,73.963,73.87,80.751,86.164,90.873,95.454,99.965,104.588,2020.0
4550,137,LUX,NGDP_D,Luxembourg,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",40.849,44.253,44.236,47.764,50.564,50.75,50.708,50.74,52.149,54.245,55.609,56.622,58.734,62.242,64.446,65.949,67.916,66.643,66.369,69.905,74.96,75.302,76.568,78.622,80.945,84.341,90.275,91.621,95.179,96.509,100.0,104.774,107.452,109.275,112.263,112.47,113.338,115.284,118.179,122.187,125.035,129.581,132.127,134.486,137.061,139.585,142.204,2020.0
4551,137,LUX,NGDPRPC,Luxembourg,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",31431.18,31586.59,31888.74,32490.33,33999.07,35833.11,39228.46,40514.39,43567.25,47367.22,49325.42,52869.55,53104.41,54556.66,55827.77,56362.17,56396.06,58984.88,62040.54,66430.56,71008.3,71910.71,73807.91,74299.58,75856.34,77199.23,79836.96,85216.73,82802.78,77637.08,80024.94,80490.19,78217.71,79236.15,80741.52,82231.36,84009.52,83434.83,84410.26,84677.65,81934.75,84839.52,86458.93,87403.78,88089.97,88608.66,89130.39,2020.0
4552,137,LUX,NGDPRPPPPC,Luxembourg,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",42909.99,43122.16,43534.65,44355.94,46415.69,48919.52,53554.88,55310.43,59478.2,64665.94,67339.29,72177.75,72498.39,74481.01,76216.32,76945.9,76992.16,80526.43,84698.04,90691.31,96940.86,98172.83,100762.89,101434.12,103559.42,105392.74,108993.78,116338.28,113042.73,105990.5,109250.41,109885.58,106783.18,108173.55,110228.7,112262.63,114690.18,113905.61,115237.28,115602.31,111857.69,115823.3,118034.13,119324.04,120260.83,120968.94,121681.22,2020.0
4553,137,LUX,NGDPPC,Luxembourg,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12839.4,13978.07,14106.32,15518.56,17191.26,18185.33,19891.94,20556.94,22719.67,25694.55,27429.29,29935.93,31190.26,33957.03,35979.03,37170.49,38302.23,39309.28,41175.54,46438.25,53227.63,54150.11,56513.01,58415.79,61402.1,65110.47,72072.93,78076.05,78810.83,74927.05,80024.94,84332.41,84046.58,86584.96,90642.56,92485.94,95214.4,96186.68,99755.15,103464.77,102447.18,109936.24,114235.3,117546.21,120736.75,123684.54,126746.64,2020.0
4554,137,LUX,NGDPDPC,Luxembourg,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",17738.61,15251.87,12514.72,12284.43,12033.02,12444.2,18023.02,22239.62,24976.67,26333.59,33201.39,35490.27,39219.91,39643.66,43483.05,50911.34,49921.11,44382.36,45822.19,49541.93,49183.43,48498.77,53399.45,66061.09,76343.55,81048.07,90499.47,107014.12,115898.76,104393.46,106177.04,117366.28,108050.47,114996.72,120449.74,102624.73,105364.03,108621.94,117859.72,115838.95,116921.11,131301.6,137947.81,144013.31,149736.4,155059.54,160140.74,2020.0
