,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4635,674,MDG,NGDP_R,Madagascar,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 data are preliminary National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 09/2021,10238.32,9234.97,9059.5,9141.04,9301.94,9409.5,9593.95,9706.67,10037.37,10446.38,10773.24,10093.84,10213.03,10427.5,10423.11,10598.07,10826.38,11226.25,11665.99,12214.2,12758.57,13521.56,11843.81,13002.71,13686.27,14337.16,15111.16,15974.09,17046.37,16368.15,16469.5,16729.46,17233.21,17629.64,18218.33,18788.98,19539.25,20307.79,20956.5,21880.93,20542.18,21140.56,22145.88,23276.69,24448.38,25661.34,26911.28,2018.0
4636,674,MDG,NGDP_RPCH,Madagascar,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.788,-9.8,-1.9,0.9,1.76,1.156,1.96,1.175,3.407,4.075,3.129,-6.306,1.181,2.1,-0.042,1.679,2.154,3.693,3.917,4.699,4.457,5.98,-12.408,9.785,5.257,4.756,5.399,5.711,6.713,-3.979,0.619,1.578,3.011,2.3,3.339,3.132,3.993,3.933,3.194,4.411,-6.118,2.913,4.755,5.106,5.034,4.961,4.871,2018.0
4637,674,MDG,NGDP,Madagascar,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 data are preliminary National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 09/2021,219.807,258.651,334.696,403.456,450.466,503.822,588.145,687.055,897.581,1018.39,1174.8,1194.71,1384.92,1555.25,2160.77,3274.39,4005.91,4340.45,4790.57,5376.28,6265.67,7166.09,7312.52,7891.24,9465.27,11736.27,13701.55,15974.09,18322.51,18812.6,20863.37,23393.8,25415.47,27417.73,30240.59,33216.18,37637.59,41058.84,45886.3,51035.22,49919.48,54456.03,60696.56,67767.11,75484.65,83884.42,92984.65,2018.0
4638,674,MDG,NGDPD,Madagascar,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.179,14.101,15.402,16.781,18.187,19.676,21.264,2018.0
4639,674,MDG,PPPGDP,Madagascar,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.867,8.755,9.119,9.562,10.081,10.52,10.942,11.345,12.145,13.135,14.053,13.612,14.087,14.724,15.032,15.605,16.233,17.123,17.994,19.105,20.408,22.116,19.674,22.025,23.805,25.719,27.944,30.338,32.996,31.886,32.469,33.667,34.211,35.257,36.702,37.486,39.997,40.515,42.807,45.495,43.227,46.089,49.609,53.383,57.348,61.501,65.833,2018.0
4640,674,MDG,NGDP_D,Madagascar,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",2.147,2.801,3.694,4.414,4.843,5.354,6.13,7.078,8.942,9.749,10.905,11.836,13.56,14.915,20.731,30.896,37.001,38.663,41.064,44.017,49.109,52.997,61.741,60.689,69.159,81.859,90.672,100.0,107.486,114.934,126.679,139.836,147.48,155.521,165.99,176.785,192.626,202.183,218.96,233.241,243.01,257.59,274.076,291.137,308.751,326.89,345.523,2018.0
4641,674,MDG,NGDPRPC,Madagascar,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1170560.12,1027992.81,982518.65,966043.86,957546.82,942730.5,934684.63,918888.23,922742.33,932250.49,928836.6,845180.42,830237.74,822652.53,797694.47,786475.4,778725.29,782433.81,787774.4,799226.63,809204.3,831536.57,706455.46,752509.19,768761.88,781882.47,800367.66,821986.22,852469.06,795763.01,778639.48,769384.69,771179.1,767803.17,772296.89,775312.11,785332.64,795177.16,789657.81,794552.08,719800.56,747639.27,764101.28,783805.37,796441.49,823897.05,844130.7,2010.0
4642,674,MDG,NGDPRPPPPC,Madagascar,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2335.3,2050.87,1960.15,1927.28,1910.33,1880.77,1864.72,1833.2,1840.89,1859.86,1853.05,1686.16,1656.34,1641.21,1591.42,1569.04,1553.58,1560.97,1571.63,1594.48,1614.38,1658.94,1409.4,1501.27,1533.7,1559.88,1596.75,1639.88,1700.7,1587.57,1553.41,1534.94,1538.52,1531.79,1540.75,1546.77,1566.76,1586.4,1575.39,1585.15,1436.02,1491.56,1524.4,1563.71,1588.92,1643.7,1684.06,2010.0
4643,674,MDG,NGDPPC,Madagascar,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",25130.78,28791.82,36298.31,42638.1,46371.23,50477.52,57299.64,65040.55,82515.29,90882.44,101287.64,100036.18,112582.47,122698.04,165366.67,242989.82,288138.94,302515.91,323495.14,351792.55,397396.17,440693.35,436174.58,456691.78,531666.96,640041.74,725707.15,821986.22,916287.36,914603.8,986371.12,1075876.1,1137331.94,1194092.24,1281934.86,1370638.92,1512751.13,1607710.46,1729033.27,1853217.8,1749185.16,1925846.07,2094218.64,2281949.73,2459021.82,2693238.92,2916665.43,2010.0
4644,674,MDG,NGDPDPC,Madagascar,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",594.73,529.787,518.939,495.274,402.08,380.975,423.6,304.151,293.209,283.399,338.948,272.525,301.997,320.564,269.561,284.823,354.742,297.115,297.254,279.921,293.607,334.442,319.216,368.797,284.488,319.537,338.751,438.655,536.352,467.54,471.959,531.266,518.155,541.069,530.863,467.235,476.226,515.935,518.489,512.176,461.8,498.682,531.409,565.085,592.477,631.723,666.988,2010.0
