,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4680,676,MWI,NGDP_R,Malawi,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Since 2011 we have used IMF staff's and Malawian authorities' combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Rebased to 2017 from 2010 Chain-weighted: No Primary domestic currency: Malawian kwacha Data last updated: 09/2021,1801.66,1707.16,1750.12,1814.76,1912.26,1999.67,1995.38,2027.81,2092.24,2120.37,2241.07,2436.72,2258.03,2476.88,2221.43,2528.65,2780.98,2964.17,2995.62,3101.7,3125.75,2998.35,3051.14,3225.22,3400.05,3511.19,3676.21,4029.13,4336.94,4698.13,5021.08,5264.81,5364.09,5643.02,5964.67,6140.63,6280.02,6531.22,6818.06,7189.52,7255.13,7414.74,7637.18,7980.85,8379.9,8882.69,9415.65,2019.0
4681,676,MWI,NGDP_RPCH,Malawi,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.395,-5.245,2.516,3.694,5.373,4.571,-0.215,1.625,3.177,1.345,5.692,8.73,-7.333,9.692,-10.313,13.83,9.979,6.587,1.061,3.541,0.775,-4.076,1.76,5.706,5.42,3.269,4.7,9.6,7.64,8.328,6.874,4.854,1.886,5.2,5.7,2.95,2.27,4.0,4.392,5.448,0.913,2.2,3.0,4.5,5.0,6.0,6.0,2019.0
4682,676,MWI,NGDP,Malawi,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Since 2011 we have used IMF staff's and Malawian authorities' combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Rebased to 2017 from 2010 Chain-weighted: No Primary domestic currency: Malawian kwacha Data last updated: 09/2021,2.454,2.705,3.041,3.509,4.169,4.749,5.366,6.26,8.345,10.253,11.522,15.082,15.832,22.259,25.594,52.148,85.257,106.928,132.81,191.167,253.471,301.64,377.436,440.249,533.018,609.565,765.649,873.554,1052.79,1230.57,1474.65,1763.87,2114.44,2831.66,3618.12,4503.57,5552.07,6531.22,7235.94,8219.85,8815.34,9773.68,10884.75,12097.4,13354.38,14781.33,16358.09,2019.0
4683,676,MWI,NGDPD,Malawi,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.15,12.008,11.833,11.892,12.157,12.585,2019.0
4684,676,MWI,PPPGDP,Malawi,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.298,3.421,3.723,4.012,4.38,4.725,4.81,5.009,5.35,5.635,6.179,6.945,6.583,7.392,6.771,7.869,8.813,9.555,9.765,10.254,10.567,10.365,10.712,11.546,12.499,13.312,14.368,16.173,17.743,19.343,20.922,22.393,22.415,24.722,24.747,24.133,25.1,26.013,27.804,29.844,30.479,32.272,34.155,36.541,39.243,42.501,45.985,2019.0
4685,676,MWI,NGDP_D,Malawi,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.136,0.158,0.174,0.193,0.218,0.237,0.269,0.309,0.399,0.484,0.514,0.619,0.701,0.899,1.152,2.062,3.066,3.607,4.433,6.163,8.109,10.06,12.37,13.65,15.677,17.361,20.827,21.681,24.275,26.193,29.369,33.503,39.418,50.18,60.659,73.341,88.408,100.0,106.129,114.331,121.505,131.814,142.523,151.58,159.362,166.406,173.733,2019.0
4686,676,MWI,NGDPRPC,Malawi,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",274494.01,252971.08,252789.95,255007.72,259552.95,259682.3,245334.36,234502.72,227786.03,219335.78,223242.66,237141.6,217120.92,236764.36,210912.33,237084.32,255687.37,265900.62,261439.99,263436.45,258958.43,242909.9,238122.79,246228.84,254023.61,257145.34,261791.42,279035.12,292125.01,307594.78,319536.4,325667.64,322520.49,329793.5,338833.33,339063.87,337053.48,340722.81,345729.3,354359.67,347583.15,345285.75,345688.5,351131.88,358367.49,369235.56,380433.21,2016.0
4687,676,MWI,NGDPRPPPPC,Malawi,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1093.28,1007.56,1006.83,1015.67,1033.77,1034.29,977.139,933.998,907.246,873.589,889.15,944.508,864.768,943.005,840.04,944.28,1018.37,1059.05,1041.29,1049.24,1031.4,967.482,948.416,980.701,1011.75,1024.18,1042.69,1111.37,1163.5,1225.12,1272.68,1297.1,1284.56,1313.53,1349.53,1350.45,1342.45,1357.06,1377.0,1411.37,1384.38,1375.23,1376.84,1398.52,1427.34,1470.62,1515.22,2016.0
4688,676,MWI,NGDPPC,Malawi,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",373.884,400.906,439.278,493.013,565.824,616.664,659.705,723.92,908.539,1060.55,1147.76,1467.78,1522.28,2127.71,2429.99,4889.33,7838.7,9591.95,11590.86,16236.39,20999.26,24437.21,29456.62,33610.73,39822.75,44642.16,54523.63,60497.54,70913.45,80567.44,93845.15,109108.73,127132.51,165489.78,205533.66,248671.39,297983.51,340722.81,366919.37,405143.41,422330.84,455135.66,492685.94,532246.44,571101.97,614429.93,660937.96,2016.0
4689,676,MWI,NGDPDPC,Malawi,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,565.798,543.551,520.633,508.561,505.322,508.469,2016.0
