,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4725,548,MYS,NGDP_R,Malaysia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2020 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2021",163.494,174.844,185.231,196.808,212.085,210.227,212.65,224.109,246.381,268.702,292.905,320.87,349.383,383.957,419.324,460.542,506.606,543.727,503.715,534.598,580.951,583.958,615.44,651.066,695.226,729.82,770.576,819.115,858.696,845.697,909.361,957.498,1009.91,1057.31,1120.82,1176.94,1229.31,1300.77,1363.77,1424.31,1343.88,1390.92,1474.37,1558.41,1641.01,1723.06,1809.21,2020.0
4726,548,MYS,NGDP_RPCH,Malaysia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.444,6.942,5.941,6.25,7.762,-0.876,1.153,5.389,9.938,9.06,9.007,9.547,8.886,9.896,9.211,9.83,10.002,7.327,-7.359,6.131,8.671,0.518,5.391,5.789,6.783,4.976,5.584,6.299,4.832,-1.514,7.528,5.293,5.474,4.694,6.007,5.007,4.45,5.813,4.843,4.439,-5.647,3.5,6.0,5.7,5.3,5.0,5.0,2020.0
4727,548,MYS,NGDP,Malaysia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2020 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2021",58.245,62.949,68.375,76.008,86.918,84.645,78.225,87.0,99.108,112.898,127.768,147.168,164.112,187.543,212.882,242.301,276.348,306.914,308.49,327.572,388.168,384.006,417.367,456.095,516.302,569.371,625.1,696.91,806.48,746.679,833.104,924.685,985.049,1033.09,1122.16,1176.94,1249.7,1372.31,1447.76,1513.16,1416.61,1508.22,1667.73,1815.24,1949.33,2091.98,2247.39,2020.0
4728,548,MYS,NGDPD,Malaysia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.236,53.514,64.424,72.858,81.121,96.75,109.839,109.098,78.609,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.412,202.733,241.763,211.854,258.641,302.184,318.91,327.869,342.868,301.355,301.255,319.109,358.789,365.279,337.008,371.114,415.375,458.209,495.059,534.163,575.911,2020.0
4729,548,MYS,PPPGDP,Malaysia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.347,54.253,61.028,67.382,75.233,76.932,79.385,85.732,97.576,110.589,125.061,141.635,157.735,177.453,197.938,221.953,248.624,271.442,254.298,273.692,304.161,312.623,334.612,360.969,395.799,428.524,466.415,509.194,544.035,539.233,586.796,630.696,677.647,701.7,745.387,750.777,783.874,829.297,890.231,946.385,903.704,969.039,1055.45,1142.16,1230.11,1319.67,1414.37,2020.0
4730,548,MYS,NGDP_D,Malaysia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",35.625,36.003,36.913,38.62,40.983,40.264,36.786,38.82,40.226,42.016,43.621,45.865,46.972,48.845,50.768,52.612,54.549,56.446,61.243,61.274,66.816,65.759,67.816,70.054,74.264,78.015,81.121,85.081,93.919,88.292,91.614,96.573,97.538,97.709,100.12,100.0,101.658,105.5,106.159,106.238,105.412,108.433,113.115,116.48,118.789,121.411,124.22,2020.0
4731,548,MYS,NGDPRPC,Malaysia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",11774.5,12288.25,12694.18,13159.96,13836.0,13286.25,13080.65,13435.26,14412.93,15347.23,16034.29,17300.19,18323.47,19588.13,20818.69,22268.0,23871.06,24976.78,22554.24,23335.21,24726.69,24207.12,24889.29,25713.51,26837.42,27564.41,28719.08,30225.65,31112.17,30115.27,31808.52,32946.74,34222.57,34994.39,36498.66,37739.25,38861.08,40620.31,42114.55,43793.93,40799.37,41694.72,43643.67,45563.2,47402.76,49197.03,51081.02,2020.0
4732,548,MYS,NGDPRPPPPC,Malaysia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7506.77,7834.3,8093.1,8390.06,8821.06,8470.57,8339.5,8565.57,9188.88,9784.54,10222.57,11029.63,11682.02,12488.3,13272.84,14196.84,15218.86,15923.8,14379.32,14877.23,15764.36,15433.11,15868.02,16393.5,17110.04,17573.53,18309.68,19270.19,19835.39,19199.82,20279.34,21005.0,21818.4,22310.47,23269.51,24060.44,24775.66,25897.24,26849.89,27920.57,26011.4,26582.23,27824.77,29048.56,30221.36,31365.28,32566.41,2020.0
4733,548,MYS,NGDPPC,Malaysia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4194.7,4424.14,4685.84,5082.41,5670.35,5349.52,4811.81,5215.6,5797.67,6448.33,6994.33,7934.78,8606.9,9567.79,10569.22,11715.66,13021.4,14098.48,13812.88,14298.52,16521.37,15918.4,16878.93,18013.23,19930.52,21504.44,23297.24,25716.24,29220.29,26589.24,29141.13,31817.67,33380.18,34192.6,36542.33,37739.28,39505.49,42854.42,44708.38,46525.78,43007.26,45210.94,49367.37,53072.03,56309.22,59730.54,63452.7,2020.0
4734,548,MYS,NGDPDPC,Malaysia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1926.96,1920.13,2006.48,2189.55,2419.5,2154.46,1864.03,2070.01,2213.87,2380.51,2585.82,2885.31,3378.72,3716.95,4027.51,4678.02,5175.56,5011.56,3519.77,3762.77,4347.73,4189.05,4441.82,4740.32,5244.87,5678.35,6351.18,7480.94,8759.52,7544.11,9046.99,10397.92,10806.84,10851.66,11165.26,9663.11,9523.3,9965.12,11079.79,11231.41,10231.34,11124.67,12295.73,13396.64,14300.47,15251.52,16260.22,2020.0
4735,548,MYS,PPPPC,Malaysia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3337.81,3813.0,4182.35,4505.6,4908.03,4862.04,4883.19,5139.62,5708.05,6316.42,6846.15,7636.47,8272.48,9053.02,9827.28,10731.81,11715.05,12469.05,11386.39,11946.65,12945.83,12959.34,13532.22,14256.27,15278.81,16184.81,17383.12,18789.43,19711.42,19202.1,20525.54,21701.74,22963.3,23224.57,24273.0,24074.09,24779.86,25897.24,27491.29,29098.95,27435.9,29048.36,31243.07,33393.32,35533.39,37679.5,39933.12,2020.0
4737,548,MYS,PPPSH,Malaysia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.346,0.364,0.385,0.399,0.412,0.395,0.386,0.392,0.412,0.433,0.454,0.485,0.476,0.513,0.544,0.576,0.611,0.63,0.568,0.583,0.604,0.593,0.608,0.618,0.627,0.628,0.63,0.635,0.647,0.64,0.653,0.662,0.675,0.667,0.683,0.674,0.678,0.681,0.69,0.701,0.685,0.67,0.677,0.691,0.704,0.716,0.728,2020.0
