,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4905,867,MHL,NGDP_R,Marshall Islands,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04. Base year is Fiscal Year 2004 (Calendar Year 2003/2004). Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,0.154,0.153,0.151,0.154,0.164,0.17,0.168,0.167,0.171,0.171,0.177,0.165,0.17,0.181,0.18,0.176,0.183,0.181,0.184,0.186,0.193,0.198,0.212,0.207,0.204,0.211,0.216,0.22,0.224,0.228,2020.0
4906,867,MHL,NGDP_RPCH,Marshall Islands,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,-0.692,-1.131,1.498,6.731,3.729,-1.57,-0.269,2.349,-0.177,3.4,-6.389,2.606,6.822,-0.646,-2.184,3.885,-1.023,1.55,1.437,3.276,3.052,6.845,-2.448,-1.5,3.5,2.5,2.0,1.8,1.6,2020.0
4907,867,MHL,NGDP,Marshall Islands,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04. Base year is Fiscal Year 2004 (Calendar Year 2003/2004). Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,0.111,0.114,0.115,0.115,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.236,0.244,0.241,0.254,0.265,0.276,0.287,0.297,2020.0
4908,867,MHL,NGDPD,Marshall Islands,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,0.111,0.114,0.115,0.115,0.122,0.132,0.131,0.133,0.137,0.142,0.148,0.152,0.15,0.16,0.172,0.181,0.185,0.182,0.184,0.201,0.212,0.222,0.236,0.244,0.241,0.254,0.265,0.276,0.287,0.297,2020.0
4909,867,MHL,PPPGDP,Marshall Islands,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,0.103,0.104,0.104,0.108,0.118,0.124,0.125,0.128,0.135,0.139,0.147,0.14,0.145,0.157,0.159,0.158,0.167,0.169,0.173,0.177,0.187,0.197,0.214,0.211,0.216,0.229,0.241,0.251,0.261,0.271,2020.0
4910,867,MHL,NGDP_D,Marshall Islands,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,72.114,74.343,76.168,74.548,74.413,77.441,78.153,79.298,79.859,82.899,84.058,91.913,88.328,88.546,95.688,102.566,101.078,100.637,100.0,108.075,110.06,111.681,111.139,117.818,118.525,120.421,122.829,125.286,127.792,130.348,2020.0
4911,867,MHL,NGDPRPC,Marshall Islands,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,3130.23,3062.47,2979.49,3001.01,3246.86,3423.87,3351.17,3311.34,3341.08,3316.18,3407.94,3148.87,3243.17,3422.39,3385.08,3298.9,3414.38,3366.94,3406.48,3442.63,3542.23,3636.84,3862.62,3745.61,3660.14,3758.18,3821.57,3867.06,3905.42,3936.42,2018.0
4912,867,MHL,NGDPRPPPPC,Marshall Islands,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,3034.52,2968.83,2888.39,2909.25,3147.58,3319.18,3248.7,3210.09,3238.93,3214.79,3303.74,3052.59,3144.01,3317.75,3281.58,3198.04,3309.99,3263.99,3302.33,3337.37,3433.93,3525.64,3744.52,3631.09,3548.23,3643.28,3704.72,3748.82,3786.01,3816.06,2018.0
4913,867,MHL,NGDPPC,Marshall Islands,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,2257.33,2276.74,2269.42,2237.18,2416.08,2651.49,2619.05,2625.82,2668.17,2749.07,2864.64,2894.23,2864.63,3030.39,3239.11,3383.56,3451.21,3388.38,3406.48,3720.62,3898.58,4061.68,4292.88,4412.99,4338.17,4525.64,4694.01,4844.89,4990.81,5131.03,2018.0
4914,867,MHL,NGDPDPC,Marshall Islands,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,2257.33,2276.74,2269.42,2237.18,2416.08,2651.49,2619.05,2625.82,2668.17,2749.07,2864.64,2894.23,2864.63,3030.39,3239.11,3383.56,3451.21,3388.38,3406.48,3720.62,3898.58,4061.68,4292.88,4412.99,4338.17,4525.64,4694.01,4844.89,4990.81,5131.03,2018.0
4915,867,MHL,PPPPC,Marshall Islands,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,2095.32,2073.04,2045.29,2106.74,2330.68,2496.04,2491.26,2527.73,2630.42,2691.38,2840.59,2674.99,2772.75,2961.14,2989.72,2968.1,3125.8,3140.0,3208.66,3275.2,3433.93,3609.86,3902.56,3829.94,3877.42,4090.86,4258.83,4407.76,4548.19,4679.28,2018.0
4916,867,MHL,NGAP_NPGDP,Marshall Islands,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917,867,MHL,PPPSH,Marshall Islands,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0
4918,867,MHL,PPPEX,Marshall Islands,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,1.077,1.098,1.11,1.062,1.037,1.062,1.051,1.039,1.014,1.021,1.008,1.082,1.033,1.023,1.083,1.14,1.104,1.079,1.062,1.136,1.135,1.125,1.1,1.152,1.119,1.106,1.102,1.099,1.097,1.097,2020.0
4919,867,MHL,NID_NGDP,Marshall Islands,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4920,867,MHL,NGSD_NGDP,Marshall Islands,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4921,867,MHL,PCPI,Marshall Islands,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Harmonized prices: No Frequency of source data: Quarterly Base year: FY2002/03. Base Year is 2003 Quarter 1 Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,,,,100.497,102.523,106.097,111.67,114.614,131.434,132.062,134.396,141.591,147.737,150.471,152.123,148.721,146.479,146.572,147.679,146.954,146.566,147.445,149.804,152.8,155.856,158.974,162.153,2020.0
4922,867,MHL,PCPIPCH,Marshall Islands,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",,,,,,,,,,,,,,,,,,,,,,,,,2.016,3.486,5.253,2.637,14.675,0.478,1.768,5.353,4.341,1.851,1.098,-2.236,-1.508,0.063,0.755,-0.491,-0.264,0.6,1.6,2.0,2.0,2.0,2.0,2020.0
4923,867,MHL,PCPIE,Marshall Islands,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Harmonized prices: No Frequency of source data: Quarterly Base year: FY2002/03. Base Year is 2003 Quarter 1 Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,,,,101.97,104.388,110.84,113.694,118.614,138.321,130.263,137.085,145.755,149.99,152.766,154.443,150.989,148.713,148.807,149.931,149.195,148.801,149.694,152.089,155.131,158.233,161.398,164.626,2020.0
4924,867,MHL,PCPIEPCH,Marshall Islands,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",,,,,,,,,,,,,,,,,,,,,,,,,2.371,6.181,2.575,4.327,16.614,-5.825,5.237,6.324,2.906,1.851,1.098,-2.236,-1.508,0.063,0.755,-0.491,-0.264,0.6,1.6,2.0,2.0,2.0,2.0,2020.0
4925,867,MHL,FLIBOR6,Marshall Islands,Six-month London interbank offered rate (LIBOR),,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4926,867,MHL,TM_RPCH,Marshall Islands,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,867,MHL,TMG_RPCH,Marshall Islands,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4928,867,MHL,TX_RPCH,Marshall Islands,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: National Statistics Office Latest actual data: FY2019/20 Base year: FY2004/05 Methodology used to derive volumes: Other Formula used to derive volumes: Other Chain-weighted: No Trade System: General trade Excluded items in trade: Other; Oil coverage: Other; Valuation of exports: Other Valuation of imports: Other Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,-8.172,14.398,9.697,-12.293,22.779,-0.541,13.737,2.426,-5.978,-2.374,-28.5,-0.559,-6.548,15.541,27.643,25.545,14.049,-2.429,-1.18,5.899,-2.651,5.563,-1.433,7.585,-1.54,2.304,7.866,2.313,2.689,2.438,2.585,2020.0
4929,867,MHL,TXG_RPCH,Marshall Islands,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4930,867,MHL,LUR,Marshall Islands,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4931,867,MHL,LE,Marshall Islands,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
