,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4950,682,MRT,NGDP_R,Mauritania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2014 Primary domestic currency: New Mauritanian ouguiya Data last updated: 09/2021",,,,,,,,,,,93.853,93.853,95.516,101.126,98.031,107.657,113.922,109.314,112.351,121.016,116.274,115.345,116.938,125.04,130.958,142.176,168.242,164.928,164.382,164.543,168.855,175.901,183.763,191.391,199.573,210.302,212.954,226.298,236.543,250.257,245.845,252.553,265.129,287.981,303.293,315.303,328.498,2018.0
4951,682,MRT,NGDP_RPCH,Mauritania,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,1.772,5.874,-3.061,9.82,5.819,-4.045,2.778,7.713,-3.918,-0.799,1.381,6.928,4.733,8.566,18.333,-1.969,-0.331,0.098,2.62,4.173,4.47,4.151,4.275,5.376,1.261,6.266,4.527,5.798,-1.763,2.729,4.98,8.619,5.317,3.96,4.185,2018.0
4952,682,MRT,NGDP,Mauritania,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2014 Primary domestic currency: New Mauritanian ouguiya Data last updated: 09/2021",,,,,,,,,,,14.457,16.837,18.835,22.317,24.034,27.144,29.257,31.464,38.305,41.608,42.517,44.634,48.29,53.951,62.685,77.981,105.28,112.387,124.019,123.695,155.297,190.166,199.572,217.185,199.573,200.221,225.473,243.407,262.32,289.478,294.389,336.04,345.148,369.089,392.58,413.536,442.755,2018.0
4953,682,MRT,NGDPD,Mauritania,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.351,7.889,8.11,9.164,9.336,9.801,10.212,10.541,11.058,2018.0
4954,682,MRT,PPPGDP,Mauritania,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,5.495,5.681,5.914,6.409,6.346,7.115,7.667,7.484,7.778,8.496,8.348,8.468,8.719,9.507,10.224,11.448,13.965,14.06,14.282,14.388,14.942,15.889,16.42,18.036,16.883,16.995,19.569,21.878,23.415,25.215,25.069,26.681,28.781,32.005,34.475,36.619,38.942,2018.0
4955,682,MRT,NGDP_D,Mauritania,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,15.404,17.939,19.719,22.069,24.517,25.213,25.682,28.783,34.094,34.382,36.566,38.697,41.295,43.147,47.866,54.848,62.577,68.143,75.446,75.175,91.971,108.11,108.603,113.477,100.0,95.206,105.879,107.56,110.897,115.672,119.746,133.057,130.181,128.164,129.439,131.155,134.782,2018.0
4956,682,MRT,NGDPRPC,Mauritania,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,47031.19,45771.77,45319.89,46667.48,43990.52,46969.78,48319.42,45070.92,45024.56,47129.33,43997.65,42400.48,41758.73,43386.54,44175.02,46657.24,56971.54,54319.89,52697.59,51383.79,51404.49,52204.66,53210.23,54105.47,55109.47,56747.27,56136.36,58301.89,59585.24,61663.05,59276.77,59564.0,61172.46,65005.48,66973.36,68114.03,69424.29,2014.0
4957,682,MRT,NGDPRPPPPC,Mauritania,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,4546.82,4425.07,4381.38,4511.66,4252.86,4540.89,4671.37,4357.31,4352.83,4556.31,4253.55,4099.14,4037.1,4194.47,4270.7,4510.67,5507.83,5251.47,5094.63,4967.62,4969.62,5046.98,5144.19,5230.74,5327.81,5486.14,5427.08,5636.44,5760.51,5961.39,5730.69,5758.46,5913.96,6284.52,6474.77,6585.05,6711.72,2014.0
4958,682,MRT,NGDPPC,Mauritania,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,7244.66,8211.18,8936.84,10298.86,10784.98,11842.64,12409.17,12972.84,15350.7,16204.09,16088.17,16407.52,17244.24,18720.08,21145.02,25590.52,35650.82,37015.25,39757.97,38627.62,47277.29,56438.46,57787.81,61397.21,55109.47,54026.86,59436.51,62709.67,66078.47,71326.94,70981.53,79254.08,79635.09,83313.67,86689.75,89335.17,93571.28,2014.0
4959,682,MRT,NGDPDPC,Mauritania,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,898.741,1002.02,1026.9,852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,1357.43,1425.47,1647.29,1475.59,1715.92,2012.83,1946.08,2072.49,1826.78,1668.07,1690.81,1758.55,1851.73,1943.8,1955.5,2161.28,2154.15,2212.37,2255.12,2277.22,2336.88,2014.0
4960,682,MRT,PPPPC,Mauritania,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,2753.84,2770.74,2805.91,2957.82,2847.7,3104.32,3252.0,3085.67,3117.19,3308.89,3159.0,3112.91,3113.58,3298.8,3448.91,3756.94,4729.02,4630.77,4578.62,4493.08,4548.92,4715.71,4754.6,5098.71,4662.14,4585.9,5158.55,5636.44,5898.12,6212.99,6044.53,6292.69,6640.49,7224.49,7612.85,7910.7,8229.95,2014.0
4961,682,MRT,NGAP_NPGDP,Mauritania,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
