,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
4995,684,MUS,NGDP_R,Mauritius,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupee Data last updated: 09/2021",59.866,63.387,66.872,67.129,70.334,75.17,82.493,90.877,97.049,101.383,108.669,113.489,120.88,127.023,132.277,137.949,145.657,153.941,163.288,167.552,181.278,187.104,190.148,201.527,210.192,213.245,222.87,235.634,248.328,256.56,267.79,278.709,288.453,298.146,309.311,320.301,332.594,345.279,358.261,369.061,314.071,329.775,351.87,365.945,378.753,391.251,404.163,2020.0
4996,684,MUS,NGDP_RPCH,Mauritius,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-10.06,5.882,5.497,0.384,4.775,6.876,9.742,10.163,6.791,4.465,7.187,4.435,6.513,5.082,4.136,4.288,5.588,5.687,6.072,2.611,8.192,3.214,1.627,5.984,4.299,1.453,4.514,5.727,5.387,3.315,4.377,4.077,3.496,3.36,3.745,3.553,3.838,3.814,3.76,3.015,-14.9,5.0,6.7,4.0,3.5,3.3,3.3,2020.0
4997,684,MUS,NGDP,Mauritius,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupee Data last updated: 09/2021",9.414,10.397,12.134,13.834,15.091,17.101,20.064,24.383,29.503,34.404,40.222,46.598,52.175,60.981,68.882,76.153,81.279,89.553,103.066,114.231,127.816,140.327,151.461,169.457,188.897,199.846,222.87,255.211,284.254,291.756,307.957,330.647,350.644,372.397,392.062,409.893,434.765,457.201,481.256,498.273,429.692,456.591,513.49,545.244,579.565,614.855,651.659,2020.0
4998,684,MUS,NGDPD,Mauritius,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.225,1.163,1.116,1.182,1.094,1.107,1.495,1.893,2.196,2.256,2.706,2.977,3.352,3.455,3.835,4.38,4.529,4.253,4.296,4.536,4.869,4.817,5.055,6.073,6.869,6.775,7.029,8.15,9.99,9.129,10.004,11.518,11.669,12.13,12.803,11.692,12.232,13.259,14.182,14.046,10.921,10.998,11.954,13.056,14.287,15.543,16.829,2020.0
4999,684,MUS,PPPGDP,Mauritius,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.928,2.235,2.503,2.611,2.834,3.125,3.499,3.95,4.367,4.74,5.271,5.691,6.2,6.67,7.094,7.553,8.121,8.731,9.365,9.745,10.782,11.38,11.745,12.694,13.595,14.225,15.326,16.641,17.874,18.585,19.632,20.857,21.304,22.487,23.312,24.28,26.155,27.082,28.771,30.169,25.983,28.265,30.989,32.996,34.929,36.865,38.871,2020.0
5000,684,MUS,NGDP_D,Mauritius,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",15.724,16.402,18.145,20.608,21.456,22.75,24.322,26.831,30.4,33.935,37.013,41.06,43.163,48.008,52.074,55.204,55.802,58.173,63.119,68.177,70.508,74.999,79.654,84.087,89.869,93.717,100.0,108.308,114.467,113.718,114.999,118.635,121.56,124.904,126.753,127.971,130.719,132.415,134.331,135.011,136.814,138.455,145.932,148.996,153.019,157.151,161.237,2020.0
5001,684,MUS,NGDPRPC,Mauritius,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",61970.55,64650.64,67375.86,67015.28,69484.72,73658.29,80218.48,87712.57,93026.83,96439.14,102636.27,106037.8,111467.41,115751.8,118863.59,122898.74,128445.69,134061.88,140714.72,142564.77,152735.56,156404.3,157849.23,166088.71,172146.69,173616.19,180608.37,190084.14,199601.16,205671.02,214163.47,222539.21,229681.61,236877.04,245249.79,253631.04,263232.29,273034.42,283080.93,291352.94,247866.99,260308.5,277800.56,288941.47,299084.33,308985.02,319213.44,2018.0
5002,684,MUS,NGDPRPPPPC,Mauritius,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4860.63,5070.85,5284.6,5256.32,5450.0,5777.36,6291.9,6879.7,7296.52,7564.16,8050.23,8317.03,8742.9,9078.94,9323.01,9639.51,10074.58,10515.09,11036.9,11182.01,11979.75,12267.5,12380.84,13027.1,13502.25,13617.51,14165.94,14909.17,15655.63,16131.72,16797.82,17454.77,18014.98,18579.35,19236.06,19893.44,20646.51,21415.34,22203.33,22852.14,19441.34,20417.18,21789.17,22663.0,23458.55,24235.11,25037.37,2018.0
5003,684,MUS,NGDPPC,Mauritius,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9744.51,10603.95,12225.1,13810.19,14908.69,16757.27,19510.36,23534.05,28280.33,32726.7,37988.93,43538.95,48112.29,55570.03,61896.94,67845.26,71675.23,77988.34,88817.56,97195.8,107691.27,117301.86,125733.41,139658.53,154706.77,162707.05,180608.37,205876.75,228477.78,233885.86,246286.79,264009.86,279201.39,295869.47,310862.28,324574.66,344095.77,361538.04,380266.08,393358.1,339115.58,360410.89,405399.57,430512.53,457656.91,485572.65,514689.53,2018.0
5004,684,MUS,NGDPDPC,Mauritius,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1268.11,1186.58,1124.4,1179.73,1080.41,1085.14,1454.12,1827.43,2104.55,2146.05,2555.86,2781.63,3091.41,3148.8,3446.31,3902.22,3993.48,3703.63,3701.87,3859.15,4102.59,4026.94,4196.43,5005.42,5626.0,5516.2,5695.98,6574.66,8030.05,7318.13,8000.38,9197.04,9291.24,9637.02,10151.73,9258.56,9681.42,10485.01,11205.9,11088.78,8618.6,8681.61,9437.5,10308.72,11281.78,12274.92,13291.62,2018.0
5005,684,MUS,PPPPC,Mauritius,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1995.79,2279.08,2521.92,2606.65,2800.25,3062.3,3402.19,3812.04,4185.56,4509.25,4978.61,5317.57,5717.24,6077.69,6374.39,6728.98,7161.47,7603.48,8070.63,8291.96,9084.78,9512.59,9750.1,10461.52,11134.17,11581.36,12419.53,13424.38,14366.82,14898.6,15700.25,16653.24,16963.51,17866.31,18484.03,19225.92,20700.78,21415.34,22733.73,23816.62,20506.03,22311.37,24465.99,26052.68,27581.88,29113.93,30700.97,2018.0
5007,684,MUS,PPPSH,Mauritius,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.014,0.015,0.016,0.015,0.016,0.016,0.017,0.018,0.018,0.019,0.019,0.02,0.019,0.019,0.019,0.02,0.02,0.02,0.021,0.021,0.021,0.022,0.021,0.022,0.022,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.021,0.021,0.021,0.022,0.023,0.022,0.022,0.022,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2020.0
