,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5040,273,MEX,NGDP_R,Mexico,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2021,7616.96,8266.35,8223.3,7936.6,8207.3,8386.85,8128.62,8268.63,8374.74,8718.57,9169.82,9556.3,9894.7,10165.57,10667.86,9996.72,10673.83,11404.65,11993.57,12323.82,12932.92,12880.62,12875.49,13061.72,13573.82,13887.07,14511.31,14843.83,15013.58,14220.0,14947.8,15495.33,16059.72,16277.19,16741.05,17292.36,17747.24,18122.26,18520.04,18487.34,16951.22,18010.09,18730.58,19143.48,19526.23,19916.3,20314.71,2020.0
5041,273,MEX,NGDP_RPCH,Mexico,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.482,8.526,-0.521,-3.486,3.411,2.188,-3.079,1.722,1.283,4.106,5.176,4.215,3.541,2.738,4.941,-6.291,6.773,6.847,5.164,2.754,4.942,-0.404,-0.04,1.446,3.921,2.308,4.495,2.291,1.144,-5.286,5.118,3.663,3.642,1.354,2.85,3.293,2.631,2.113,2.195,-0.177,-8.309,6.247,4.001,2.204,1.999,1.998,2.0,2020.0
5042,273,MEX,NGDP,Mexico,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2021,5.245,7.189,11.574,20.847,34.369,55.747,91.502,226.027,458.88,605.781,816.784,1050.65,1249.33,1560.09,1781.42,2311.46,3123.17,3962.52,4810.12,5738.47,6693.68,7069.38,7455.46,7868.81,8828.37,9562.65,10630.94,11504.08,12353.85,12162.76,13366.38,14665.58,15817.76,16277.19,17484.31,18572.11,20129.06,21934.17,23524.39,24453.87,23073.73,25876.67,27675.99,29287.67,30867.21,32499.55,34234.77,2020.0
5043,273,MEX,NGDPD,Mexico,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",228.606,293.61,213.077,173.714,204.86,217.388,150.513,165.058,201.926,246.079,290.402,348.139,403.733,500.795,527.811,360.096,410.973,500.416,526.522,600.225,707.909,756.693,772.11,729.335,782.243,877.477,975.383,1052.7,1109.99,900.047,1057.8,1180.49,1201.09,1274.44,1315.36,1171.87,1078.49,1158.91,1222.41,1269.43,1073.92,1285.52,1371.64,1446.78,1518.86,1591.4,1665.56,2020.0
5044,273,MEX,PPPGDP,Mexico,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",404.343,480.331,507.355,508.842,545.189,574.732,568.252,592.337,621.094,671.949,733.175,789.918,836.529,879.797,942.99,902.193,980.94,1066.18,1133.85,1181.49,1267.98,1291.3,1310.9,1356.11,1447.11,1526.93,1644.8,1727.96,1781.24,1697.9,1806.25,1911.32,2012.77,2064.49,2173.23,2230.64,2383.39,2472.59,2587.22,2628.86,2439.47,2685.25,2869.54,3002.58,3132.42,3264.4,3398.7,2020.0
5045,273,MEX,NGDP_D,Mexico,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.069,0.087,0.141,0.263,0.419,0.665,1.126,2.734,5.479,6.948,8.907,10.994,12.626,15.347,16.699,23.122,29.26,34.745,40.106,46.564,51.757,54.884,57.904,60.243,65.04,68.86,73.26,77.501,82.284,85.533,89.42,94.645,98.493,100.0,104.44,107.401,113.421,121.034,127.021,132.274,136.118,143.679,147.758,152.99,158.081,163.181,168.522,2020.0
5046,273,MEX,NGDPRPC,Mexico,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",112741.53,119338.87,115865.03,109211.67,110373.93,110308.95,104629.26,104218.36,103429.39,105578.45,108944.58,111445.42,113325.37,114411.63,118056.0,108844.68,114409.66,120403.08,124781.03,126420.76,130919.53,128670.73,126859.63,126947.79,130176.44,131420.04,135423.03,136501.42,135985.83,126856.23,131410.72,134312.87,137338.11,137413.65,139582.72,142502.45,144621.4,146098.1,147772.84,146055.26,132646.65,139642.91,143950.36,145877.06,147581.28,149350.94,151192.8,2020.0
5047,273,MEX,NGDPRPPPPC,Mexico,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",15382.36,16282.5,15808.53,14900.75,15059.33,15050.46,14275.53,14219.47,14111.82,14405.04,14864.31,15205.52,15462.02,15610.23,16107.46,14850.68,15609.96,16427.7,17025.02,17248.74,17862.55,17555.73,17308.62,17320.65,17761.17,17930.84,18477.01,18624.14,18553.79,17308.16,17929.57,18325.54,18738.3,18748.61,19044.55,19442.92,19732.02,19933.5,20162.0,19927.66,18098.2,19052.76,19640.47,19903.35,20135.87,20377.32,20628.62,2020.0
5048,273,MEX,NGDPPC,Mexico,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",77.627,103.779,163.071,286.868,462.199,733.224,1177.79,2848.86,5667.24,7335.77,9704.03,12252.6,14308.79,17558.56,19714.13,25167.25,33476.34,41833.84,50044.48,58866.58,67759.93,70619.41,73457.15,76477.53,84666.35,90495.93,99210.5,105789.62,111895.25,108503.69,117507.99,127120.57,135268.86,137413.65,145779.8,153048.59,164030.72,176828.94,187702.89,193192.56,180556.49,200637.22,212698.61,223177.72,233297.64,243711.76,254793.23,2020.0
5049,273,MEX,NGDPDPC,Mexico,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3383.69,4238.76,3002.23,2390.4,2755.01,2859.22,1937.36,2080.4,2493.82,2979.92,3450.2,4059.99,4624.01,5636.36,5841.02,3920.74,4405.11,5283.08,5477.93,6157.25,7166.14,7558.98,7607.44,7088.46,7501.91,8303.99,9102.51,9680.43,10053.74,8029.3,9299.46,10232.41,10271.41,10758.98,10967.11,9657.12,8788.59,9342.92,9753.67,10028.87,8403.6,9967.39,10541.44,11024.77,11479.68,11933.77,12395.96,2020.0
