,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5085,868,FSM,NGDP_R,Micronesia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2017/18. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,0.239,0.231,0.217,0.223,0.227,0.238,0.243,0.244,0.248,0.24,0.245,0.245,0.24,0.235,0.237,0.243,0.25,0.246,0.237,0.231,0.242,0.244,0.251,0.251,0.254,0.249,0.241,0.243,0.251,0.255,0.258,0.259,2018.0
5086,868,FSM,NGDP_RPCH,Micronesia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,-3.087,-6.061,2.746,1.527,4.86,2.089,0.613,1.606,-3.137,2.058,-0.115,-1.939,-2.194,1.031,2.259,3.189,-1.867,-3.68,-2.306,4.622,0.9,2.682,0.212,1.2,-1.818,-3.247,0.587,3.244,1.91,0.8,0.6,2018.0
5087,868,FSM,NGDP,Micronesia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: FY2017/18. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.413,0.407,0.404,0.417,0.442,0.462,0.478,0.492,2018.0
5088,868,FSM,NGDPD,Micronesia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,0.221,0.218,0.207,0.219,0.22,0.233,0.241,0.242,0.245,0.24,0.25,0.253,0.257,0.263,0.28,0.297,0.311,0.327,0.317,0.319,0.316,0.332,0.367,0.402,0.413,0.407,0.404,0.417,0.442,0.462,0.478,0.492,2018.0
5089,868,FSM,PPPGDP,Micronesia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,0.217,0.215,0.205,0.213,0.219,0.235,0.246,0.251,0.26,0.259,0.272,0.28,0.282,0.281,0.286,0.296,0.312,0.312,0.306,0.304,0.321,0.327,0.343,0.352,0.362,0.36,0.361,0.373,0.394,0.411,0.423,0.434,2018.0
5090,868,FSM,NGDP_D,Micronesia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,92.849,94.491,95.116,98.063,97.148,98.17,99.328,99.353,98.959,100.0,102.088,103.539,106.938,112.045,118.154,122.412,124.365,133.223,134.071,138.125,130.873,136.171,146.344,160.081,162.493,163.273,167.437,171.855,176.367,180.975,185.527,189.891,2018.0
5091,868,FSM,NGDPRPC,Micronesia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,2255.8,2181.03,2044.03,2095.21,2122.18,2220.05,2272.59,2292.77,2335.96,2268.9,2321.95,2331.27,2297.94,2259.25,2294.51,2358.73,2429.7,2380.2,2288.61,2231.95,2331.05,2347.94,2406.73,2407.63,2432.28,2383.9,2302.49,2311.98,2382.83,2424.13,2439.27,2449.64,2018.0
5092,868,FSM,NGDPRPPPPC,Micronesia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,3084.67,2982.43,2795.1,2865.07,2901.96,3035.78,3107.64,3135.23,3194.29,3102.59,3175.14,3187.88,3142.3,3089.39,3137.61,3225.42,3322.48,3254.78,3129.55,3052.07,3187.58,3210.68,3291.06,3292.29,3326.0,3259.84,3148.52,3161.5,3258.38,3314.85,3335.56,3349.74,2018.0
5093,868,FSM,NGDPPC,Micronesia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,2094.48,2060.87,1944.21,2054.62,2061.64,2179.42,2257.32,2277.95,2311.65,2268.9,2370.44,2413.78,2457.38,2531.36,2711.06,2887.35,3021.69,3170.96,3068.37,3082.9,3050.72,3197.21,3522.11,3854.14,3952.28,3892.27,3855.22,3973.25,4202.53,4387.07,4525.5,4651.63,2018.0
5094,868,FSM,NGDPDPC,Micronesia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,2094.48,2060.87,1944.21,2054.62,2061.64,2179.42,2257.32,2277.95,2311.65,2268.9,2370.44,2413.78,2457.38,2531.36,2711.06,2887.35,3021.69,3170.96,3068.37,3082.9,3050.72,3197.21,3522.11,3854.14,3952.28,3892.27,3855.22,3973.25,4202.53,4387.07,4525.5,4651.63,2018.0
