,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5175,948,MNG,NGDP_R,Mongolia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2020 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 07/2021,3182.11,3448.65,3735.95,3952.35,4186.08,4423.82,4840.82,5012.28,5270.21,5490.66,5354.18,4861.67,4411.65,4271.85,4363.03,4641.23,4744.97,4929.87,5094.52,5250.94,5311.12,5557.48,5850.19,6280.61,6872.56,7319.78,7917.28,8610.58,9283.84,9091.71,9756.59,11443.58,12853.41,14350.69,15482.27,15850.73,16035.93,16891.77,18115.85,19050.46,18034.02,18971.78,20394.67,21720.32,23023.54,24289.83,25504.33,2020.0
5176,948,MNG,NGDP_RPCH,Mongolia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.443,8.376,8.331,5.792,5.914,5.679,9.426,3.542,5.146,4.183,-2.486,-9.199,-9.256,-3.169,2.134,6.376,2.235,3.897,3.34,3.07,1.146,4.639,5.267,7.357,9.425,6.507,8.163,8.757,7.819,-2.069,7.313,17.291,12.32,11.649,7.885,2.38,1.168,5.337,7.247,5.159,-5.336,5.2,7.5,6.5,6.0,5.5,5.0,2020.0
5177,948,MNG,NGDP,Mongolia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2020 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 07/2021,9.437,10.374,11.463,12.241,12.567,13.093,13.006,13.564,14.391,14.991,14.62,26.417,65.608,266.121,446.622,761.454,862.608,1090.45,1105.1,1262.98,1430.75,1629.53,1814.23,2137.23,2749.15,3041.41,4027.56,4956.65,6555.57,6590.64,9756.59,13173.76,16688.42,19174.24,22227.05,23150.39,23942.87,27876.3,32411.22,37280.84,36958.55,41592.17,48065.27,54806.38,61851.76,69282.66,77102.43,2020.0
5178,948,MNG,NGDPD,Mongolia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.188,3.336,3.463,3.59,3.316,3.851,4.25,4.776,4.797,4.997,3.131,3.297,1.831,0.901,1.083,1.697,1.576,1.381,1.315,1.236,1.329,1.485,1.634,1.864,2.319,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.75,11.159,11.426,13.138,13.997,13.137,14.28,15.83,17.357,18.862,20.354,21.833,2020.0
5179,948,MNG,PPPGDP,Mongolia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.955,3.505,4.032,4.433,4.864,5.303,5.92,6.281,6.837,7.402,7.489,7.03,6.524,6.467,6.746,7.327,7.628,8.062,8.425,8.806,9.109,9.746,10.419,11.407,12.817,14.079,15.698,17.534,19.267,18.99,20.623,24.692,28.89,30.402,32.507,32.285,32.833,35.222,38.677,41.4,39.664,43.23,47.751,52.065,56.447,60.845,65.211,2020.0
5180,948,MNG,NGDP_D,Mongolia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.297,0.301,0.307,0.31,0.3,0.296,0.269,0.271,0.273,0.273,0.273,0.543,1.487,6.23,10.237,16.406,18.179,22.119,21.692,24.052,26.939,29.321,31.012,34.029,40.002,41.551,50.87,57.565,70.613,72.491,100.0,115.119,129.837,133.612,143.565,146.053,149.308,165.029,178.911,195.695,204.938,219.232,235.676,252.328,268.646,285.233,302.311,2020.0
5187,948,MNG,PPPSH,Mongolia,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.022,0.024,0.025,0.026,0.027,0.027,0.029,0.029,0.029,0.029,0.027,0.024,0.02,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.019,0.02,0.02,0.021,0.021,0.022,0.023,0.023,0.023,0.026,0.029,0.029,0.03,0.029,0.028,0.029,0.03,0.031,0.03,0.03,0.031,0.032,0.032,0.033,0.034,2020.0
5188,948,MNG,PPPEX,Mongolia,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3.194,2.959,2.843,2.762,2.584,2.469,2.197,2.16,2.105,2.025,1.952,3.758,10.056,41.148,66.201,103.922,113.083,135.259,131.169,143.422,157.073,167.199,174.123,187.368,214.497,216.027,256.566,282.688,340.24,347.065,473.085,533.527,577.66,630.68,683.767,717.072,729.223,791.436,837.992,900.498,931.8,962.119,1006.58,1052.65,1095.75,1138.68,1182.35,2020.0
5189,948,MNG,NID_NGDP,Mongolia,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2020 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 07/2021,39.52,62.771,61.201,53.801,47.304,47.386,51.14,43.739,46.317,50.611,11.644,19.596,22.519,31.092,28.318,20.405,21.542,20.49,21.877,21.703,19.17,22.367,17.183,23.671,24.706,37.529,35.885,38.705,43.566,34.371,42.087,58.151,55.899,53.276,35.175,26.413,25.735,31.369,39.587,39.539,24.555,39.001,41.03,39.018,33.833,32.919,31.675,2020.0
5190,948,MNG,NGSD_NGDP,Mongolia,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2020 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 07/2021,20.943,30.652,26.545,21.066,16.752,20.933,17.403,15.63,14.775,10.936,11.844,15.661,17.96,20.815,19.162,21.202,18.342,25.219,15.255,15.963,14.41,11.326,9.81,17.288,24.824,40.996,46.786,42.761,31.294,26.915,29.763,14.805,12.074,15.668,19.354,18.34,19.465,21.256,22.789,24.094,19.42,30.485,27.776,28.237,25.495,24.476,23.241,2020.0
5217,948,MNG,NGDP_FY,Mongolia,"Gross domestic product corresponding to fiscal year, current prices","Gross domestic product corresponding to fiscal year is the country's GDP based on the same period during the year as their fiscal data. In the case of countries whose fiscal data are based on a fiscal calendar (e.g., July to June), this series would be the country's GDP over that same period. For countries whose fiscal data are based on a calendar year (i.e., January to December), this series will be the same as their GDP in current prices.",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2020 Start/end months of reporting year: January/December GFS Manual used: Government Finance Statistics Manual (GFSM) 2001 Basis of recording: Cash General government includes: Central Government; State Government; Local Government; Social Security Funds; Other; Valuation of public debt: Face value Primary domestic currency: Mongolian tˆgrˆg Data last updated: 07/2021,9.437,10.374,11.463,12.241,12.567,13.093,13.006,13.564,14.391,14.991,14.62,26.417,65.608,266.121,446.622,761.454,862.608,1090.45,1105.1,1262.98,1430.75,1629.53,1814.23,2137.23,2749.15,3041.41,4027.56,4956.65,6555.57,6590.64,9756.59,13173.76,16688.42,19174.24,22227.05,23150.39,23942.87,27876.3,32411.22,37280.84,36958.55,41592.17,48065.27,54806.38,61851.76,69282.66,77102.43,2020.0
