,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5355,518,MMR,NGDP_R,Myanmar,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of National Planning and Economic Development. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency after the change of fiscal year from April-March to October-September. Latest actual data: FY2019/20. FY(t/t+1) = CY(t+1) National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: October/September. In 2018 Myanmar authorities changed the fiscal year to 1 October to 30 September from previously 1 April to 31 March. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency. Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Myanmar kyat Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,14707.66,15947.79,17928.22,20163.46,22165.2,25090.13,28933.32,32858.7,37231.16,41885.24,45051.09,47026.77,49494.1,52202.08,55587.78,59978.47,64896.61,69746.13,74215.75,78483.2,83510.03,89147.34,91990.62,75489.53,75445.35,77325.52,79278.78,81193.92,83200.69,2020.0
5356,518,MMR,NGDP_RPCH,Myanmar,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,8.432,12.418,12.468,9.928,13.196,15.318,13.567,13.307,12.5,7.558,4.385,5.247,5.471,6.486,7.899,8.2,7.473,6.408,5.75,6.405,6.75,3.189,-17.938,-0.059,2.492,2.526,2.416,2.472,2020.0
5357,518,MMR,NGDP,Myanmar,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Ministry of National Planning and Economic Development. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency after the change of fiscal year from April-March to October-September. Latest actual data: FY2019/20. FY(t/t+1) = CY(t+1) National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: October/September. In 2018 Myanmar authorities changed the fiscal year to 1 October to 30 September from previously 1 April to 31 March. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency. Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Myanmar kyat Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,1562.78,2175.92,2715.86,3493.53,5252.85,7639.51,9617.07,12233.92,16685.19,23012.01,29090.66,33073.78,37116.33,42881.38,49353.31,55248.77,61636.86,68988.06,74215.75,82700.02,92788.96,105258.5,115105.76,99113.24,106154.71,116647.85,127986.84,140276.96,153831.12,2020.0
5358,518,MMR,NGDPD,Myanmar,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,5.154,6.439,7.736,7.131,6.921,8.881,10.754,12.126,13.585,17.855,25.47,30.864,38.084,53.916,59.0,60.903,63.153,62.655,60.09,61.267,66.699,68.802,81.257,66.74,63.052,66.593,70.312,74.158,78.257,2020.0
5359,518,MMR,PPPGDP,Myanmar,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,35.372,38.895,44.715,51.423,57.409,66.268,78.47,91.911,107.354,124.038,135.972,142.844,152.146,163.804,184.501,198.338,209.644,216.278,213.835,225.517,245.693,266.971,278.806,237.039,243.42,255.423,267.844,280.273,293.152,2020.0
5360,518,MMR,NGDP_D,Myanmar,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,10.626,13.644,15.148,17.326,23.699,30.448,33.239,37.232,44.815,54.941,64.573,70.33,74.991,82.145,88.784,92.114,94.977,98.913,100.0,105.373,111.111,118.073,125.128,131.294,140.704,150.853,161.439,172.768,184.892,2020.0
5361,518,MMR,NGDPRPC,Myanmar,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,331664.67,354543.39,393293.73,437134.09,475749.67,534095.14,611649.67,690344.37,777486.82,869247.58,928970.23,963302.54,1006820.55,1054135.69,1113782.45,1191857.77,1278544.29,1362247.92,1437383.18,1507851.13,1592202.85,1687370.28,1729192.74,1409702.1,1400089.79,1426533.05,1454488.52,1481930.61,1511248.59,2015.0
5362,518,MMR,NGDPRPPPPC,Myanmar,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,953.019,1018.76,1130.11,1256.08,1367.04,1534.69,1757.54,1983.66,2234.06,2497.73,2669.34,2767.99,2893.04,3029.0,3200.39,3424.73,3673.82,3914.34,4130.24,4332.72,4575.1,4848.56,4968.73,4050.7,4023.08,4099.06,4179.39,4258.24,4342.48,2015.0
5363,518,MMR,NGDPPC,Myanmar,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,35241.4,48374.01,59578.08,75738.03,112746.09,162622.7,203304.62,257028.47,348431.68,477570.01,599860.18,677487.64,755028.98,865919.41,988865.88,1097871.96,1214323.16,1347441.56,1437383.18,1588866.48,1769114.9,1992320.39,2163699.34,1850854.62,1969983.87,2151967.65,2348111.21,2560299.08,2794172.45,2015.0
5364,518,MMR,NGDPDPC,Myanmar,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,116.223,143.154,169.697,154.588,148.549,189.041,227.347,254.757,283.701,370.544,525.195,632.23,774.72,1088.75,1182.15,1210.22,1244.18,1223.74,1163.79,1177.08,1271.68,1302.28,1527.43,1246.32,1170.09,1228.54,1289.98,1353.51,1421.46,2015.0
