,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5400,728,NAM,NGDP_R,Namibia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Namibian dollar Data last updated: 09/2021,,,,,,,,,,,52.859,55.683,60.844,59.859,61.657,64.194,66.246,69.039,71.311,73.712,76.29,78.115,83.333,86.231,91.95,96.245,100.044,103.692,106.439,106.754,113.202,118.965,124.987,132.004,140.047,146.019,146.068,144.568,146.169,145.283,133.685,135.458,140.284,144.615,148.255,151.998,155.824,2020.0
5401,728,NAM,NGDP_RPCH,Namibia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,5.343,9.27,-1.62,3.005,4.115,3.196,4.216,3.291,3.366,3.497,2.393,6.68,3.477,6.632,4.67,3.948,3.646,2.65,0.296,6.039,5.091,5.062,5.615,6.093,4.264,0.034,-1.027,1.108,-0.606,-7.984,1.326,3.563,3.087,2.517,2.524,2.517,2020.0
5402,728,NAM,NGDP,Namibia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Namibian dollar Data last updated: 09/2021,,,,,,,,,,,7.344,7.88,8.594,9.445,11.549,12.706,15.011,16.75,17.787,20.684,27.126,30.538,35.43,37.306,42.679,46.176,54.026,61.583,70.111,75.214,82.599,90.108,106.864,117.423,134.836,146.019,157.708,171.57,181.054,181.555,176.327,185.64,201.154,216.295,231.747,248.012,264.148,2020.0
5403,728,NAM,NGDPD,Namibia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.675,12.563,10.71,12.213,13.122,13.856,14.575,15.322,16.708,2020.0
5404,728,NAM,PPPGDP,Namibia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,5.485,5.973,6.676,6.723,7.073,7.519,7.901,8.376,8.749,9.171,9.707,10.163,11.011,11.619,12.722,13.734,14.717,15.665,16.389,16.543,17.753,19.044,20.502,21.744,23.796,24.615,24.588,24.438,25.299,25.596,23.836,25.022,26.627,28.102,29.467,30.867,32.299,2020.0
5405,728,NAM,NGDP_D,Namibia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,13.893,14.152,14.125,15.779,18.731,19.793,22.66,24.262,24.943,28.061,35.557,39.093,42.516,43.263,46.415,47.978,54.002,59.39,65.869,70.455,72.966,75.743,85.5,88.954,96.279,100.0,107.969,118.678,123.866,124.966,131.898,137.047,143.39,149.566,156.316,163.168,169.517,2020.0
5406,728,NAM,NGDPRPC,Namibia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,39292.11,39697.79,41811.9,39809.98,39800.13,40271.71,40318.51,40707.89,40746.92,40836.41,41733.4,42687.85,44802.03,45600.62,47817.33,49179.11,50222.04,52008.84,52598.0,51974.07,54298.43,56219.66,57986.66,60108.95,62579.73,64023.16,62841.49,61031.22,60559.66,59083.88,53377.85,52055.56,51886.65,51480.82,50795.78,50123.21,49456.19,2020.0
5407,728,NAM,NGDPRPPPPC,Namibia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,6642.05,6710.62,7068.0,6729.59,6727.92,6807.64,6815.55,6881.37,6887.97,6903.1,7054.73,7216.07,7573.46,7708.45,8083.17,8313.37,8489.67,8791.72,8891.31,8785.84,9178.76,9503.53,9802.22,10160.98,10578.65,10822.65,10622.9,10316.89,10237.17,9987.7,9023.14,8799.62,8771.06,8702.46,8586.66,8472.97,8360.21,2020.0
5408,728,NAM,NGDPPC,Namibia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,5458.94,5618.08,5905.96,6281.54,7454.94,7970.82,9136.04,9876.68,10163.67,11458.95,14839.22,16687.99,19048.0,19728.06,22194.52,23594.98,27121.0,30888.21,34645.73,36618.48,39619.63,42582.37,49578.56,53469.29,60251.28,64023.16,67849.12,72430.7,75012.69,73834.9,70404.25,71340.52,74400.49,76997.79,79401.86,81785.07,83836.59,2020.0
5409,728,NAM,NGDPDPC,Namibia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,2109.53,2034.92,2071.0,1922.82,2100.28,2197.59,2126.35,2143.73,1837.31,1874.47,2139.71,1939.79,1811.25,2607.86,3440.97,3708.79,4007.73,4378.56,4198.55,4340.18,5410.98,5870.93,6038.86,5540.62,5555.93,5020.47,4611.51,5438.76,5665.86,5109.12,4276.28,4693.46,4853.26,4932.59,4993.83,5052.58,5302.76,2020.0
