,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5445,836,NRU,NGDP_R,Nauru,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Nauru Authorities, IMF staff estimates Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: FY2006/07 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021",,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.032,0.035,0.027,0.033,0.036,0.04,0.044,0.049,0.064,0.081,0.084,0.087,0.082,0.087,0.087,0.088,0.089,0.09,0.091,0.091,0.092,0.092,2019.0
5446,836,NRU,NGDP_RPCH,Nauru,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,-0.356,8.329,-22.185,20.381,9.086,11.113,10.778,10.367,30.969,27.229,3.418,3.02,-5.496,5.703,0.959,0.706,1.55,0.898,0.779,0.552,0.549,0.521,2019.0
5447,836,NRU,NGDP,Nauru,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Nauru Authorities, IMF staff estimates Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June Base year: FY2006/07 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021",,,,,,,,,,,,,,,,,,,,,,,,,0.045,0.042,0.039,0.029,0.042,0.06,0.054,0.067,0.094,0.096,0.114,0.104,0.137,0.145,0.16,0.166,0.171,0.179,0.185,0.19,0.194,0.197,0.201,2019.0
5448,836,NRU,NGDPD,Nauru,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.031,0.029,0.023,0.037,0.044,0.047,0.066,0.097,0.099,0.105,0.087,0.1,0.11,0.124,0.119,0.114,0.133,0.139,0.145,0.149,0.152,0.153,2019.0
5449,836,NRU,PPPGDP,Nauru,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.036,0.04,0.032,0.04,0.043,0.049,0.055,0.062,0.083,0.107,0.112,0.116,0.112,0.121,0.125,0.127,0.134,0.139,0.143,0.147,0.151,0.155,2019.0
5450,836,NRU,NGDP_D,Nauru,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,137.407,128.523,110.495,106.329,126.26,165.77,134.676,150.876,193.486,150.257,140.734,124.03,158.684,177.504,184.856,189.625,193.75,199.776,204.672,208.609,211.855,214.52,217.325,2019.0
5451,836,NRU,NGDPRPC,Nauru,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,3248.36,3278.0,3869.53,2960.88,3504.41,3759.23,4001.5,4385.36,4703.78,5907.17,6861.27,6742.0,6640.06,6088.83,6556.73,6903.17,6818.53,6791.33,6720.76,6643.0,6551.32,6460.65,6369.43,2016.0
5452,836,NRU,NGDPRPPPPC,Nauru,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,4450.24,4490.85,5301.25,4056.4,4801.04,5150.14,5482.04,6007.93,6444.16,8092.81,9399.92,9236.53,9096.86,8341.68,8982.7,9457.32,9341.36,9304.11,9207.42,9100.89,8975.28,8851.08,8726.1,2016.0
5453,836,NRU,NGDPPC,Nauru,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,4463.47,4212.97,4275.63,3148.26,4424.68,6231.69,5389.07,6616.46,9101.16,8875.93,9656.12,8362.13,10536.72,10807.93,12120.48,13090.14,13210.89,13567.42,13755.49,13857.91,13879.3,13859.37,13842.39,2016.0
5454,836,NRU,NGDPDPC,Nauru,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,3174.96,3167.65,3200.72,2470.84,3965.36,4587.75,4748.08,6529.4,9382.64,9103.52,8865.6,6994.05,7674.48,8152.26,9398.51,9365.1,8866.87,10138.2,10361.2,10576.17,10668.97,10687.36,10564.32,2016.0
