,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5490,558,NPL,NGDP_R,Nepal,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th, and ends July 15th the following year Base year: FY2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No Primary domestic currency: Nepalese rupee Data last updated: 09/2021",393.765,426.61,442.737,429.552,471.138,500.089,522.922,531.811,572.742,597.529,625.225,665.029,692.349,718.982,778.077,805.064,848.036,892.65,918.917,960.111,1018.83,1076.18,1077.47,1119.98,1172.42,1213.21,1254.03,1296.82,1375.98,1438.36,1507.63,1559.22,1632.04,1689.57,1791.14,1862.36,1870.42,2038.34,2193.71,2339.74,2290.88,2332.18,2434.88,2588.77,2729.3,2868.46,3015.18,2020.0
5491,558,NPL,NGDP_RPCH,Nepal,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.32,8.341,3.78,-2.978,9.681,6.145,4.566,1.7,7.697,4.328,4.635,6.366,4.108,3.847,8.219,3.468,5.338,5.261,2.943,4.483,6.116,5.629,0.12,3.945,4.683,3.479,3.365,3.412,6.105,4.533,4.816,3.422,4.67,3.525,6.011,3.976,0.433,8.977,7.622,6.657,-2.088,1.803,4.403,6.321,5.428,5.099,5.115,2020.0
5492,558,NPL,NGDP,Nepal,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: August/July. Fiscal year starts on July 16th, and ends July 15th the following year Base year: FY2000/01. Data prior to 2000/01 were estimated by IMF staff by using data splicing Chain-weighted: No Primary domestic currency: Nepalese rupee Data last updated: 09/2021",27.161,31.762,34.605,40.374,47.751,57.173,68.387,78.377,94.383,109.555,126.917,151.935,187.419,215.605,244.556,268.982,305.478,344.259,369.212,419.763,465.726,504.737,525.228,562.711,613.603,673.806,747.739,832.041,932.448,1129.78,1363.56,1562.68,1758.38,1949.3,2232.53,2423.64,2608.18,3077.15,3455.95,3858.93,3914.7,4128.68,4555.97,5118.68,5698.74,6315.72,6993.95,2020.0
5493,558,NPL,NGDPD,Nepal,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.263,2.647,2.675,2.927,3.096,3.215,3.499,3.629,4.279,4.326,4.452,4.872,4.426,4.754,4.965,5.391,5.557,6.04,6.006,6.177,6.551,6.734,6.832,7.234,8.315,9.351,10.339,11.803,14.342,14.696,18.293,21.733,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.983,34.265,36.296,39.381,42.556,45.828,49.299,2020.0
5494,558,NPL,PPPGDP,Nepal,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.725,7.975,8.788,8.86,10.069,11.026,11.761,12.257,13.666,14.816,16.083,17.686,18.832,20.02,22.128,23.376,25.074,26.848,27.949,29.614,32.137,34.711,35.294,37.411,40.214,42.918,45.73,48.569,52.522,55.255,58.612,61.877,67.618,72.735,79.3,80.943,81.509,98.516,108.558,117.856,116.785,123.175,132.139,143.833,155.097,166.546,178.693,2020.0
5495,558,NPL,NGDP_D,Nepal,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",6.898,7.445,7.816,9.399,10.135,11.432,13.078,14.738,16.479,18.335,20.299,22.846,27.07,29.988,31.431,33.411,36.022,38.566,40.179,43.72,45.712,46.901,48.746,50.243,52.336,55.539,59.627,64.16,67.766,78.546,90.444,100.222,107.741,115.372,124.643,130.138,139.444,150.964,157.539,164.93,170.882,177.031,187.113,197.726,208.799,220.178,231.958,2020.0
5496,558,NPL,NGDPRPC,Nepal,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",26212.75,27753.3,28141.33,26675.69,28590.95,29664.26,30332.49,30175.89,31782.37,32395.13,33071.08,34270.12,34724.54,35089.45,36979.26,37312.81,38389.43,39524.42,39852.62,40838.46,42555.83,44201.53,43577.17,44654.74,46123.33,47125.18,48108.66,49154.27,51599.5,53503.29,55811.01,57660.97,60470.22,62770.19,66570.35,68937.82,68605.59,73765.43,78079.76,82195.46,79433.17,79814.39,82246.18,86308.39,89811.09,93163.73,96656.69,2018.0
5497,558,NPL,NGDPRPPPPC,Nepal,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1266.9,1341.36,1360.11,1289.28,1381.85,1433.72,1466.02,1458.45,1536.09,1565.71,1598.38,1656.33,1678.29,1695.93,1787.27,1803.39,1855.42,1910.28,1926.14,1973.79,2056.79,2136.33,2106.15,2158.23,2229.21,2277.63,2325.17,2375.7,2493.88,2585.9,2697.43,2786.84,2922.62,3033.78,3217.45,3331.87,3315.81,3565.2,3773.72,3972.63,3839.13,3857.55,3975.09,4171.42,4340.71,4502.75,4671.57,2018.0
5498,558,NPL,NGDPPC,Nepal,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1808.08,2066.3,2199.55,2507.29,2897.77,3391.36,3966.85,4447.25,5237.45,5939.56,6713.25,7829.46,9399.91,10522.49,11622.9,12466.69,13828.58,15242.98,16012.39,17854.69,19453.0,20730.89,21242.24,22435.84,24139.23,26172.83,28685.62,31537.49,34966.91,42024.87,50477.55,57788.85,65151.31,72419.28,82975.05,89714.44,95666.04,111358.89,123006.29,135564.72,135736.97,141296.17,153893.25,170654.14,187524.37,205126.23,224202.67,2018.0
5499,558,NPL,NGDPDPC,Nepal,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",150.674,172.192,170.029,181.747,187.859,190.716,202.94,205.932,237.472,234.553,235.483,251.038,222.006,232.005,235.992,249.856,251.546,267.454,260.462,262.752,273.639,276.596,276.295,288.424,327.131,363.231,396.623,447.379,537.813,546.64,677.187,803.716,804.141,823.321,844.495,901.75,899.524,1048.45,1178.53,1200.97,1178.33,1172.64,1226.01,1312.94,1400.35,1488.45,1580.37,2018.0
