,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5535,138,NLD,NGDP_R,Netherlands,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",332.676,330.967,326.721,332.465,342.832,351.939,362.94,369.655,386.604,403.926,420.802,431.117,437.968,443.504,456.847,469.516,485.922,506.951,530.618,557.32,580.724,594.243,595.53,596.468,608.297,620.747,642.236,666.461,680.937,655.964,664.761,675.063,668.101,667.253,676.755,690.008,705.131,725.657,742.789,757.314,728.345,755.782,779.662,795.769,810.011,823.124,836.439,2020.0
5537,138,NLD,NGDP,Netherlands,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",174.58,183.061,190.472,197.887,206.918,216.239,223.219,226.639,236.486,250.445,264.949,279.91,291.435,299.81,315.237,329.547,344.625,369.046,394.295,419.459,452.007,481.881,501.137,512.81,529.286,550.883,584.546,619.17,647.198,624.842,639.187,650.359,652.966,660.463,671.56,690.008,708.337,738.146,773.987,813.055,800.095,843.612,886.697,920.709,953.685,987.36,1021.6,2020.0
5538,138,NLD,NGDPD,Netherlands,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",193.758,162.4,157.338,153.179,142.578,144.655,201.599,246.928,264.223,260.532,321.405,331.097,366.004,355.931,382.55,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,910.295,913.134,1007.56,1070.75,1128.02,1182.75,1237.82,1290.76,2020.0
5539,138,NLD,PPPGDP,Netherlands,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164.978,179.659,188.313,199.127,212.748,225.305,237.026,247.382,267.848,290.823,314.312,332.908,345.905,358.579,377.257,395.848,417.182,442.741,468.626,499.144,531.888,556.532,566.43,578.52,605.831,637.618,680.046,724.769,754.712,731.693,750.418,777.881,792.042,827.476,830.319,852.113,890.399,948.182,993.753,1031.31,1003.81,1079.16,1143.9,1195.32,1244.44,1292.06,1340.16,2020.0
5540,138,NLD,NGDP_D,Netherlands,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",52.477,55.311,58.298,59.521,60.356,61.442,61.503,61.311,61.17,62.003,62.963,64.927,66.543,67.6,69.003,70.189,70.922,72.797,74.309,75.264,77.835,81.092,84.15,85.974,87.011,88.745,91.017,92.904,95.045,95.256,96.153,96.34,97.735,98.982,99.232,100.0,100.455,101.721,104.2,107.36,109.851,111.621,113.728,115.701,117.737,119.953,122.137,2020.0
5541,138,NLD,NGDPRPC,Netherlands,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23609.09,23293.45,22870.29,23185.18,23816.73,24349.18,24979.65,25292.63,26272.88,27282.64,28255.83,28721.13,28948.62,29102.87,29778.41,30440.37,31362.17,32565.52,33896.22,35362.44,36606.54,37170.22,36977.31,36835.9,37415.17,38069.73,39318.46,40742.23,41506.88,39789.67,40106.27,40530.21,39933.48,39765.79,40212.93,40827.12,41529.3,42482.03,43232.95,43820.56,41840.67,43292.48,44532.79,45323.38,46003.5,46615.86,47236.19,2020.0
5542,138,NLD,NGDPRPPPPC,Netherlands,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",30848.89,30436.46,29883.53,30294.98,31120.2,31815.93,32639.73,33048.7,34329.53,35648.94,36920.56,37528.56,37825.8,38027.36,38910.04,39775.0,40979.48,42551.84,44290.6,46206.44,47832.04,48568.57,48316.51,48131.74,48888.64,49743.93,51375.59,53235.95,54235.1,51991.29,52404.98,52958.92,52179.2,51960.08,52544.34,53346.88,54264.39,55509.26,56490.47,57258.26,54671.24,56568.25,58188.9,59221.93,60110.61,60910.76,61721.31,2020.0
5543,138,NLD,NGDPPC,Netherlands,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12389.46,12883.83,13332.93,13800.08,14374.71,14960.67,15363.23,15507.15,16071.14,16915.97,17790.68,18647.68,19263.14,19673.63,20547.92,21365.69,22242.64,23706.78,25187.82,26615.04,28492.73,30141.91,31116.31,31669.46,32555.36,33785.05,35786.61,37851.22,39450.31,37901.86,38563.34,39047.0,39028.84,39361.13,39904.24,40827.12,41718.12,43213.17,45048.79,47045.91,45962.44,48323.53,50646.45,52439.4,54163.32,55917.03,57692.85,2020.0
5544,138,NLD,NGDPDPC,Netherlands,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13750.49,11429.73,11013.57,10682.31,9904.97,10008.04,13875.19,16895.4,17956.11,17597.26,21581.58,22057.79,24191.96,23356.33,24935.53,29350.8,29084.07,26808.39,28018.71,28393.85,26327.87,26996.17,29401.98,35814.27,40477.3,42054.88,44936.01,51880.38,58015.4,52807.45,51165.82,54342.11,50175.56,52276.99,53026.48,45302.8,46165.18,48799.87,53224.69,52672.5,52456.09,57714.88,61159.44,64246.82,67172.75,70101.47,72893.26,2020.0
5545,138,NLD,PPPPC,Netherlands,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11708.06,12644.39,13181.79,13886.58,14779.7,15587.88,16313.48,16926.44,18202.45,19643.27,21105.29,22178.4,22863.49,23530.07,24590.53,25664.24,26925.58,28440.78,29936.14,31671.12,33528.12,34811.4,35170.48,35727.49,37263.46,39104.39,41633.26,44306.71,46003.86,44383.24,45274.12,46703.31,47341.62,49314.47,49337.71,50418.74,52440.79,55509.26,57839.93,59674.84,57665.27,61816.31,65337.47,68079.7,70676.32,73172.83,75683.02,2020.0
5546,138,NLD,NGAP_NPGDP,Netherlands,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",1.969,-0.352,-2.444,-2.389,-0.388,0.254,-0.344,-1.002,-1.331,0.272,1.0,0.209,-0.709,-1.64,-1.59,-1.87,-1.51,-0.51,0.71,2.27,3.27,2.82,0.67,-1.25,-1.3,-1.17,0.37,2.4,3.27,-1.2,-0.74,-0.07,-1.84,-2.83,-2.51,-1.84,-1.16,-0.05,0.7,0.6,-1.8,-1.5,-0.8,,,,,2020.0
