,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5670,692,NER,NGDP_R,Niger,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. 2020 is an estimate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,2291.87,2287.79,2337.54,2247.23,1869.25,2013.52,2141.42,2143.31,2290.58,2312.5,2282.24,2272.2,2317.66,2325.14,2368.34,2426.47,2428.89,2465.97,2711.96,2705.93,2673.22,2867.55,3008.63,3074.32,3085.44,3311.74,3508.21,3618.5,3898.3,3974.82,4315.89,4417.57,4883.26,5142.6,5484.27,5725.22,6053.89,6356.67,6814.64,7217.15,7478.42,7879.28,8397.93,9272.56,10333.0,11218.3,11888.8,2020.0
5671,692,NER,NGDP_RPCH,Niger,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.886,-0.178,2.174,-3.864,-16.82,7.718,6.352,0.088,6.871,0.957,-1.308,-0.44,2.001,0.323,1.858,2.454,0.1,1.527,9.975,-0.222,-1.209,7.269,4.92,2.184,0.362,7.335,5.933,3.144,7.733,1.963,8.581,2.356,10.542,5.311,6.644,4.393,5.741,5.001,7.204,5.907,3.62,5.36,6.583,10.415,11.436,8.568,5.977,2020.0
5672,692,NER,NGDP,Niger,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. 2020 is an estimate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,746.008,830.321,933.214,967.136,898.588,910.834,928.006,944.615,956.016,978.678,950.419,922.68,892.503,861.093,1072.38,1145.34,1226.16,1332.01,1554.72,1556.85,1586.92,1788.19,1924.54,1961.82,1976.31,2304.13,2477.72,2735.74,3246.72,3448.08,3875.0,4126.05,4802.45,5040.75,5346.05,5724.87,6135.41,6497.01,7134.25,7564.95,7909.35,8559.04,9300.56,10470.89,11894.8,13165.93,14228.93,2020.0
5673,692,NER,NGDPD,Niger,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.185,12.85,12.912,13.761,15.637,17.261,19.717,22.679,25.372,27.63,2020.0
5674,692,NER,PPPGDP,Niger,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.074,4.452,4.829,4.825,4.158,4.62,5.013,5.141,5.688,5.968,6.11,6.289,6.561,6.739,7.01,7.333,7.475,7.72,8.585,8.687,8.776,9.626,10.257,10.688,11.015,12.194,13.316,14.105,15.487,15.893,17.464,18.247,20.574,20.822,21.91,22.907,23.871,25.137,27.592,29.745,31.193,34.049,37.289,42.153,48.044,53.293,57.649,2020.0
5675,692,NER,NGDP_D,Niger,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",32.55,36.294,39.923,43.037,48.072,45.236,43.336,44.073,41.737,42.321,41.644,40.607,38.509,37.034,45.28,47.202,50.482,54.016,57.328,57.535,59.364,62.36,63.967,63.813,64.053,69.574,70.626,75.604,83.285,86.748,89.784,93.401,98.345,98.019,97.48,99.994,101.347,102.208,104.69,104.819,105.762,108.627,110.748,112.923,115.115,117.361,119.684,2020.0
5676,692,NER,NGDPRPC,Niger,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",395576.05,381858.82,377078.34,350326.96,281781.77,293783.44,302616.75,293493.54,304028.95,297544.03,284621.72,274344.6,270623.61,262393.71,258244.78,255679.13,247174.97,242279.22,257162.01,247570.57,235909.53,244018.24,246811.41,243068.06,235064.53,243073.12,248036.03,246400.89,255611.28,250885.89,262140.62,258114.71,274414.47,277913.95,285042.63,286237.0,291209.43,294257.94,303644.39,309606.33,308940.87,313530.49,321961.44,342587.66,367986.56,385170.74,393620.04,2009.0
5677,692,NER,NGDPRPPPPC,Niger,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1564.3,1510.06,1491.15,1385.37,1114.3,1161.76,1196.7,1160.62,1202.28,1176.64,1125.53,1084.89,1070.18,1037.63,1021.23,1011.08,977.451,958.091,1016.95,979.015,932.902,964.968,976.013,961.21,929.56,961.23,980.856,974.39,1010.81,992.126,1036.63,1020.71,1085.17,1099.01,1127.2,1131.92,1151.59,1163.64,1200.76,1224.34,1221.7,1239.85,1273.19,1354.76,1455.2,1523.15,1556.57,2009.0
5678,692,NER,NGDPPC,Niger,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",128760.99,138590.04,150540.54,150769.75,135458.64,132895.65,131142.03,129350.6,126892.17,125924.16,118528.0,111404.02,104213.96,97174.9,116932.47,120685.51,124779.68,130869.17,147426.42,142439.06,140044.36,152168.61,157878.84,155109.41,150565.13,169116.8,175178.79,186289.85,212886.64,217638.46,235361.64,241081.42,269872.88,272409.83,277858.43,286219.85,295130.6,300754.53,317885.78,324526.85,326742.74,340579.55,356566.34,386861.83,423606.47,452041.02,471098.3,2009.0
5679,692,NER,NGDPDPC,Niger,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,568.488,622.23,661.763,728.477,807.676,871.123,914.794,2009.0
5680,692,NER,PPPPC,Niger,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",703.176,743.011,779.045,752.12,626.794,674.153,708.405,704.042,755.032,767.904,762.043,759.37,766.141,760.447,764.41,772.684,760.662,758.452,814.103,794.783,774.505,819.176,841.466,845.06,839.172,894.975,941.428,960.495,1015.51,1003.12,1060.72,1066.13,1156.14,1125.27,1138.77,1145.24,1148.28,1163.64,1229.44,1276.01,1288.61,1354.88,1429.61,1557.39,1710.98,1829.78,1908.67,2009.0
5682,692,NER,PPPSH,Niger,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.03,0.03,0.03,0.029,0.023,0.024,0.024,0.023,0.024,0.023,0.022,0.022,0.02,0.019,0.019,0.019,0.018,0.018,0.019,0.019,0.017,0.018,0.019,0.018,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.021,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.024,0.024,0.024,0.026,0.028,0.029,0.03,2020.0
5683,692,NER,PPPEX,Niger,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",183.114,186.525,193.237,200.46,216.114,197.13,185.123,183.726,168.062,163.984,155.54,146.706,136.025,127.787,152.971,156.19,164.041,172.548,181.091,179.218,180.818,185.758,187.624,183.548,179.421,188.963,186.078,193.952,209.636,216.961,221.889,226.128,233.427,242.084,244.0,249.921,257.019,258.46,258.561,254.33,253.562,251.373,249.416,248.404,247.581,247.046,246.82,2020.0
5684,692,NER,NID_NGDP,Niger,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. 2020 is an estimate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,23.398,17.552,16.671,10.698,3.557,10.392,9.445,9.549,15.267,11.529,11.355,12.146,8.538,6.556,13.027,12.075,14.721,13.679,14.671,11.236,13.185,13.833,14.668,13.976,12.54,19.394,19.865,18.966,26.509,28.551,32.722,31.676,29.378,29.767,31.213,32.368,28.637,26.212,28.945,30.245,31.228,31.67,33.291,30.014,30.226,29.922,29.749,2020.0
5685,692,NER,NGSD_NGDP,Niger,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,Source: National Statistics Office Latest actual data: 2020. 2020 is an estimate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,12.119,8.11,6.419,6.403,1.916,5.674,9.836,5.413,10.94,6.102,11.355,12.146,8.538,6.556,13.027,5.694,10.257,7.962,8.883,5.811,8.516,10.045,8.709,9.026,7.009,14.045,14.525,13.27,16.042,10.533,18.233,13.3,17.481,17.159,19.142,17.019,17.221,14.875,16.294,17.678,17.757,16.281,17.182,18.626,21.457,22.026,21.002,2020.0
