,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5760,962,MKD,NGDP_R,North Macedonia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Macedonian denar Data last updated: 09/2021,,,,,,,,,,,,,269.265,249.07,244.587,241.897,244.799,248.106,256.494,267.646,279.794,271.212,275.263,281.381,294.533,308.447,324.292,345.285,364.179,362.873,375.061,383.837,382.086,393.263,407.535,423.249,435.304,440.013,452.688,467.057,445.89,463.726,483.202,501.564,520.122,538.846,558.244,2020.0
5761,962,MKD,NGDP_RPCH,North Macedonia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-7.5,-1.8,-1.1,1.2,1.351,3.381,4.348,4.539,-3.067,1.494,2.223,4.674,4.724,5.137,6.473,5.472,-0.359,3.359,2.34,-0.456,2.925,3.629,3.856,2.848,1.082,2.881,3.174,-4.532,4.0,4.2,3.8,3.7,3.6,3.6,2020.0
5762,962,MKD,NGDP,North Macedonia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Macedonian denar Data last updated: 09/2021,,,,,,,,,,,,,12.408,62.245,154.03,178.345,185.629,195.607,205.029,219.918,248.646,252.393,258.581,268.693,280.787,308.447,334.839,372.889,414.89,414.622,437.297,464.186,466.703,501.891,527.631,558.954,594.794,618.106,660.877,689.425,664.009,717.016,761.169,801.072,848.904,901.321,957.085,2020.0
5763,962,MKD,NGDPD,North Macedonia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.55,12.288,13.885,14.904,15.913,17.07,18.321,19.607,2020.0
5764,962,MKD,PPPGDP,North Macedonia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,11.57,10.956,10.989,11.096,11.435,11.789,12.325,13.042,13.943,13.819,14.244,14.848,15.96,17.238,18.683,20.429,21.961,22.022,23.035,24.064,24.559,26.27,27.776,28.76,31.37,32.458,34.191,35.907,34.693,37.381,40.023,42.533,45.112,47.751,50.495,2020.0
5765,962,MKD,NGDP_D,North Macedonia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,4.608,24.991,62.976,73.728,75.829,78.84,79.935,82.168,88.868,93.061,93.94,95.491,95.333,100.0,103.252,107.995,113.925,114.261,116.594,120.933,122.146,127.622,129.469,132.063,136.639,140.474,145.99,147.61,148.918,154.621,157.526,159.715,163.213,167.269,171.446,2020.0
5766,962,MKD,NGDPRPC,North Macedonia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,139330.0,128257.14,125307.83,123197.41,123816.09,125092.99,128700.29,133704.36,139234.66,134522.22,136153.82,138855.52,144908.55,151432.97,158815.56,168828.91,177768.05,176776.5,182308.81,186347.28,185272.32,190371.24,196955.59,204341.96,209916.37,212023.7,217938.97,224951.66,215529.91,224151.11,233565.45,242440.94,251411.25,260462.06,269838.69,2020.0
5767,962,MKD,NGDPRPPPPC,North Macedonia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,10277.92,9461.11,9243.55,9087.87,9133.51,9227.7,9493.8,9862.93,10270.89,9923.26,10043.62,10242.92,10689.43,11170.72,11715.3,12453.96,13113.37,13040.22,13448.33,13746.23,13666.93,14043.06,14528.77,15073.64,15484.84,15640.3,16076.65,16593.95,15898.94,16534.89,17229.36,17884.08,18545.79,19213.43,19905.12,2020.0
5768,962,MKD,NGDPPC,North Macedonia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,6420.42,32052.55,78913.39,90830.88,93888.39,98623.22,102876.6,109861.72,123734.4,125187.92,127902.38,132594.27,138145.6,151432.97,163980.74,182326.03,202521.8,201986.44,212560.35,225355.55,226302.85,242956.01,254996.2,269859.48,286827.13,297839.21,318168.03,332052.18,320962.12,346584.2,367926.59,387214.52,410334.69,435671.77,462626.32,2020.0
5769,962,MKD,NGDPDPC,North Macedonia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,1263.86,1383.54,1824.42,2387.16,2348.11,1980.43,1888.76,1931.99,1878.24,1839.62,1974.06,2440.81,2796.62,3071.9,3359.61,4076.3,4838.15,4579.09,4576.23,5097.26,4728.37,5239.65,5498.61,4860.42,5152.97,5462.38,6111.19,6044.44,5939.41,6711.73,7203.98,7692.06,8251.31,8856.04,9477.47,2020.0
