,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5805,142,NOR,NGDP_R,Norway,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 1980 Primary domestic currency: Norwegian krone Data last updated: 09/2021",1441.7,1464.74,1468.19,1526.52,1618.91,1708.81,1777.89,1809.06,1804.44,1823.18,1858.41,1915.73,1984.21,2040.67,2143.83,2232.92,2345.19,2469.12,2533.92,2584.93,2667.77,2723.12,2762.51,2787.65,2898.3,2974.4,3045.78,3136.97,3151.92,3097.48,3119.22,3149.84,3234.98,3268.43,3332.8,3398.36,3434.78,3514.58,3553.9,3584.17,3556.72,3664.37,3813.42,3924.54,3994.21,4048.37,4103.29,2020.0
5806,142,NOR,NGDP_RPCH,Norway,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.515,1.598,0.235,3.973,6.052,5.553,4.042,1.753,-0.255,1.038,1.932,3.085,3.574,2.845,5.055,4.156,5.028,5.285,2.624,2.013,3.205,2.075,1.446,0.91,3.969,2.625,2.4,2.994,0.476,-1.727,0.702,0.981,2.703,1.034,1.97,1.967,1.072,2.323,1.119,0.852,-0.766,3.026,4.068,2.914,1.775,1.356,1.357,2020.0
5807,142,NOR,NGDP,Norway,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 1980 Primary domestic currency: Norwegian krone Data last updated: 09/2021",318.279,365.013,404.325,449.656,506.486,562.402,581.913,634.875,664.084,708.635,749.859,790.088,813.093,855.4,897.243,963.139,1054.67,1141.34,1163.18,1265.69,1507.28,1564.31,1561.03,1620.37,1783.02,1989.99,2216.32,2350.17,2607.09,2428.48,2591.48,2792.68,2964.05,3071.22,3140.81,3111.17,3098.15,3295.38,3553.9,3568.49,3413.45,3850.81,4051.54,4188.55,4304.58,4417.87,4543.89,2020.0
5808,142,NOR,NGDPD,Norway,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.163,162.285,171.246,173.973,195.525,228.858,264.51,308.884,345.579,400.939,462.25,386.188,428.757,498.283,509.506,522.762,498.41,385.802,368.827,398.394,437.0,405.51,362.522,445.507,458.398,473.816,486.24,497.549,509.193,2020.0
5809,142,NOR,PPPGDP,Norway,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",60.566,67.356,71.686,77.452,85.105,92.671,98.359,102.559,105.904,111.2,117.591,125.318,132.755,139.768,149.97,159.478,170.563,182.673,189.577,196.118,206.989,216.044,222.584,229.043,244.527,258.817,273.206,288.991,295.936,292.689,298.286,307.472,327.988,340.138,338.506,313.315,308.491,332.135,343.874,353.008,354.526,378.418,404.649,426.35,443.808,459.598,475.486,2020.0
5810,142,NOR,NGDP_D,Norway,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",22.077,24.92,27.539,29.456,31.286,32.912,32.731,35.094,36.803,38.868,40.35,41.242,40.978,41.918,41.852,43.134,44.972,46.225,45.904,48.964,56.5,57.445,56.508,58.127,61.519,66.904,72.767,74.918,82.714,78.402,83.081,88.661,91.625,93.966,94.239,91.549,90.199,93.763,100.0,99.562,95.972,105.088,106.244,106.727,107.77,109.127,110.738,2020.0
5811,142,NOR,NGDPRPC,Norway,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",352292.09,356639.53,356139.26,369227.3,390489.03,410852.17,425942.47,430903.88,427522.68,430693.37,437289.73,448226.62,461526.49,471850.47,493014.69,510970.25,533881.1,559472.45,570630.41,577852.48,592731.84,602540.2,607504.41,609598.59,630174.76,642168.41,651939.02,664384.89,658429.53,639621.98,635519.07,633383.6,642097.86,641333.91,646336.6,652849.12,653973.62,664345.12,667532.82,669090.01,660539.29,676471.15,699788.62,715885.69,724247.91,729691.06,735179.13,2020.0
5812,142,NOR,NGDPRPPPPC,Norway,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",33292.39,33703.24,33655.96,34892.81,36902.09,38826.45,40252.52,40721.38,40401.85,40701.49,41324.86,42358.42,43615.29,44590.93,46591.0,48287.84,50452.96,52871.4,53925.86,54608.36,56014.49,56941.4,57410.53,57608.44,59552.93,60686.36,61609.7,62785.86,62223.07,60445.71,60057.98,59856.17,60679.69,60607.49,61080.26,61695.71,61801.98,62782.11,63083.35,63230.51,62422.45,63928.04,66131.6,67652.8,68443.05,68957.44,69476.08,2020.0
5813,142,NOR,NGDPPC,Norway,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",77774.33,88874.46,98077.36,108760.91,122167.13,135219.22,139413.59,151222.32,157340.3,167402.69,176444.47,184857.85,189125.22,197788.81,206338.18,220400.11,240095.99,258613.5,261943.64,282940.99,334892.02,346130.89,343286.2,354338.93,387680.3,429635.87,474395.8,497747.17,544616.58,501475.01,527995.39,561565.8,588323.22,602637.99,609103.82,597676.97,589880.06,622911.65,667532.82,666161.95,633931.07,710889.49,743484.79,764042.97,780525.51,796290.57,814119.4,2020.0
5814,142,NOR,NGDPDPC,Norway,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",15746.26,15484.68,15196.29,14906.17,14968.79,15728.22,18853.07,22445.04,24143.12,24245.45,28187.18,28514.5,30432.89,27880.63,29236.38,34790.0,37225.29,36561.41,34717.06,36278.34,38047.95,38494.69,42997.96,50046.34,57512.22,66687.76,73970.24,84915.64,96563.22,79746.89,87356.19,100197.17,101129.91,102576.68,96657.58,74115.16,70223.82,75306.67,82082.12,75700.22,67326.07,82244.23,84119.22,86429.97,88167.22,89679.84,91231.21,2020.0
