,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
5895,564,PAK,NGDP_R,Pakistan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Real GDP is based on factor costs whereas nominal GDP is based on market prices. Start/end months of reporting year: July/June Base year: FY2005/06. Data before 2006 were extended backwards using growth rates for overall GDP and expenditure component shares of the original series. Real GDP is based on factor costs whereas nominal GDP is based on market prices. As a result, any calculated GDP deflator using these the two different concepts will not be accurate. Chain-weighted: No Primary domestic currency: Pakistan rupee Data last updated: 09/2021",2031.01,2157.1,2320.22,2477.71,2576.15,2800.49,2978.68,3151.77,3354.62,3515.92,3677.26,3865.78,4158.38,4245.6,4431.08,4655.38,4962.59,5047.09,5223.43,5441.88,5654.54,5765.77,5945.2,6226.16,6692.04,7291.54,7715.78,8142.97,8549.15,8579.99,8801.39,9120.34,9470.26,9819.06,10217.06,10631.65,11116.8,11696.93,12344.27,12600.65,12541.83,13036.38,13551.94,14163.3,14873.14,15623.78,16410.9,2020.0
5896,564,PAK,NGDP_RPCH,Pakistan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.912,6.208,7.562,6.788,3.973,8.708,6.363,5.811,6.436,4.808,4.589,5.127,7.569,2.097,4.369,5.062,6.599,1.703,3.494,4.182,3.908,1.967,3.112,4.726,7.483,8.958,5.818,5.537,4.988,0.361,2.581,3.624,3.837,3.683,4.053,4.058,4.563,5.219,5.534,2.077,-0.467,3.943,3.955,4.511,5.012,5.047,5.038,2020.0
5897,564,PAK,NGDP,Pakistan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Real GDP is based on factor costs whereas nominal GDP is based on market prices. Start/end months of reporting year: July/June Base year: FY2005/06. Data before 2006 were extended backwards using growth rates for overall GDP and expenditure component shares of the original series. Real GDP is based on factor costs whereas nominal GDP is based on market prices. As a result, any calculated GDP deflator using these the two different concepts will not be accurate. Chain-weighted: No Primary domestic currency: Pakistan rupee Data last updated: 09/2021",306.285,362.325,422.188,474.581,546.754,614.942,670.132,745.603,879.634,1001.31,1121.54,1332.21,1579.17,1746.42,2045.51,2444.91,2778.05,3181.81,3508.52,3850.14,4123.72,4537.33,4798.99,5254.89,6079.32,7005.35,8216.16,9239.79,10637.77,13199.71,14867.0,18276.44,20046.5,22385.66,25168.81,27443.02,29075.63,31922.3,34616.3,38086.23,41556.33,47709.33,53981.22,61318.59,68480.24,77242.53,86329.01,2020.0
5898,564,PAK,NGDPD,Pakistan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",30.938,36.599,40.004,37.35,40.549,40.545,41.522,43.401,49.981,52.11,52.298,59.413,63.563,67.274,67.813,79.25,82.758,81.598,81.224,76.919,79.653,77.644,78.258,89.943,105.562,117.798,137.267,152.398,169.726,167.125,176.738,213.308,223.119,230.644,243.94,270.17,278.023,304.603,313.073,276.942,261.726,,,,,,,2020.0
5899,564,PAK,PPPGDP,Pakistan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",70.171,81.578,93.168,103.389,111.376,124.903,135.526,146.948,161.921,176.362,191.358,207.972,228.811,239.147,254.926,273.446,296.828,307.088,321.394,339.553,360.816,376.203,393.956,420.716,464.336,521.799,569.196,616.944,660.139,666.766,692.193,732.18,752.629,784.863,827.826,872.097,898.016,950.382,1026.94,1067.02,1074.84,1157.48,1236.37,1322.9,1420.86,1524.99,1635.02,2020.0
5900,564,PAK,NGDP_D,Pakistan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",15.08,16.797,18.196,19.154,21.224,21.958,22.498,23.657,26.222,28.479,30.499,34.462,37.976,41.135,46.163,52.518,55.98,63.042,67.169,70.75,72.928,78.694,80.721,84.4,90.844,96.075,106.485,113.469,124.431,153.843,168.916,200.392,211.679,227.982,246.341,258.126,261.547,272.912,280.424,302.256,331.342,365.971,398.328,432.94,460.429,494.391,526.047,2020.0
5901,564,PAK,NGDPRPC,Pakistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",25268.01,26065.76,27231.49,28267.98,28592.69,30254.18,31331.04,32293.77,33495.46,34226.29,34789.64,35781.04,36927.3,36745.76,37393.05,38322.15,39863.35,39581.88,40007.86,40729.56,41114.95,41078.46,41525.45,42426.96,44717.93,47803.95,49660.66,51482.39,51920.01,51016.69,51251.35,52024.05,52933.07,53794.2,54874.35,55994.36,57433.36,59297.04,61426.48,61547.83,60132.64,61352.98,62605.07,64224.65,66201.76,68262.52,70381.41,2020.0
5902,564,PAK,NGDPRPPPPC,Pakistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2053.04,2117.86,2212.57,2296.79,2323.17,2458.17,2545.66,2623.89,2721.52,2780.9,2826.68,2907.23,3000.36,2985.61,3038.2,3113.7,3238.92,3216.05,3250.66,3309.3,3340.61,3337.65,3373.96,3447.21,3633.36,3884.1,4034.95,4182.97,4218.53,4145.13,4164.2,4226.98,4300.84,4370.81,4458.57,4549.57,4666.49,4817.92,4990.93,5000.79,4885.81,4984.96,5086.69,5218.29,5378.93,5546.37,5718.53,2020.0
5903,564,PAK,NGDPPC,Pakistan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3810.53,4378.24,4955.06,5414.45,6068.42,6643.33,7048.73,7639.62,8783.03,9747.37,10610.6,12330.7,14023.38,15115.24,17261.66,20126.02,22315.47,24953.38,26872.86,28816.29,29984.14,32326.37,33519.55,35808.45,40623.59,45927.71,52881.25,58416.81,64604.47,78485.59,86571.92,104252.13,112047.96,122640.97,135178.07,144535.85,150215.09,161828.57,172254.69,186032.06,199244.5,224533.87,249373.73,278054.26,304812.04,337483.62,370239.21,2020.0
5904,564,PAK,NGDPDPC,Pakistan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",384.902,442.247,469.517,426.125,450.053,438.018,436.749,444.693,499.054,507.269,494.774,549.918,564.456,582.256,572.263,652.368,664.776,639.935,622.117,575.697,579.17,553.176,546.605,612.898,705.39,772.293,883.483,963.509,1030.76,993.725,1029.17,1216.75,1247.1,1263.59,1310.17,1422.92,1436.37,1544.17,1557.89,1352.72,1254.86,,,,,,,2020.0
