,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6030,853,PNG,NGDP_R,Papua New Guinea,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistical Office and MOF Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Papua New Guinea kina Data last updated: 09/2021,16.264,16.451,16.588,17.158,16.989,17.597,18.592,19.106,19.661,19.382,18.775,20.571,23.415,26.538,29.322,28.311,30.18,28.265,29.589,30.138,29.386,29.35,29.303,31.954,32.139,33.505,34.355,37.04,36.931,39.442,43.437,43.918,45.963,47.721,54.185,57.747,60.919,63.072,62.896,66.582,63.982,64.76,67.36,69.628,71.58,73.646,75.639,2019.0
6031,853,PNG,NGDP_RPCH,Papua New Guinea,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.309,1.149,0.832,3.438,-0.983,3.578,5.654,2.762,2.909,-1.424,-3.132,9.568,13.827,13.334,10.492,-3.446,6.599,-6.343,4.682,1.856,-2.494,-0.123,-0.159,9.046,0.578,4.252,2.537,7.815,-0.296,6.8,10.128,1.108,4.657,3.825,13.544,6.576,5.492,3.535,-0.279,5.86,-3.905,1.215,4.015,3.367,2.803,2.886,2.707,2019.0
6032,853,PNG,NGDP,Papua New Guinea,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistical Office and MOF Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Papua New Guinea kina Data last updated: 09/2021,2.74,2.697,2.806,3.169,3.138,3.25,3.434,3.528,4.682,4.498,4.543,5.325,6.237,7.189,8.168,9.15,10.036,10.457,11.526,13.039,14.38,15.355,17.087,19.558,20.234,22.766,25.539,28.304,31.512,32.013,38.752,42.642,44.372,47.721,57.131,60.139,65.038,72.522,79.405,84.109,81.539,92.687,99.161,105.109,110.915,117.333,123.928,2019.0
6033,853,PNG,NGDPD,Papua New Guinea,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.829,23.279,26.461,28.31,30.008,31.665,33.498,35.381,2019.0
6034,853,PNG,PPPGDP,Papua New Guinea,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.179,3.52,3.768,4.05,4.155,4.44,4.786,5.039,5.369,5.5,5.527,6.261,7.289,8.457,9.543,9.408,10.212,9.729,10.299,10.638,10.608,10.834,10.985,12.215,12.616,13.565,14.338,15.876,16.133,17.34,19.326,19.946,21.265,22.465,25.985,27.971,29.803,31.442,32.103,34.592,33.642,35.278,37.704,39.901,41.955,44.103,46.236,2019.0
6035,853,PNG,NGDP_D,Papua New Guinea,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",16.848,16.394,16.916,18.468,18.468,18.468,18.468,18.468,23.813,23.21,24.2,25.888,26.638,27.089,27.857,32.317,33.253,36.994,38.954,43.266,48.934,52.318,58.31,61.206,62.959,67.948,74.337,76.415,85.329,81.165,89.215,97.095,96.537,100.0,105.437,104.142,106.761,114.982,126.247,126.324,127.44,143.124,147.212,150.958,154.953,159.321,163.841,2019.0
6036,853,PNG,NGDPRPC,Papua New Guinea,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5494.63,5411.51,5333.74,5395.67,5227.53,5284.47,5468.29,5703.18,5698.98,5383.77,4995.57,5308.98,5600.75,6188.1,6661.84,6263.6,6504.55,5937.16,6059.73,6020.38,5728.27,5583.96,5442.37,5794.53,5691.49,5795.63,5805.74,6116.43,5960.1,6222.38,6498.97,6231.83,6185.47,6285.02,6986.34,7291.51,7534.85,7641.81,7464.79,7740.78,7286.58,7224.46,7361.0,7453.44,7505.83,7564.72,7610.76,2019.0
6037,853,PNG,NGDPRPPPPC,Papua New Guinea,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2739.08,2697.65,2658.88,2689.75,2605.93,2634.32,2725.95,2843.04,2840.95,2683.82,2490.3,2646.54,2791.99,3084.78,3320.94,3122.42,3242.53,2959.69,3020.79,3001.17,2855.55,2783.61,2713.03,2888.58,2837.22,2889.13,2894.17,3049.05,2971.12,3101.87,3239.75,3106.58,3083.47,3133.09,3482.7,3634.83,3756.13,3809.45,3721.21,3858.79,3632.37,3601.41,3669.47,3715.55,3741.67,3771.03,3793.98,2019.0
6038,853,PNG,NGDPPC,Papua New Guinea,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",925.718,887.17,902.25,996.462,965.41,975.927,1009.88,1053.25,1357.08,1249.58,1208.92,1374.37,1491.93,1676.31,1855.79,2024.24,2162.98,2196.42,2360.5,2604.79,2803.07,2921.41,3173.44,3546.62,3583.28,3938.01,4315.81,4673.86,5085.69,5050.43,5798.04,6050.82,5971.28,6285.02,7366.21,7593.53,8044.31,8786.67,9424.07,9778.43,9286.03,10339.96,10836.24,11251.54,11630.5,12052.18,12469.56,2019.0
6039,853,PNG,NGDPDPC,Papua New Guinea,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1380.84,1319.41,1223.39,1194.66,1079.59,975.967,1039.81,1159.83,1565.17,1455.04,1265.88,1444.1,1546.58,1713.71,1834.98,1581.63,1639.77,1527.44,1138.37,1013.23,1007.52,862.099,814.701,995.275,1111.94,1269.53,1411.9,1576.16,1883.53,1833.09,2132.19,2552.04,2865.78,2800.17,2992.71,2742.92,2567.58,2755.49,2861.45,2886.59,2651.09,2951.98,3093.66,3212.23,3320.42,3440.8,3559.96,2019.0
