,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6075,288,PRY,NGDP_R,Paraguay,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2019 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Paraguayan guaranÌ Data last updated: 09/2021",61862.37,67535.43,66591.54,64565.41,66383.96,68954.26,69135.36,71950.89,76182.35,80613.87,83935.16,86864.5,88338.1,92698.78,97628.43,104289.43,105930.72,110424.85,110499.98,108990.46,106468.27,105580.26,105557.67,110118.54,114586.51,117031.21,122657.03,129307.04,137707.2,137347.59,152586.63,159127.06,158000.37,171103.46,180174.06,185502.08,193419.36,202722.98,209218.73,208377.98,207199.19,216523.16,224751.04,233741.08,241922.02,250389.29,259152.91,2019.0
6076,288,PRY,NGDP_RPCH,Paraguay,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.712,9.17,-1.398,-3.043,2.817,3.872,0.263,4.072,5.881,5.817,4.12,3.49,1.696,4.936,5.318,6.823,1.574,4.243,0.068,-1.366,-2.314,-0.834,-0.021,4.321,4.057,2.133,4.807,5.422,6.496,-0.261,11.095,4.286,-0.708,8.293,5.301,2.957,4.268,4.81,3.204,-0.402,-0.566,4.5,3.8,4.0,3.5,3.5,3.5,2019.0
6077,288,PRY,NGDP,Paraguay,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank Latest actual data: 2019 Notes: Before 2008, GDP data were constructed backward using the new 2014 base year. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Paraguayan guaranÌ Data last updated: 09/2021",515.946,657.659,689.173,764.665,991.182,1292.43,1706.82,2318.9,3071.21,4273.29,6031.16,9255.68,10738.28,12645.36,14992.33,17789.15,20132.86,21702.87,25248.61,27563.44,30874.09,34883.19,41135.7,49411.96,57501.99,66335.83,75681.66,89866.05,107403.59,111030.93,129092.88,141486.45,147225.51,166350.81,180174.06,188477.33,204647.27,219122.28,230576.48,236566.7,241527.09,255143.99,270177.56,286222.46,308356.48,331833.05,357264.06,2019.0
6078,288,PRY,NGDPD,Paraguay,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.907,35.67,36.973,39.197,41.306,44.013,46.693,49.496,2019.0
6079,288,PRY,PPPGDP,Paraguay,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.131,13.301,13.926,14.031,14.947,16.016,16.382,17.471,19.15,21.059,22.747,24.337,25.314,27.193,29.251,31.902,32.998,34.991,35.409,35.417,35.381,35.877,36.428,38.752,41.407,43.616,47.124,51.021,55.377,55.587,62.497,66.53,64.335,72.02,75.594,76.83,81.617,86.46,91.362,92.623,93.209,100.913,107.631,114.599,121.314,128.287,135.529,2019.0
6080,288,PRY,NGDP_D,Paraguay,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.834,0.974,1.035,1.184,1.493,1.874,2.469,3.223,4.031,5.301,7.185,10.655,12.156,13.641,15.357,17.057,19.006,19.654,22.849,25.29,28.998,33.039,38.97,44.872,50.182,56.682,61.702,69.498,77.994,80.839,84.603,88.914,93.18,97.222,100.0,101.604,105.805,108.09,110.208,113.528,116.568,117.837,120.212,122.453,127.461,132.527,137.858,2019.0
6081,288,PRY,NGDPRPC,Paraguay,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",19634627.14,20811930.36,19924356.3,18756405.92,18723945.39,18883384.13,18350738.58,18510755.46,18996636.7,19483472.68,20286191.75,19715390.86,19648851.3,20206413.44,20855354.39,21832710.15,21732783.89,22201704.73,21772474.07,21045543.82,20147349.95,19606356.32,19246156.85,19722193.05,20167035.35,20248423.49,20869541.03,21642554.91,22679869.19,22265033.65,24351999.46,25007094.31,24454320.96,26086712.96,27064410.67,27458374.96,28217718.16,29153480.17,29663863.84,29132760.74,28568670.07,29446760.65,30152970.13,30939429.84,31593775.32,32261959.71,32944275.69,2019.0
6082,288,PRY,NGDPRPPPPC,Paraguay,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8374.04,8876.15,8497.61,7999.49,7985.64,8053.64,7826.47,7894.72,8101.94,8309.57,8651.93,8408.49,8380.11,8617.9,8894.67,9311.51,9268.89,9468.88,9285.82,8975.79,8592.71,8361.98,8208.36,8411.39,8601.11,8635.82,8900.72,9230.41,9672.82,9495.89,10385.97,10665.36,10429.61,11125.81,11542.79,11710.82,12034.67,12433.77,12651.44,12424.93,12184.35,12558.85,12860.05,13195.47,13474.54,13759.52,14050.52,2019.0
6083,288,PRY,NGDPPC,Paraguay,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",163757.23,202666.31,206202.36,222137.04,279568.11,353937.67,453045.47,596582.35,765829.36,1032805.33,1457664.1,2100736.53,2388493.11,2756426.78,3202657.3,3724109.53,4130465.11,4363516.39,4974885.29,5322370.39,5842407.88,6477841.19,7500204.48,8849664.89,10120254.69,11477246.04,12876892.75,15041183.91,17688976.51,17998913.71,20602525.35,22234842.33,22786654.53,25362115.69,27064410.68,27898776.56,29855745.22,31511853.82,32692049.7,33073750.23,33301807.49,34699124.68,36247466.86,37886193.07,40269776.28,42755760.73,45416452.23,2019.0
6084,288,PRY,NGDPDPC,Paraguay,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1299.66,1608.46,1636.53,1762.99,1390.89,1154.15,1335.76,1084.7,1392.42,977.835,1185.28,1585.24,1592.06,1580.21,1681.4,1897.13,2008.19,2003.58,1824.65,1706.4,1675.79,1577.68,1312.08,1377.52,1693.89,1857.78,2285.13,2988.68,4054.04,3623.93,4329.69,5301.83,5153.42,5892.85,6065.28,5360.08,5265.06,5608.16,5703.32,5299.67,4918.23,5028.22,5258.69,5467.53,5747.83,6016.24,6292.03,2019.0
