,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6120,293,PER,NGDP_R,Peru,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2021,166.847,175.959,175.388,159.026,165.07,168.518,188.919,203.538,184.362,159.617,151.493,154.854,154.017,162.094,182.044,195.536,201.01,214.028,213.19,216.377,222.208,223.579,235.773,245.592,257.771,273.971,294.598,319.693,348.87,352.693,382.081,406.256,431.199,456.435,467.309,482.506,501.58,514.215,534.665,546.161,486.059,534.851,559.252,584.493,603.512,622.828,642.55,2020.0
6121,293,PER,NGDP_RPCH,Peru,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.661,5.461,-0.324,-9.329,3.801,2.089,12.106,7.738,-9.422,-13.422,-5.09,2.219,-0.541,5.244,12.308,7.411,2.799,6.476,-0.392,1.495,2.695,0.617,5.454,4.165,4.959,6.285,7.529,8.518,9.127,1.096,8.332,6.327,6.14,5.853,2.382,3.252,3.953,2.519,3.977,2.15,-11.004,10.038,4.562,4.513,3.254,3.201,3.167,2020.0
6123,293,PER,NGDPD,Peru,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.734,121.531,148.819,170.656,192.85,202.082,202.278,191.247,194.266,214.128,225.369,230.865,205.458,225.858,231.691,246.721,258.714,270.706,283.487,2020.0
6124,293,PER,PPPGDP,Peru,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",53.843,62.156,65.783,61.982,66.659,70.204,80.287,88.639,83.119,74.785,73.635,77.814,79.158,85.283,97.826,107.279,112.302,121.636,122.524,126.108,132.44,136.26,145.931,155.008,167.063,183.13,202.994,226.239,251.621,256.009,280.674,304.634,318.033,337.9,348.886,355.377,376.168,399.121,424.907,441.808,397.928,453.652,487.404,521.524,550.767,580.743,611.547,2020.0
6126,293,PER,NGDPRPC,Peru,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9625.91,9902.55,9633.56,8529.57,8649.71,8630.53,9458.71,9964.96,8830.45,7484.66,6960.55,6974.17,6802.78,7025.22,7745.9,8172.43,8255.66,8641.38,8465.88,8456.01,8551.86,8479.65,8817.45,9061.28,9387.12,9851.34,10464.76,11224.43,12110.58,12106.72,12968.63,13633.81,14308.49,14977.29,15165.39,15488.94,15928.93,16157.06,16624.03,16469.39,14511.91,15810.55,16368.17,16937.55,17315.53,17692.81,18072.34,2018.0
6127,293,PER,NGDPRPPPPC,Peru,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7471.39,7686.12,7477.33,6620.44,6713.69,6698.8,7341.61,7734.55,6853.98,5809.41,5402.61,5413.18,5280.15,5452.8,6012.18,6343.24,6407.84,6707.23,6571.0,6563.34,6637.74,6581.69,6843.88,7033.14,7286.05,7646.36,8122.48,8712.12,9399.93,9396.93,10065.93,10582.22,11105.9,11625.0,11771.0,12022.13,12363.64,12540.71,12903.16,12783.13,11263.78,12271.76,12704.57,13146.51,13439.88,13732.72,14027.3,2018.0
6129,293,PER,NGDPDPC,Peru,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1164.83,1373.07,1332.46,1011.73,1018.79,861.599,1263.73,2040.65,1579.55,1908.46,1301.47,1530.74,1562.58,1487.86,1839.23,2147.43,2193.69,2272.35,2141.11,1903.93,1940.24,1935.55,2017.77,2159.74,2408.09,2669.21,3106.72,3587.8,4225.86,4171.73,5051.22,5727.14,6399.34,6631.03,6564.46,6139.23,6169.39,6728.07,7007.28,6961.7,6134.22,6676.52,6781.12,7149.52,7422.85,7689.99,7973.34,2018.0
6130,293,PER,PPPPC,Peru,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3106.4,3498.01,3613.26,3324.46,3492.97,3595.42,4019.77,4339.67,3981.21,3506.79,3383.27,3504.54,3496.32,3696.21,4162.44,4483.73,4612.33,4911.07,4865.48,4928.29,5097.07,5167.9,5457.52,5719.13,6083.83,6584.92,7210.78,7943.25,8734.71,8787.89,9526.68,10223.4,10553.32,11087.72,11322.27,11407.96,11946.16,12540.71,13211.39,13322.64,11880.64,13410.25,14265.34,15112.82,15802.22,16497.28,17200.36,2018.0
6132,293,PER,PPPSH,Peru,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.402,0.417,0.415,0.367,0.365,0.36,0.39,0.405,0.351,0.293,0.267,0.267,0.239,0.246,0.269,0.279,0.276,0.282,0.274,0.269,0.263,0.259,0.265,0.265,0.265,0.268,0.274,0.282,0.299,0.304,0.312,0.32,0.317,0.321,0.32,0.319,0.325,0.328,0.329,0.327,0.302,0.314,0.313,0.316,0.315,0.315,0.315,2020.0
6134,293,PER,NID_NGDP,Peru,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Peruvian sol Data last updated: 09/2021,27.026,32.171,31.315,22.24,18.962,17.04,19.839,20.638,24.039,17.911,15.205,15.9,16.014,17.795,20.969,21.672,19.726,21.134,20.841,18.184,17.443,16.506,16.682,17.227,16.121,15.387,18.799,22.267,27.111,20.338,24.363,24.285,24.044,25.612,24.679,23.655,21.89,20.579,21.619,21.072,18.72,21.164,21.795,22.012,22.125,22.246,22.336,2020.0
