,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6165,566,PHL,NGDP_R,Philippines,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. accessed via Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Philippine peso Data last updated: 09/2021,4433.19,4584.95,4750.9,4839.96,4485.5,4157.76,4299.82,4485.21,4788.08,5085.19,5239.63,5216.76,5238.55,5352.85,5586.97,5845.38,6187.94,6508.87,6475.41,6692.1,6985.38,7198.38,7465.89,7845.68,8361.08,8774.32,9240.8,9843.24,10270.88,10419.63,11183.86,11615.36,12416.47,13254.64,14096.05,14990.91,16062.68,17175.98,18265.19,19382.75,17527.24,18092.15,19232.37,20570.64,21956.82,23374.16,24886.92,2020.0
6166,566,PHL,NGDP_RPCH,Philippines,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.149,3.423,3.619,1.875,-7.324,-7.307,3.417,4.312,6.753,6.205,3.037,-0.436,0.418,2.182,4.374,4.625,5.86,5.186,-0.514,3.346,4.383,3.049,3.716,5.087,6.569,4.942,5.316,6.519,4.344,1.448,7.335,3.858,6.897,6.751,6.348,6.348,7.149,6.931,6.341,6.119,-9.573,3.223,6.302,6.958,6.739,6.455,6.472,2020.0
6167,566,PHL,NGDP,Philippines,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. accessed via Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Philippine peso Data last updated: 09/2021,278.541,321.79,362.45,421.758,599.344,653.512,695.798,780.22,913.255,1057.54,1227.88,1422.96,1541.53,1682.42,1932.66,2176.58,2481.3,2773.37,3046.22,3347.59,3697.56,4024.4,4350.56,4717.81,5323.9,5917.28,6550.42,7198.24,8050.2,8390.42,9399.45,10144.66,11060.59,12050.59,13206.83,13944.16,15132.38,16556.65,18265.19,19517.86,17938.58,19028.39,20754.34,22751.86,24889.66,27156.02,29633.41,2020.0
6168,566,PHL,NGDPD,Philippines,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.422,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.489,385.737,406.107,438.182,471.806,506.66,544.175,2020.0
6169,566,PHL,PPPGDP,Philippines,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",92.074,104.235,114.681,121.406,116.576,111.475,117.605,125.71,138.93,153.338,163.907,168.711,173.277,181.254,193.222,206.398,222.494,238.069,239.511,251.014,267.951,282.342,297.398,318.695,348.748,377.462,409.796,448.308,476.755,486.76,528.741,560.551,612.131,654.004,699.662,733.864,798.601,854.095,929.955,1004.51,919.293,983.118,1073.84,1175.89,1283.74,1396.29,1517.47,2020.0
6170,566,PHL,NGDP_D,Philippines,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",6.283,7.018,7.629,8.714,13.362,15.718,16.182,17.395,19.074,20.796,23.435,27.277,29.427,31.43,34.592,37.236,40.099,42.609,47.043,50.023,52.933,55.907,58.272,60.133,63.675,67.439,70.886,73.129,78.379,80.525,84.045,87.338,89.08,90.916,93.692,93.017,94.208,96.394,100.0,100.697,102.347,105.175,107.914,110.604,113.357,116.18,119.072,2020.0
6171,566,PHL,NGDPRPC,Philippines,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",92589.63,93401.0,94418.17,93823.17,84849.37,76750.77,77488.06,78857.62,82318.17,85389.72,85980.11,83655.61,82083.22,81948.12,83587.15,85446.21,86063.09,88519.87,85926.29,86921.68,90778.22,91570.82,93009.77,95784.12,100072.75,103021.3,106473.14,111361.46,114146.23,113801.14,120075.8,122654.28,129002.26,135541.92,141939.86,148675.07,156663.18,164884.12,172704.16,180640.74,161095.91,163788.17,171493.01,180668.58,189943.94,199165.12,208866.85,2020.0
6172,566,PHL,NGDPRPPPPC,Philippines,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4604.13,4644.47,4695.05,4665.47,4219.23,3816.52,3853.18,3921.29,4093.37,4246.1,4275.46,4159.87,4081.68,4074.97,4156.47,4248.91,4279.59,4401.75,4272.78,4322.28,4514.05,4553.47,4625.02,4762.98,4976.23,5122.85,5294.5,5537.58,5676.05,5658.89,5970.91,6099.13,6414.79,6739.98,7058.12,7393.04,7790.26,8199.05,8587.92,8982.57,8010.68,8144.56,8527.69,8983.96,9445.18,9903.72,10386.15,2020.0
6173,566,PHL,NGDPPC,Philippines,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5817.48,6555.26,7203.25,8175.83,11337.43,12063.61,12539.14,13717.59,15700.98,17758.03,20149.05,22818.44,24154.26,25756.61,28914.74,31816.75,34510.47,37717.57,40422.27,43480.8,48051.4,51194.49,54199.07,57597.5,63721.17,69476.11,75474.33,81437.3,89466.54,91638.5,100917.45,107124.2,114915.21,123229.3,132985.88,138293.75,147589.8,158938.76,172704.15,181899.94,164876.69,172263.92,185064.19,199825.88,215315.36,231389.33,248702.43,2020.0
6174,566,PHL,NGDPDPC,Philippines,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,1094.54,1237.31,1316.41,1279.84,988.487,1112.35,1087.29,1003.96,1050.3,1062.62,1137.07,1261.27,1470.83,1764.68,2011.63,1923.67,2237.16,2473.25,2721.25,2903.19,2995.5,3039.23,3107.65,3153.31,3279.52,3511.87,3322.51,3492.07,3621.21,3848.48,4081.49,4317.12,4567.06,2020.0
6175,566,PHL,PPPPC,Philippines,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1923.01,2123.39,2279.15,2353.47,2205.19,2057.78,2119.38,2210.19,2388.54,2574.82,2689.65,2705.44,2715.08,2774.86,2890.81,3017.07,3094.49,3237.71,3178.22,3260.34,3482.14,3591.68,3704.98,3890.8,4174.12,4431.87,4721.69,5071.93,5298.46,5316.3,5676.85,5919.23,6359.81,6687.84,7045.23,7278.23,7788.95,8199.05,8793.07,9361.68,8449.38,8900.16,9575.33,10327.68,11105.37,11897.46,12735.55,2020.0
6177,566,PHL,PPPSH,Philippines,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.688,0.7,0.723,0.719,0.639,0.572,0.571,0.574,0.587,0.601,0.595,0.578,0.523,0.524,0.531,0.536,0.546,0.553,0.535,0.535,0.532,0.536,0.54,0.546,0.552,0.553,0.553,0.559,0.567,0.578,0.589,0.588,0.61,0.621,0.641,0.659,0.691,0.702,0.721,0.745,0.697,0.68,0.689,0.712,0.735,0.758,0.781,2020.0
6178,566,PHL,PPPEX,Philippines,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3.025,3.087,3.161,3.474,5.141,5.862,5.916,6.207,6.573,6.897,7.491,8.434,8.896,9.282,10.002,10.546,11.152,11.649,12.719,13.336,13.799,14.254,14.629,14.804,15.266,15.676,15.985,16.056,16.885,17.237,17.777,18.098,18.069,18.426,18.876,19.001,18.949,19.385,19.641,19.43,19.513,19.355,19.327,19.349,19.388,19.449,19.528,2020.0
6179,566,PHL,NID_NGDP,Philippines,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office. accessed via Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Philippine peso Data last updated: 09/2021,23.435,21.975,22.352,23.685,17.254,12.125,12.758,14.525,15.113,17.812,23.332,19.717,20.748,23.186,23.311,21.794,23.282,24.065,19.989,16.201,15.684,18.945,20.459,19.529,20.731,18.567,16.015,16.129,18.967,17.432,20.442,20.74,19.561,20.642,20.924,21.341,24.619,25.559,27.151,26.402,17.383,19.842,20.156,22.083,24.0,25.903,27.635,2020.0
6180,566,PHL,NGSD_NGDP,Philippines,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,Source: National Statistics Office. accessed via Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Philippine peso Data last updated: 09/2021,17.114,18.959,16.842,18.62,15.527,13.358,16.786,14.624,15.56,16.406,17.996,17.72,19.093,18.324,19.279,19.455,19.106,19.441,22.064,12.844,13.021,16.728,20.125,19.856,22.441,20.419,21.47,21.304,19.047,22.228,23.887,23.149,22.214,24.652,24.54,23.712,24.242,24.906,24.591,25.593,20.973,20.231,18.307,20.272,22.164,24.068,25.812,2020.0
6181,566,PHL,PCPI,Philippines,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office. Accessed via Haver Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2012 Primary domestic currency: Philippine peso Data last updated: 09/2021,7.349,8.31,9.056,9.532,13.981,17.227,17.171,17.693,19.857,22.114,25.033,29.867,32.433,34.625,38.95,41.617,45.083,47.633,52.092,55.292,58.917,62.1,63.808,65.225,68.358,72.892,76.867,79.125,85.608,89.217,92.592,96.942,100.025,102.608,106.3,107.017,108.358,111.45,117.258,120.167,123.333,128.641,132.47,136.449,140.543,144.759,149.102,2020.0
