,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6210,964,POL,NGDP_R,Poland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Polish zloty Data last updated: 09/2021",748.34,673.506,640.865,676.754,674.277,700.315,724.788,741.469,765.829,795.023,738.013,686.311,700.263,730.286,768.545,820.251,871.427,933.18,979.668,1023.99,1067.61,1080.48,1096.07,1134.42,1190.95,1232.71,1308.29,1400.67,1459.5,1500.84,1556.98,1631.05,1652.66,1671.44,1727.91,1801.11,1857.7,1947.44,2051.7,2149.05,2090.59,2197.51,2309.27,2389.55,2461.56,2534.43,2607.52,2020.0
6211,964,POL,NGDP_RPCH,Poland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.0,-10.0,-4.846,5.6,-0.366,3.862,3.494,2.302,3.285,3.812,-7.171,-7.005,2.033,4.287,5.239,6.728,6.239,7.086,4.982,4.524,4.26,1.205,1.443,3.498,4.983,3.507,6.131,7.062,4.2,2.832,3.741,4.758,1.325,1.136,3.379,4.236,3.142,4.831,5.354,4.745,-2.72,5.115,5.086,3.476,3.014,2.96,2.884,2020.0
6212,964,POL,NGDP,Poland,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Polish zloty Data last updated: 09/2021",0.251,0.275,0.554,0.692,0.857,1.043,1.294,1.692,2.96,9.645,59.096,85.31,121.163,164.292,236.104,337.886,423.268,516.369,602.086,667.0,745.845,781.1,812.214,847.152,933.092,990.53,1069.43,1187.51,1285.57,1372.03,1446.84,1565.25,1623.44,1646.72,1711.24,1801.11,1863.49,1989.84,2121.56,2293.2,2323.86,2531.45,2740.23,2908.04,3070.36,3241.94,3416.47,2020.0
6213,964,POL,NGDPD,Poland,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,479.834,528.292,498.517,521.013,542.602,477.488,472.256,526.643,587.433,597.194,595.916,655.332,720.35,776.332,831.415,891.7,954.582,2020.0
6214,964,POL,PPPGDP,Poland,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",171.568,169.02,170.766,187.391,193.443,207.266,218.828,229.402,245.293,264.63,254.847,245.009,255.686,272.968,293.405,319.711,345.877,376.774,399.996,423.984,452.059,467.815,481.964,508.671,548.352,585.38,640.441,704.195,747.842,773.952,812.553,868.897,903.837,934.553,968.368,1020.67,1075.28,1145.32,1235.47,1317.24,1296.85,1412.3,1524.97,1615.53,1702.15,1790.61,1880.43,2020.0
6215,964,POL,NGDP_D,Poland,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.034,0.041,0.086,0.102,0.127,0.149,0.179,0.228,0.386,1.213,8.007,12.43,17.302,22.497,30.721,41.193,48.572,55.334,61.458,65.137,69.861,72.292,74.102,74.677,78.349,80.354,81.743,84.781,88.083,91.417,92.926,95.966,98.232,98.521,99.035,100.0,100.312,102.177,103.405,106.708,111.158,115.196,118.662,121.698,124.732,127.916,131.024,2020.0
6216,964,POL,NGDPRPC,Poland,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21040.45,18767.61,17695.41,18424.45,18199.51,18761.59,19297.83,19641.61,20267.58,21019.18,19326.92,17926.05,18242.82,18968.05,19920.35,21260.72,22570.34,24151.05,25340.63,26482.31,27901.68,28244.88,28661.39,29682.45,31184.25,32291.99,34286.91,36738.49,38291.37,39354.99,40948.42,42851.68,43418.2,43913.05,45450.03,47390.69,48929.03,51284.86,54025.19,56594.43,55076.09,58073.79,61088.17,63288.42,65290.11,67337.33,69415.42,2020.0
6217,964,POL,NGDPRPPPPC,Poland,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",12374.27,11037.57,10406.99,10835.76,10703.46,11034.03,11349.4,11551.59,11919.73,12361.76,11366.51,10542.63,10728.93,11155.45,11715.52,12503.81,13274.03,14203.67,14903.28,15574.72,16409.48,16611.32,16856.28,17456.79,18340.02,18991.5,20164.75,21606.57,22519.85,23145.38,24082.51,25201.85,25535.03,25826.06,26729.99,27871.32,28776.05,30161.55,31773.19,33284.21,32391.25,34154.25,35927.06,37221.06,38398.29,39602.3,40824.46,2020.0
6218,964,POL,NGDPPC,Poland,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",7.053,7.662,15.298,18.831,23.124,27.954,34.453,44.829,78.333,255.004,1547.6,2228.24,3156.46,4267.24,6119.71,8757.93,10962.83,13363.8,15573.88,17249.86,19492.43,20418.8,21238.68,22166.0,24432.49,25947.89,28027.1,31147.36,33728.17,35977.27,38051.93,41122.95,42650.57,43263.64,45011.59,47390.69,49081.48,52401.35,55864.67,60390.56,61221.63,66898.73,72488.36,77020.81,81437.75,86135.17,90950.63,2020.0
6219,964,POL,NGDPDPC,Poland,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1595.05,1497.84,1803.46,2056.96,2042.04,1899.82,1965.54,1691.13,1819.39,1772.09,1629.05,2105.49,2315.65,2351.74,2692.7,3612.26,4066.18,4075.98,4459.1,4348.15,4485.06,4987.86,5205.52,5699.56,6684.68,8023.92,9031.8,11252.86,13999.5,11532.28,12619.62,13879.53,13096.89,13688.36,14272.29,12563.61,12438.52,13868.91,15468.26,15726.88,15699.3,17318.5,19055.72,20561.52,22052.31,23691.58,25412.12,2020.0
