,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6300,359,PRI,NGDP_R,Puerto Rico,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Puerto Rico Planning Board Latest actual data: FY2019/20. FY(t/t+1)=CY(t+1) National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 1954 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,4.662,4.712,4.569,4.59,4.926,5.027,5.438,5.705,6.077,6.377,6.618,6.77,7.079,7.408,7.718,8.069,8.256,8.659,9.223,9.63,9.945,10.887,11.123,11.384,11.61,11.379,11.219,11.088,10.884,10.671,10.627,10.589,10.592,10.56,10.434,10.325,10.194,9.9,9.489,9.63,9.254,9.198,9.171,9.143,9.116,9.089,9.052,2020.0
6302,359,PRI,NGDP,Puerto Rico,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Puerto Rico Planning Board Latest actual data: FY2019/20. FY(t/t+1)=CY(t+1) National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: July/June Base year: 1954 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,104.925,104.915,103.138,106.576,108.267,109.507,110.463,111.59,112.884,2020.0
6303,359,PRI,NGDPD,Puerto Rico,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,104.925,104.915,103.138,106.576,108.267,109.507,110.463,111.59,112.884,2020.0
6304,359,PRI,PPPGDP,Puerto Rico,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.184,24.543,25.264,26.377,29.329,30.879,34.073,36.632,40.392,44.05,47.426,50.16,53.645,57.467,61.151,65.274,68.007,72.555,78.154,82.753,87.397,97.827,101.508,105.935,110.94,112.145,113.976,115.696,115.74,114.207,115.102,117.073,118.421,119.192,119.065,118.146,117.009,114.27,112.142,115.845,112.663,116.023,118.858,121.321,123.714,126.023,128.12,2020.0
6305,359,PRI,NGDP_D,Puerto Rico,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",309.628,338.597,366.944,376.397,389.017,403.572,404.013,418.53,430.814,443.283,462.448,476.892,489.178,498.407,514.247,528.513,549.186,556.503,586.411,600.615,620.405,639.925,652.2,666.163,691.843,737.438,777.946,807.367,860.347,903.214,925.741,947.68,958.855,970.189,981.836,1001.25,1023.49,1044.91,1105.75,1089.46,1114.52,1158.63,1180.56,1197.67,1211.76,1227.8,1247.03,2020.0
6306,359,PRI,NGDPRPC,Puerto Rico,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",1455.67,1459.19,1402.65,1396.72,1485.14,1501.25,1607.75,1669.51,1759.31,1825.99,1876.01,1906.82,1980.35,2057.66,2127.96,2207.63,2240.59,2330.34,2460.76,2546.26,2609.93,2850.92,2909.04,2975.28,3033.78,2977.79,2948.27,2931.12,2893.99,2853.0,2855.63,2878.49,2914.39,2938.93,2951.75,2971.81,2988.36,3000.0,2965.31,3009.38,2929.09,2946.88,2973.72,3000.81,3028.15,3055.73,3080.47,2020.0
6307,359,PRI,NGDPRPPPPC,Puerto Rico,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16801.89,16842.61,16189.93,16121.45,17142.05,17328.07,18557.26,19270.14,20306.64,21076.31,21653.67,22009.33,22858.01,23750.37,24561.74,25481.32,25861.84,26897.72,28403.1,29389.91,30124.84,32906.42,33577.33,34341.88,35017.11,34370.83,34030.14,33832.14,33403.59,32930.52,32960.84,33224.69,33639.04,33922.3,34070.28,34301.81,34492.82,34627.22,34226.85,34735.43,33808.75,34014.07,34323.91,34636.58,34952.1,35270.48,35556.08,2020.0
6308,359,PRI,NGDPPC,Puerto Rico,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4507.15,4940.78,5146.93,5257.19,5777.44,6058.64,6495.5,6987.4,7579.34,8094.29,8675.58,9093.48,9687.44,10255.53,10942.95,11667.59,12305.02,12968.39,14430.16,15293.18,16192.13,18243.71,18972.77,19820.21,20988.99,21959.32,22935.95,23664.87,24898.34,25768.73,26435.74,27278.85,27944.74,28513.15,28981.34,29755.35,30585.55,31347.27,32789.06,32785.94,32645.4,34143.27,35106.44,35939.72,36693.81,37518.2,38414.45,2020.0
6309,359,PRI,NGDPDPC,Puerto Rico,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4507.15,4940.78,5146.93,5257.19,5777.44,6058.64,6495.5,6987.4,7579.34,8094.29,8675.58,9093.48,9687.44,10255.53,10942.95,11667.59,12305.02,12968.39,14430.16,15293.18,16192.13,18243.71,18972.77,19820.21,20988.99,21959.32,22935.95,23664.87,24898.34,25768.73,26435.74,27278.85,27944.74,28513.15,28981.34,29755.35,30585.55,31347.27,32789.06,32785.94,32645.4,34143.27,35106.44,35939.72,36693.81,37518.2,38414.45,2020.0
6310,359,PRI,PPPPC,Puerto Rico,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6926.13,7599.76,7756.65,8026.31,8842.46,9221.03,10073.98,10719.71,11694.65,12613.88,13444.41,14127.39,15006.51,15961.9,16859.79,17857.76,18456.31,19526.55,20851.48,21879.94,22935.17,25617.33,26547.02,27687.39,28989.62,29346.91,29952.59,30583.06,30774.71,30533.32,30928.78,31824.12,32582.63,33172.65,33682.72,34006.72,34300.2,34627.22,35044.47,36201.44,35660.27,37169.69,38540.65,39817.14,41095.66,42370.86,43599.06,2020.0
