,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6345,453,QAT,NGDP_R,Qatar,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Qatar Planning and Statistics Authority(from 2010); Haver and IMF staff estimates (pre-2010). Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Qatari riyal Data last updated: 09/2021,90.83,87.293,80.126,75.856,87.985,76.519,79.356,80.07,83.833,88.276,75.349,74.201,81.935,81.206,82.772,83.071,86.584,110.607,121.947,126.541,135.33,141.42,151.14,157.166,187.381,201.981,258.703,305.762,359.253,406.181,478.261,532.316,557.495,588.47,619.861,649.325,669.221,659.199,667.339,672.51,648.383,661.008,687.177,705.26,732.805,762.789,794.853,2020.0
6346,453,QAT,NGDP_RPCH,Qatar,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.016,-3.894,-8.21,-5.329,15.988,-13.031,3.706,0.9,4.7,5.3,-14.644,-1.524,10.424,-0.891,1.929,0.361,4.229,27.745,10.253,3.767,6.946,4.5,6.873,3.987,19.225,7.792,28.082,18.191,17.494,13.063,17.746,11.303,4.73,5.556,5.334,4.753,3.064,-1.498,1.235,0.775,-3.588,1.947,3.959,2.631,3.906,4.092,4.204,2020.0
6347,453,QAT,NGDP,Qatar,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Qatar Planning and Statistics Authority(from 2010); Haver and IMF staff estimates (pre-2010). Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Qatari riyal Data last updated: 09/2021,24.375,26.84,23.541,20.042,20.776,19.435,15.34,16.165,15.506,16.387,22.809,20.308,23.238,21.127,21.643,24.973,28.249,36.314,30.895,41.007,65.828,63.692,70.375,86.325,111.569,162.476,213.409,276.591,409.942,321.032,435.734,610.702,680.074,723.369,750.658,588.733,552.305,586.401,667.34,640.049,529.439,615.828,658.412,678.828,709.775,741.557,778.335,2020.0
6348,453,QAT,NGDPD,Qatar,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,175.838,145.45,169.184,180.883,186.491,194.993,203.724,213.828,2020.0
6349,453,QAT,PPPGDP,Qatar,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.834,21.917,21.361,21.015,25.254,22.658,23.971,24.785,26.865,29.398,26.032,26.502,29.932,30.368,31.615,32.394,34.383,44.68,49.815,52.42,57.331,61.261,66.492,70.507,86.319,95.963,126.704,153.799,184.17,209.562,249.716,283.716,311.041,322.985,317.406,238.529,220.585,249.963,259.095,265.773,259.326,273.903,292.584,307.428,326.716,347.472,369.581,2020.0
6350,453,QAT,NGDP_D,Qatar,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",26.836,30.747,29.38,26.421,23.613,25.399,19.33,20.188,18.497,18.563,30.272,27.37,28.361,26.017,26.148,30.062,32.626,32.832,25.335,32.406,48.643,45.037,46.563,54.926,59.542,80.441,82.492,90.459,114.11,79.037,91.108,114.725,121.987,122.924,121.101,90.669,82.53,88.957,100.0,95.173,81.655,93.165,95.814,96.252,96.857,97.217,97.922,2020.0
6351,453,QAT,NGDPRPC,Qatar,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",371241.01,329338.6,280707.74,248031.65,269707.6,222070.71,219273.15,212277.15,213594.93,216481.13,158124.01,152950.2,167349.66,165053.24,167180.58,165758.5,168951.9,208892.47,221573.84,221165.71,227946.6,231150.33,240001.81,238044.38,260112.49,245971.13,267364.79,265313.0,231219.83,247878.85,278853.28,307214.87,304159.61,293691.52,279697.77,266357.93,255658.85,241942.87,241774.67,240250.55,241543.79,241418.68,246055.07,247578.39,252204.03,257375.81,262935.89,2020.0
6352,453,QAT,NGDPRPPPPC,Qatar,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",140771.71,124882.64,106442.19,94051.68,102271.03,84207.49,83146.68,80493.85,80993.54,82087.96,59959.4,57997.53,63457.69,62586.9,63393.58,62854.34,64065.25,79210.4,84019.08,83864.32,86435.58,87650.41,91006.82,90264.58,98632.64,93270.34,101382.65,100604.63,87676.76,93993.73,105739.0,116493.49,115334.96,111365.54,106059.22,101000.86,96943.85,91742.86,91679.08,91101.14,91591.53,91544.09,93302.17,93879.8,95633.81,97594.91,99703.25,2020.0
6353,453,QAT,NGDPPC,Qatar,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",99624.85,101263.22,82472.83,65533.67,63687.39,56404.35,42385.82,42854.56,39508.18,40185.37,47866.63,41861.89,47461.87,42941.67,43714.2,49830.34,55122.27,68583.42,56135.29,71670.33,110879.17,104104.11,111752.12,130747.92,154875.14,197862.33,220554.07,240000.73,263844.07,195915.39,254057.94,352453.4,371036.55,361016.62,338717.07,241502.76,210993.97,215224.15,241774.96,228654.1,197233.28,224917.68,235755.54,238299.57,244278.01,250211.92,257471.71,2020.0
6354,453,QAT,NGDPDPC,Qatar,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",27242.48,27819.57,22657.37,18003.76,17496.54,15495.7,11644.46,11773.23,10853.9,11039.94,13150.17,11500.52,13038.98,11797.16,12009.4,13689.65,15143.48,18841.6,15421.78,19689.65,30461.31,28600.03,30701.13,35919.76,42548.12,54357.78,60591.78,65934.27,72484.63,53822.91,69796.14,96827.86,101933.12,99180.39,93054.14,66346.91,57965.38,59127.51,66421.69,62817.06,54184.97,61790.57,64768.01,65466.92,67109.34,68739.54,70733.99,2020.0
