,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6390,968,ROU,NGDP_R,Romania,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian leu Data last updated: 08/2021",451.656,452.107,469.74,497.924,527.799,527.272,539.926,544.246,541.524,510.116,481.486,419.244,382.492,388.335,403.604,432.414,449.487,422.279,401.936,397.314,408.918,430.257,454.794,465.441,513.978,537.971,581.164,623.204,681.209,643.624,618.515,630.304,643.166,667.42,691.505,711.93,745.412,799.972,835.767,870.263,836.676,895.246,938.488,974.432,1011.27,1047.27,1084.03,2020.0
6391,968,ROU,NGDP_RPCH,Romania,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.304,0.1,3.9,6.0,6.0,-0.1,2.4,0.8,-0.5,-5.8,-5.612,-12.927,-8.766,1.528,3.932,7.138,3.948,-6.053,-4.818,-1.15,2.921,5.218,5.703,2.341,10.428,4.668,8.029,7.234,9.307,-5.517,-3.901,1.906,2.041,3.771,3.609,2.954,4.703,7.319,4.475,4.127,-3.859,7.0,4.83,3.83,3.78,3.56,3.51,2020.0
6392,968,ROU,NGDP,Romania,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Source: Eurostat and National Institute of Statistics. Minor differences between National Statistical Office and Eurostat. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Romanian leu Data last updated: 08/2021",0.083,0.083,0.083,0.083,0.083,0.083,0.085,0.085,0.087,0.081,0.087,0.223,0.609,2.024,5.028,7.287,11.002,25.549,37.759,55.126,80.873,117.391,152.272,191.918,244.688,286.862,342.763,425.691,539.835,530.894,528.515,558.89,591.799,634.968,669.704,711.93,763.653,857.896,951.729,1058.19,1055.55,1183.31,1279.44,1372.65,1463.25,1559.43,1658.27,2020.0
6393,968,ROU,NGDPD,Romania,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.695,248.716,287.279,314.876,345.319,372.625,401.438,430.219,2020.0
6394,968,ROU,PPPGDP,Romania,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",111.193,121.835,134.408,148.052,162.599,167.573,175.049,180.814,186.254,182.332,178.539,160.717,149.97,155.869,165.458,180.986,191.577,183.084,176.225,176.653,185.932,200.041,214.745,224.11,254.124,274.328,305.498,336.451,374.818,356.407,346.62,360.566,378.487,395.318,411.273,428.249,478.155,534.707,571.977,606.24,589.866,653.903,704.355,748.734,794.747,840.919,888.473,2020.0
6395,968,ROU,NGDP_D,Romania,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.018,0.018,0.018,0.017,0.016,0.016,0.016,0.016,0.016,0.016,0.018,0.053,0.159,0.521,1.246,1.685,2.448,6.05,9.394,13.875,19.777,27.284,33.481,41.233,47.607,53.323,58.979,68.307,79.247,82.485,85.449,88.67,92.013,95.138,96.847,100.0,102.447,107.241,113.875,121.594,126.16,132.177,136.33,140.867,144.695,148.905,152.973,2020.0
6396,968,ROU,NGDPRPC,Romania,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",20125.2,20025.94,20708.63,21862.65,23080.55,22953.37,23380.82,23434.39,23195.49,21771.41,20524.97,17898.72,16392.54,16734.63,17499.36,18860.43,19714.69,18620.23,17812.42,17691.42,18226.64,19200.68,20867.08,21520.81,23882.52,25159.54,27339.89,29493.12,33011.5,31487.98,30476.65,31204.55,32004.69,33337.49,34656.53,35819.47,37722.13,40723.69,42786.34,44825.41,43286.51,46320.23,48561.37,50425.43,52335.94,54203.83,56110.81,2020.0
6397,968,ROU,NGDPRPPPPC,Romania,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",13451.81,13385.47,13841.78,14613.14,15427.19,15342.18,15627.89,15663.7,15504.02,14552.15,13719.02,11963.62,10956.88,11185.53,11696.69,12606.44,13177.43,12445.88,11905.94,11825.06,12182.81,12833.86,13947.7,14384.65,15963.23,16816.8,18274.16,19713.39,22065.11,21046.77,20370.79,20857.32,21392.14,22282.99,23164.65,23941.97,25213.72,27219.98,28598.67,29961.6,28932.98,30960.74,32458.74,33704.69,34981.68,36230.2,37504.83,2020.0
6398,968,ROU,NGDPPC,Romania,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3.694,3.676,3.662,3.651,3.64,3.594,3.668,3.676,3.708,3.449,3.694,9.504,26.101,87.216,217.993,317.821,482.57,1126.57,1673.34,2454.64,3604.74,5238.72,6986.6,8873.78,11369.69,13415.8,16124.69,20145.81,26160.48,25972.93,26042.0,27669.05,29448.6,31716.52,33563.9,35819.47,38645.21,43672.37,48722.89,54505.15,54610.16,61224.78,66203.88,71032.72,75727.3,80712.21,85834.51,2020.0
6399,968,ROU,NGDPDPC,Romania,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2052.08,2450.35,2441.21,2125.16,1710.3,2102.0,2264.37,2517.95,2593.06,2314.74,1641.86,1241.06,847.68,1147.33,1317.05,1563.12,1565.47,1571.69,1885.35,1600.88,1661.71,1802.68,2113.6,2672.81,3483.73,4604.45,5740.4,8262.41,10385.85,8517.6,8194.72,9075.96,8491.03,9530.44,10021.54,8942.2,9520.44,10776.67,12361.14,12861.28,12867.64,14863.89,16293.05,17869.73,19284.43,20777.38,22268.77,2020.0
