,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6435,922,RUS,NGDP_R,Russia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP prior to Q1 2016 by using the growth rates of the old series in 2011 prices. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian ruble Data last updated: 09/2021",,,,,,,,,,,,,58646.99,53544.7,46744.53,44828.0,43210.6,43807.8,41466.1,44099.8,48529.9,51000.3,53419.9,57345.7,61460.7,65379.4,70710.2,76745.4,80772.7,74455.6,77808.7,81750.6,85040.3,86533.1,87170.2,85450.6,85616.1,87179.3,89626.6,91448.7,88749.8,92912.05,95650.45,97563.46,99319.6,101008.03,102624.16,2020.0
6436,922,RUS,NGDP_RPCH,Russia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-8.7,-12.7,-4.1,-3.608,1.382,-5.345,6.351,10.046,5.09,4.744,7.349,7.176,6.376,8.154,8.535,5.248,-7.821,4.503,5.066,4.024,1.755,0.736,-1.973,0.194,1.826,2.807,2.033,-2.951,4.69,2.947,2.0,1.8,1.7,1.6,2020.0
6437,922,RUS,NGDP,Russia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Gross capital formation includes statistical discrepancy. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. The discrepancy in historical national account comes from source data which recently got rebased. In the new methodology they rebased all the components of GDP prior to Q1 2016 by using the growth rates of the old series in 2011 prices. Chain-weighted: Yes, from 1995 Primary domestic currency: Russian ruble Data last updated: 09/2021",,,,,,,,,,,,,20.36,183.68,654.26,1530.71,2151.37,2509.96,2817.61,5167.82,7827.47,9582.54,11604.47,14152.13,18243.96,23153.9,28840.56,35623.16,44226.32,41580.16,49617.63,60114.0,68103.4,72985.7,79030.0,83087.4,85616.1,91843.2,103861.65,109241.54,106967.46,121620.61,127706.82,134767.67,141963.84,149650.68,157974.96,2020.0
6438,922,RUS,NGDPD,Russia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.9,1393.42,1779.11,1307.93,1633.11,2046.62,2191.48,2288.43,2048.84,1356.7,1280.65,1575.14,1653.01,1690.05,1478.57,1647.57,1703.53,1753.94,1813.3,1876.47,1943.78,2020.0
6439,922,RUS,PPPGDP,Russia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,1602.61,1497.86,1335.56,1307.66,1283.56,1323.74,1267.08,1366.55,1537.9,1652.59,1757.98,1924.42,2117.87,2323.56,2590.56,2887.65,3097.46,2873.51,3039.02,3259.32,3480.3,3741.78,3763.54,3526.24,3538.58,3818.78,4019.77,4174.86,4100.48,4447.48,4704.58,4912.85,5115.28,5315.24,5512.19,2020.0
6440,922,RUS,NGDP_D,Russia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.035,0.343,1.4,3.415,4.979,5.729,6.795,11.718,16.129,18.789,21.723,24.679,29.684,35.415,40.787,46.417,54.754,55.846,63.769,73.533,80.084,84.344,90.662,97.234,100.0,105.35,115.883,119.457,120.527,130.899,133.514,138.133,142.936,148.157,153.935,2020.0
6441,922,RUS,NGDPRPC,Russia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,395413.85,360738.01,314964.6,302301.59,291817.61,296463.38,281051.79,300223.3,331705.9,350158.94,368504.59,397312.48,427401.06,456442.12,494951.11,537628.55,565884.81,521273.65,544630.95,571458.73,593247.85,602317.16,595966.28,583101.44,583200.05,593540.99,610614.45,623164.04,607164.21,635737.16,654950.41,668863.07,681977.13,694843.78,707416.92,2020.0
6442,922,RUS,NGDPRPPPPC,Russia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,21433.2,20296.62,17320.61,15801.68,13796.63,13241.94,12782.71,12986.21,12311.12,13150.91,14529.96,15338.28,16141.89,17403.78,18721.77,19993.88,21680.72,23550.15,24787.88,22833.74,23856.88,25032.04,25986.48,26383.75,26105.56,25542.03,25546.35,25999.32,26747.21,27296.92,26596.07,27847.67,28689.29,29298.71,29873.16,30436.77,30987.52,2020.0
6443,922,RUS,NGDPPC,Russia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,137.273,1237.48,4408.4,10322.48,14529.02,16985.82,19097.39,35181.56,53501.41,65792.01,80050.7,98051.26,126869.49,161647.48,201875.64,249552.78,309844.82,291108.28,347304.31,420213.06,475094.7,508019.94,540313.26,566975.33,583200.05,625294.12,707596.01,744410.8,731796.73,832171.29,874451.01,923922.97,974793.44,1029461.13,1088965.4,2020.0
6444,922,RUS,NGDPDPC,Russia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,482.767,1322.01,1979.41,2264.34,2787.02,2935.03,1949.8,1427.31,1901.96,2255.25,2552.79,3197.57,4403.96,5708.84,7426.01,9761.37,12464.24,9156.97,11431.15,14306.43,15287.97,15928.7,14007.51,9257.94,8723.52,10724.0,11261.71,11516.6,10115.35,11273.24,11664.62,12024.44,12450.98,12908.4,13398.98,2020.0
