,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6525,862,WSM,NGDP_R,Samoa,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Notes: Data prior to 2000 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2012/13. Base year was updated from 2009 to 2013, affecting the data from 2009. Chain-weighted: No Primary domestic currency: Samoan tala Data last updated: 09/2021",0.894,0.813,0.805,0.809,0.825,0.873,0.914,0.919,0.945,1.0,0.936,0.913,0.951,0.967,1.029,1.096,1.176,1.185,1.198,1.191,1.251,1.344,1.42,1.494,1.54,1.642,1.677,1.685,1.745,1.736,1.78,1.854,1.778,1.771,1.772,1.848,1.997,2.018,1.976,2.047,1.991,1.847,1.866,1.942,2.014,2.081,2.139,2020.0
6526,862,WSM,NGDP_RPCH,Samoa,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.123,-9.056,-1.014,0.485,1.98,5.826,4.79,0.509,2.871,5.819,-6.444,-2.443,4.135,1.683,6.39,6.556,7.274,0.803,1.1,-0.636,5.093,7.39,5.652,5.213,3.087,6.639,2.132,0.486,3.556,-0.542,2.551,4.173,-4.089,-0.419,0.078,4.272,8.056,1.044,-2.063,3.58,-2.742,-7.226,1.048,4.059,3.69,3.322,2.809,2020.0
6527,862,WSM,NGDP,Samoa,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Notes: Data prior to 2000 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2012/13. Base year was updated from 2009 to 2013, affecting the data from 2009. Chain-weighted: No Primary domestic currency: Samoan tala Data last updated: 09/2021",0.114,0.12,0.144,0.17,0.201,0.231,0.244,0.256,0.28,0.313,0.41,0.412,0.463,0.496,0.39,0.582,0.619,0.698,0.768,0.766,0.822,0.913,0.978,1.056,1.165,1.292,1.389,1.501,1.696,1.715,1.683,1.76,1.75,1.759,1.758,1.911,2.089,2.11,2.108,2.231,2.177,1.967,2.04,2.165,2.296,2.439,2.573,2020.0
6528,862,WSM,NGDPD,Samoa,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.265,0.255,0.255,0.263,0.286,0.347,0.416,0.478,0.499,0.567,0.659,0.61,0.673,0.758,0.759,0.764,0.757,0.788,0.799,0.832,0.837,0.846,0.812,0.78,0.808,0.86,0.912,0.967,1.018,2020.0
6529,862,WSM,PPPGDP,Samoa,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.192,0.191,0.201,0.21,0.222,0.242,0.259,0.267,0.284,0.312,0.303,0.306,0.326,0.339,0.368,0.401,0.438,0.449,0.459,0.462,0.497,0.546,0.585,0.628,0.665,0.731,0.77,0.795,0.839,0.839,0.871,0.926,0.905,0.917,0.935,0.985,1.075,1.107,1.11,1.17,1.152,1.107,1.149,1.224,1.298,1.371,1.438,2020.0
6530,862,WSM,NGDP_D,Samoa,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",12.705,14.77,17.867,21.053,24.354,26.466,26.734,27.861,29.624,31.247,43.778,45.121,48.742,51.301,37.89,53.144,52.619,58.918,64.083,64.367,65.703,67.915,68.921,70.677,75.676,78.699,82.85,89.054,97.176,98.806,94.552,94.944,98.403,99.348,99.191,103.402,104.628,104.571,106.687,109.003,109.364,106.48,109.304,111.46,114.029,117.206,120.309,2020.0
6537,862,WSM,PPPSH,Samoa,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2020.0
6538,862,WSM,PPPEX,Samoa,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.591,0.628,0.715,0.811,0.905,0.953,0.944,0.96,0.986,1.001,1.352,1.348,1.423,1.463,1.058,1.454,1.414,1.556,1.673,1.658,1.654,1.672,1.671,1.681,1.752,1.767,1.805,1.889,2.022,2.043,1.932,1.9,1.933,1.918,1.88,1.941,1.944,1.907,1.9,1.907,1.891,1.777,1.775,1.768,1.768,1.779,1.789,2020.0
6541,862,WSM,PCPI,Samoa,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) Notes: Data prior to 1991 cannot be confirmed by national sources at this time. Harmonized prices: Yes. Data refer to fiscal years Frequency of source data: Monthly Base year: FY2009/10 Primary domestic currency: Samoan tala Data last updated: 09/2021,13.93,16.787,19.859,23.128,25.871,28.223,28.98,32.214,33.242,37.315,40.48,39.743,43.334,44.075,49.402,47.956,50.555,54.043,56.961,57.174,57.079,58.159,62.48,65.208,70.325,75.825,78.275,81.783,86.908,99.633,99.433,102.292,108.625,108.4,107.058,109.117,109.259,110.677,114.741,117.257,118.999,115.429,118.546,121.035,123.94,127.163,130.469,2020.0
6542,862,WSM,PCPIPCH,Samoa,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",33.05,20.51,18.3,16.46,11.86,9.091,2.682,11.161,3.192,12.25,8.483,-1.82,9.034,1.709,12.087,-2.926,5.418,6.9,5.4,0.373,-0.165,1.891,7.43,4.367,7.847,7.821,3.231,4.482,6.267,14.642,-0.201,2.875,6.191,-0.207,-1.238,1.923,0.13,1.298,3.672,2.193,1.486,-3.0,2.7,2.1,2.4,2.6,2.6,2020.0
