,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6570,135,SMR,NGDP_R,San Marino,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Euro Data last updated: 08/2021,,,,,,,,,,,,,,,,,,1.018,1.094,1.193,1.219,1.287,1.291,1.341,1.402,1.436,1.491,1.597,1.591,1.43,1.347,1.232,1.143,1.134,1.127,1.157,1.184,1.187,1.205,1.234,1.153,1.217,1.262,1.281,1.297,1.314,1.331,2019.0
6571,135,SMR,NGDP_RPCH,San Marino,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,7.52,8.998,2.203,5.539,0.315,3.9,4.565,2.426,3.826,7.103,-0.378,-10.134,-5.805,-8.522,-7.207,-0.817,-0.657,2.695,2.344,0.272,1.532,2.374,-6.544,5.511,3.714,1.469,1.3,1.3,1.3,2019.0
6572,135,SMR,NGDP,San Marino,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Euro Data last updated: 08/2021,,,,,,,,,,,,,,,,,,0.859,0.94,1.041,1.091,1.183,1.215,1.293,1.379,1.436,1.521,1.597,1.634,1.48,1.419,1.303,1.249,1.264,1.26,1.279,1.327,1.353,1.402,1.444,1.362,1.447,1.516,1.555,1.592,1.637,1.683,2019.0
6573,135,SMR,NGDPD,San Marino,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,1.714,1.789,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.554,1.728,1.831,1.905,1.975,2.052,2.127,2019.0
6574,135,SMR,PPPGDP,San Marino,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,1.149,1.249,1.38,1.443,1.557,1.586,1.681,1.805,1.906,2.04,2.244,2.279,2.061,1.965,1.834,1.748,1.74,1.825,1.85,1.925,1.982,2.061,2.147,2.031,2.22,2.366,2.458,2.546,2.636,2.725,2019.0
6575,135,SMR,NGDP_D,San Marino,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,84.363,85.88,87.237,89.471,91.946,94.101,96.415,98.331,100.007,102.002,100.0,102.696,103.48,105.354,105.746,109.255,111.433,111.803,110.578,112.034,113.972,116.281,116.991,118.054,118.881,120.113,121.418,122.734,124.575,126.444,2019.0
6576,135,SMR,NGDPRPC,San Marino,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,48514.85,49122.39,50357.77,53253.63,52382.35,46479.38,43228.5,39079.76,35837.02,35126.36,34485.5,35100.64,35739.42,35652.89,36013.6,36926.94,34351.22,35872.99,37091.76,37521.72,37893.39,38386.0,38885.02,2019.0
6577,135,SMR,NGDPRPPPPC,San Marino,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,80994.87,82009.15,84071.61,88906.2,87451.61,77596.69,72169.39,65243.13,59829.41,58642.97,57573.06,58600.03,59666.47,59522.01,60124.2,61649.02,57348.89,59889.46,61924.18,62642.0,63262.49,64084.9,64918.01,2019.0
6578,135,SMR,NGDPPC,San Marino,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,47704.98,49125.72,51366.0,53253.63,53794.71,48096.67,45542.86,41325.33,39153.78,39142.44,38555.99,38813.73,40040.45,40634.37,41877.02,43201.21,40553.06,42646.19,44552.09,45558.02,46508.17,47819.47,49167.74,2019.0
6579,135,SMR,NGDPDPC,San Marino,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,59293.61,61193.01,64494.91,72991.53,79110.2,67011.54,60426.24,57512.89,50336.19,51986.53,51234.87,43068.69,44308.67,45887.69,49477.28,48368.0,46282.47,50934.19,53800.03,55816.02,57678.93,59949.81,62122.03,2019.0
