,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6705,722,SEN,NGDP_R,Senegal,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,3483.27,3659.85,3946.9,3736.67,3876.64,4003.93,4128.58,4380.19,4354.24,4527.45,4496.86,4611.79,4669.1,4730.33,4719.53,5007.09,5100.91,5239.49,5552.41,5884.31,6113.05,6376.57,6380.95,6737.9,7050.76,7354.66,7526.08,7738.85,8025.44,8246.3,8525.93,8639.67,8985.52,9202.28,9775.04,10397.42,11058.29,11877.43,12614.93,13170.29,13367.81,14002.37,14773.1,16366.64,17373.76,18309.83,19289.71,2019.0
6706,722,SEN,NGDP_RPCH,Senegal,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.827,5.07,7.843,-5.326,3.746,3.283,3.113,6.094,-0.592,3.978,-0.676,2.556,1.243,1.311,-0.228,6.093,1.874,2.717,5.972,5.978,3.887,4.311,0.069,5.594,4.643,4.31,2.331,2.827,3.703,2.752,3.391,1.334,4.003,2.412,6.224,6.367,6.356,7.407,6.209,4.402,1.5,4.747,5.504,10.787,6.154,5.388,5.352,2019.0
6707,722,SEN,NGDP,Senegal,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,916.484,1068.85,1265.27,1308.97,1463.81,1647.81,1796.6,1875.78,1838.51,1940.65,1927.19,1962.13,1968.06,1986.14,2635.14,3007.53,3222.88,3424.7,3764.28,4057.71,4270.61,4766.32,4860.43,5084.96,5313.89,5804.61,6111.29,6698.11,7516.88,7593.3,7976.74,8394.96,9016.87,9343.92,9775.04,10508.65,11283.4,12191.8,12840.09,13655.37,14185.44,15145.25,16317.26,18387.59,19865.54,21328.49,22819.27,2019.0
6708,722,SEN,NGDPD,Senegal,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.681,27.576,30.039,34.343,37.559,40.763,43.953,2019.0
6709,722,SEN,PPPGDP,Senegal,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.037,6.943,7.951,7.822,8.408,8.958,9.423,10.245,10.543,11.393,11.739,12.446,12.888,13.366,13.621,14.754,15.305,15.992,17.138,18.419,19.568,20.871,21.211,22.84,24.542,26.403,27.852,29.413,31.087,32.147,33.637,34.794,36.714,37.797,40.124,43.318,46.119,49.402,53.723,57.092,58.646,63.644,68.995,78.256,84.965,91.488,98.381,2019.0
6710,722,SEN,NGDP_D,Senegal,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",26.311,29.205,32.057,35.03,37.76,41.155,43.516,42.824,42.223,42.864,42.856,42.546,42.151,41.987,55.835,60.065,63.182,65.363,67.796,68.958,69.861,74.747,76.171,75.468,75.366,78.924,81.202,86.552,93.663,92.081,93.559,97.168,100.349,101.539,100.0,101.07,102.036,102.647,101.785,103.683,106.116,108.162,110.453,112.348,114.342,116.487,118.298,2019.0
6711,722,SEN,NGDPRPC,Senegal,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",616688.3,630733.37,661530.85,608624.21,613234.1,614863.1,615221.72,633184.99,610655.1,616339.46,594731.41,593095.79,584361.21,574993.43,557793.63,576179.38,572307.94,573821.58,593981.34,614952.81,623924.55,635363.13,620491.98,639180.0,652238.77,663172.23,661210.87,662171.78,668524.5,668523.95,672490.25,662865.93,670461.39,667682.17,689609.76,713204.77,737538.05,770293.51,795677.34,808173.43,798367.45,813911.73,835758.49,901159.84,931042.3,954977.76,979191.85,2019.0
6712,722,SEN,NGDPRPPPPC,Senegal,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2565.01,2623.43,2751.53,2531.47,2550.64,2557.42,2558.91,2633.63,2539.92,2563.56,2473.69,2466.88,2430.55,2391.59,2320.05,2396.52,2380.42,2386.71,2470.57,2557.79,2595.11,2642.69,2580.83,2658.56,2712.88,2758.35,2750.2,2754.19,2780.62,2780.61,2797.11,2757.08,2788.67,2777.11,2868.32,2966.46,3067.67,3203.91,3309.49,3361.46,3320.68,3385.33,3476.2,3748.22,3872.51,3972.07,4072.78,2019.0
6713,722,SEN,NGDPPC,Senegal,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",162257.04,184204.46,212069.17,213203.51,231555.38,253046.03,267720.93,271155.49,257839.17,264187.97,254880.33,252338.59,246311.98,241425.0,311443.0,346084.97,361597.98,375067.51,402692.8,424060.43,435877.65,474917.04,472635.02,482376.66,491567.66,523403.12,536913.22,573120.57,626161.43,615584.81,629172.16,644090.57,672800.78,677959.08,689609.76,720834.52,752551.8,790681.37,809879.37,837939.6,847198.77,880343.64,923116.25,1012435.37,1064574.44,1112420.73,1158361.19,2019.0
6714,722,SEN,NGDPDPC,Senegal,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",767.972,677.895,645.372,559.501,529.936,563.251,773.09,902.228,865.668,828.149,936.148,894.485,930.568,852.61,560.956,693.418,706.864,642.569,686.369,689.683,614.004,648.446,680.83,831.623,931.745,993.237,1027.79,1197.55,1403.8,1307.52,1272.62,1366.53,1318.61,1372.69,1397.02,1219.37,1269.55,1361.22,1458.73,1430.21,1474.02,1602.9,1699.4,1890.98,2012.74,2126.07,2231.18,2019.0
