,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6750,942,SRB,NGDP_R,Serbia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2020. The country in its current form has been in existence since 1992. Official data are only available from 1999 onward. The data prior to 1992 is presumably for the former SFR Yugoslavia. Metadata analysis available through the statistics office. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Serbian dinar Data last updated: 09/2021",,,,,,,,,,,,,,,,,,,2671.52,2347.02,2529.13,2655.4,2844.35,2969.94,3238.62,3567.48,3749.7,3991.16,4216.88,4101.69,4131.67,4215.8,4187.07,4308.19,4239.71,4315.02,4459.08,4552.77,4757.43,4959.55,4910.96,5232.14,5467.56,5713.6,5942.15,6182.63,6432.22,2020.0
6751,942,SRB,NGDP_RPCH,Serbia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,-12.147,7.759,4.993,7.116,4.415,9.047,10.154,5.108,6.44,5.656,-2.732,0.731,2.036,-0.682,2.893,-1.59,1.776,3.339,2.101,4.495,4.249,-0.98,6.54,4.5,4.5,4.0,4.047,4.037,2020.0
6752,942,SRB,NGDP,Serbia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2020. The country in its current form has been in existence since 1992. Official data are only available from 1999 onward. The data prior to 1992 is presumably for the former SFR Yugoslavia. Metadata analysis available through the statistics office. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Serbian dinar Data last updated: 09/2021",,,,,,,,,,,,,,,,,,,,,413.406,821.41,1038.62,1221.0,1452.45,1848.13,2182.54,2525.24,2910.46,3054.25,3252.83,3614.77,3812.69,4124.05,4163.43,4315.02,4528.19,4760.69,5072.93,5417.73,5463.54,5986.37,6427.53,6905.28,7384.8,7901.82,8457.47,2020.0
6753,942,SRB,NGDPD,Serbia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,9.318,12.321,16.188,21.234,24.76,27.515,32.625,43.425,52.13,45.188,41.397,49.314,43.33,48.428,47.095,39.656,40.693,44.179,50.641,51.475,52.96,60.669,65.697,71.326,76.883,83.069,89.456,2020.0
6754,942,SRB,PPPGDP,Serbia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,47.453,50.944,55.42,59.009,66.075,75.067,81.336,88.913,95.743,93.724,95.544,99.515,100.38,104.877,104.603,105.951,111.92,116.697,124.856,132.489,132.772,146.552,157.362,168.356,179.081,190.376,202.166,2020.0
6755,942,SRB,NGDP_D,Serbia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,16.346,30.934,36.515,41.112,44.848,51.805,58.206,63.271,69.019,74.463,78.729,85.743,91.059,95.726,98.201,100.0,101.55,104.567,106.632,109.238,111.252,114.415,117.558,120.857,124.278,127.807,131.486,2020.0
6756,942,SRB,NGDPRPC,Serbia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,343309.92,353013.33,311258.9,336483.57,353891.21,379245.31,397019.63,433947.4,479450.0,505924.7,540691.71,573708.06,560277.96,566647.22,582573.49,581416.86,601152.11,594480.66,608144.82,631748.04,648464.01,681325.53,712193.33,708988.91,758390.54,795697.42,834843.74,871724.54,910645.8,951213.49,2020.0
6757,942,SRB,NGDPRPPPPC,Serbia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,8799.74,9048.46,7978.21,8624.77,9070.96,9720.84,10176.43,11122.97,12289.29,12967.89,13859.04,14705.32,14361.08,14524.33,14932.56,14902.91,15408.77,15237.76,15588.0,16193.0,16621.47,17463.78,18254.98,18172.85,19439.11,20395.36,21398.76,22344.09,23341.73,24381.56,2020.0
6758,942,SRB,NGDPPC,Serbia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,18805.97,24251.86,28490.42,55000.96,109471.2,138481.45,163222.91,194616.31,248378.97,294477.87,342100.36,395968.48,417200.79,446116.47,499517.09,529430.62,575458.04,583784.4,608144.83,641539.46,678077.59,726510.1,777988.04,788764.93,867715.85,935403.19,1008966.36,1083365.18,1163868.15,1250712.86,2020.0
6759,942,SRB,NGDPDPC,Serbia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,2927.95,2302.29,1508.72,1239.75,1642.08,2158.38,2838.5,3317.62,3697.9,4401.87,5882.94,7092.36,6172.49,5677.55,6814.65,6016.79,6757.47,6603.5,5588.98,5765.2,6292.55,7252.4,7391.84,7645.79,8793.84,9560.92,10421.8,11278.83,12235.27,13228.98,2020.0
