,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6885,576,SGP,NGDP_R,Singapore,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Singapore dollar Data last updated: 08/2021",46.275,51.281,54.923,59.621,64.863,64.459,65.325,72.378,80.531,88.712,97.424,103.94,110.841,123.547,137.258,147.142,158.135,171.292,167.531,177.121,193.131,191.066,198.546,207.551,227.932,244.706,266.742,290.808,296.241,296.599,339.682,361.211,377.326,395.579,411.157,423.444,437.541,457.319,473.314,479.681,453.821,481.184,496.679,510.238,523.722,536.744,550.288,2020.0
6886,576,SGP,NGDP_RPCH,Singapore,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.113,10.816,7.102,8.555,8.792,-0.623,1.343,10.798,11.264,10.159,9.821,6.689,6.64,11.463,11.098,7.201,7.471,8.32,-2.195,5.724,9.039,-1.069,3.915,4.536,9.82,7.359,9.005,9.022,1.868,0.121,14.526,6.338,4.462,4.837,3.938,2.989,3.329,4.52,3.497,1.345,-5.391,6.029,3.22,2.73,2.643,2.487,2.523,2020.0
6887,576,SGP,NGDP,Singapore,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2015 Primary domestic currency: Singapore dollar Data last updated: 08/2021",25.87,30.352,33.981,38.058,41.73,40.863,40.893,45.55,53.432,61.309,70.492,78.543,84.92,97.923,112.555,124.463,135.777,148.664,143.475,146.253,165.632,160.886,165.698,170.118,194.433,212.723,236.159,272.698,273.942,282.395,326.98,351.368,368.771,384.87,398.948,423.444,440.372,474.115,507.124,510.738,469.096,502.854,526.583,549.106,572.119,595.082,619.135,2020.0
6888,576,SGP,NGDPD,Singapore,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.753,343.332,375.963,374.39,339.981,378.645,396.995,418.39,440.071,461.509,483.455,2020.0
6889,576,SGP,PPPGDP,Singapore,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",22.879,27.752,31.56,35.601,40.13,41.141,42.533,48.291,55.625,63.678,72.549,80.019,87.277,99.587,113.002,123.679,135.354,149.143,147.511,158.152,176.354,178.4,188.273,200.697,226.321,250.596,281.591,315.293,327.343,329.839,382.291,414.967,435.965,448.14,461.772,481.405,501.388,535.131,567.077,584.987,560.12,615.293,652.586,686.354,720.549,754.508,789.576,2020.0
6890,576,SGP,NGDP_D,Singapore,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",55.904,59.188,61.871,63.833,64.336,63.393,62.599,62.933,66.35,69.11,72.356,75.565,76.614,79.26,82.003,84.587,85.862,86.79,85.641,82.572,85.762,84.204,83.456,81.964,85.303,86.93,88.535,93.773,92.473,95.211,96.261,97.275,97.733,97.293,97.031,100.0,100.647,103.673,107.143,106.474,103.366,104.503,106.021,107.618,109.241,110.869,112.511,2020.0
6891,576,SGP,NGDPRPC,Singapore,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",19169.99,20246.29,20753.15,22237.8,23740.03,23559.95,23898.9,26084.22,28295.03,30267.66,31972.33,33153.86,34308.81,37286.25,40145.01,41748.12,43080.29,45123.81,42659.06,44741.88,47948.44,46173.45,47545.06,50439.9,54703.74,57365.06,60604.34,63376.12,61214.38,59467.6,66909.56,69682.15,71026.97,73266.69,75169.53,76502.97,78030.79,81485.85,83940.59,84101.88,79816.5,84207.94,86487.06,88406.1,90290.95,92075.66,93929.47,2020.0
6892,576,SGP,NGDPRPPPPC,Singapore,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",22431.71,23691.13,24284.24,26021.5,27779.33,27568.61,27965.23,30522.37,33109.35,35417.61,37412.33,38794.89,40146.36,43630.4,46975.56,48851.45,50410.28,52801.5,49917.37,52354.58,56106.73,54029.74,55634.72,59022.1,64011.43,67125.57,70915.99,74159.39,71629.83,69585.85,78294.03,81538.37,83112.01,85732.8,87959.42,89519.74,91307.5,95350.44,98222.85,98411.58,93397.05,98535.68,101202.59,103448.14,105653.69,107742.08,109911.31,2020.0
6893,576,SGP,NGDPPC,Singapore,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10716.73,11983.41,12840.22,14195.13,15273.44,14935.47,14960.53,16415.48,18773.81,20917.97,23133.98,25052.86,26285.4,29553.03,32920.1,35313.69,36989.42,39163.04,36533.52,36944.36,41121.41,38879.93,39679.14,41342.67,46663.95,49867.53,53655.81,59429.38,56606.57,56619.62,64407.6,67783.38,69416.45,71283.34,72937.48,76502.97,78535.75,84478.57,89936.7,89547.05,82502.96,88000.21,91694.4,95140.69,98634.75,102083.22,105680.95,2020.0
6894,576,SGP,NGDPDPC,Singapore,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5004.99,5672.11,6000.03,6717.84,7160.26,6788.39,6870.77,7794.69,9328.95,10725.74,12763.34,14501.96,16136.24,18290.13,21552.41,24914.85,26232.87,26375.87,21829.28,21796.64,23852.83,21699.75,22159.83,23730.38,27608.08,29961.31,33768.45,39432.9,40008.58,38926.81,47236.67,53891.46,55547.55,56967.43,57564.8,55645.61,56846.27,61175.44,66675.77,65641.31,59794.6,66263.42,69129.04,72492.13,75869.29,79169.49,82521.65,2020.0
