,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6930,936,SVK,NGDP_R,Slovak Republic,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,,32.157,34.153,36.842,39.399,41.15,42.827,42.782,43.281,44.689,46.704,49.273,51.874,55.309,60.007,66.507,70.215,66.384,70.282,72.283,73.654,74.145,76.103,79.768,81.469,83.904,86.967,89.151,84.913,88.676,93.28,97.317,100.63,103.743,106.469,2019.0
6931,936,SVK,NGDP_RPCH,Slovak Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,6.206,7.872,6.941,4.445,4.076,-0.106,1.167,3.254,4.509,5.499,5.279,6.623,8.493,10.832,5.575,-5.456,5.871,2.847,1.897,0.666,2.642,4.815,2.133,2.99,3.65,2.512,-4.754,4.432,5.192,4.328,3.405,3.094,2.627,2019.0
6932,936,SVK,NGDP,Slovak Republic,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,,13.971,16.834,19.768,22.033,24.456,26.688,28.584,31.661,34.366,37.33,41.48,46.175,50.486,56.361,63.163,68.591,64.096,68.189,71.305,73.576,74.449,76.27,79.768,81.052,84.489,89.357,93.901,91.555,97.751,105.581,112.338,118.555,124.673,130.513,2019.0
6933,936,SVK,NGDPD,Slovak Republic,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,13.726,15.838,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.473,99.235,94.589,98.878,101.351,88.512,89.691,95.411,105.574,105.131,104.491,116.748,127.497,137.632,147.03,156.299,164.9,2019.0
6934,936,SVK,PPPGDP,Slovak Republic,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,43.952,47.677,52.509,57.181,60.753,63.941,64.773,67.013,70.752,75.095,80.789,87.337,96.041,107.414,122.266,131.558,125.177,134.12,140.805,145.827,151.588,157.124,162.322,161.058,168.048,178.342,186.092,179.381,194.081,209.777,224.064,236.974,249.611,261.478,2019.0
6935,936,SVK,NGDP_D,Slovak Republic,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,43.447,49.291,53.656,55.923,59.432,62.316,66.813,73.152,76.899,79.928,84.184,89.015,91.279,93.925,94.972,97.687,96.553,97.022,98.647,99.894,100.41,100.219,100.0,99.488,100.696,102.748,105.327,107.823,110.234,113.187,115.435,117.812,120.175,122.583,2019.0
6936,936,SVK,NGDPRPC,Slovak Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,6025.38,6363.43,6826.18,7284.87,7650.18,7949.12,7932.26,8016.98,8308.4,8682.77,9167.21,9656.54,10294.56,11168.4,12377.59,13060.62,12333.53,13038.29,13404.46,13628.67,13702.98,14051.7,14713.59,15013.81,15436.82,15977.4,16356.74,15557.82,16241.66,17063.89,17780.44,18363.21,18907.96,19380.87,2019.0
6937,936,SVK,NGDPRPPPPC,Slovak Republic,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,12067.92,12744.99,13671.81,14590.48,15322.15,15920.89,15887.11,16056.79,16640.47,17390.27,18360.54,19340.58,20618.43,22368.61,24790.43,26158.43,24702.19,26113.71,26847.09,27296.15,27445.0,28143.43,29469.09,30070.38,30917.61,32000.31,32760.06,31159.95,32529.58,34176.39,35611.53,36778.72,37869.78,38816.94,2019.0
6938,936,SVK,NGDPPC,Slovak Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,2617.87,3136.6,3662.68,4073.91,4546.65,4953.61,5299.75,5864.61,6389.09,6939.92,7717.3,8595.73,9396.72,10489.89,11755.29,12758.52,11908.35,12649.98,13223.04,13614.25,13759.19,14082.44,14713.61,14936.92,15544.28,16416.43,17228.12,16774.92,17903.8,19314.17,20524.92,21634.07,22722.57,23757.71,2019.0
6939,936,SVK,NGDPDPC,Slovak Republic,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,2571.86,2950.87,3711.96,4004.8,4076.5,4236.59,3869.05,3839.79,3982.44,4626.83,6341.55,8040.07,9141.84,10700.34,14374.85,18074.64,16591.52,16783.99,18402.63,17502.51,18274.09,18713.36,16326.59,16529.16,17553.89,19395.85,19288.57,19144.92,21383.29,23323.33,25146.38,26830.34,28486.6,30017.18,2019.0
6940,936,SVK,PPPPC,Slovak Republic,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,8235.41,8883.24,9729.04,10572.9,11294.55,11868.0,12009.69,12412.95,13154.0,13960.95,15030.8,16258.13,17875.86,19991.64,22754.87,24470.98,23256.79,24881.23,26111.49,26983.39,28015.72,29011.35,29941.22,29681.21,30917.61,32764.74,34142.7,32866.41,35547.48,38375.0,40937.91,43243.35,45493.43,47597.56,2019.0
6941,936,SVK,NGAP_NPGDP,Slovak Republic,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,2.672,2.775,3.292,2.362,6.529,4.565,0.191,-2.218,-3.058,-2.849,-1.82,-1.487,-0.325,2.027,6.535,6.951,-3.195,-1.859,-2.31,-2.501,-2.868,-1.507,1.19,1.27,1.461,1.476,0.982,-4.586,-2.568,-0.915,,,,,2019.0
6942,936,SVK,PPPSH,Slovak Republic,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,0.127,0.131,0.136,0.14,0.141,0.143,0.138,0.133,0.134,0.136,0.138,0.138,0.141,0.145,0.153,0.156,0.149,0.149,0.148,0.145,0.144,0.144,0.146,0.139,0.138,0.138,0.138,0.136,0.134,0.135,0.136,0.136,0.135,0.135,2019.0
6943,936,SVK,PPPEX,Slovak Republic,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,0.318,0.353,0.376,0.385,0.403,0.417,0.441,0.472,0.486,0.497,0.513,0.529,0.526,0.525,0.517,0.521,0.512,0.508,0.506,0.505,0.491,0.485,0.491,0.503,0.503,0.501,0.505,0.51,0.504,0.503,0.501,0.5,0.499,0.499,2019.0
6944,936,SVK,NID_NGDP,Slovak Republic,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,"Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,,26.328,22.471,23.786,33.787,34.995,34.463,29.26,27.005,30.717,30.131,25.725,26.378,29.709,28.78,28.3,28.046,20.565,23.838,25.293,20.284,20.994,21.964,24.337,22.656,23.076,23.044,23.37,18.388,18.616,20.932,21.988,22.535,21.912,21.739,2019.0
6945,936,SVK,NGSD_NGDP,Slovak Republic,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,"Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1997 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,,20.047,25.697,26.141,23.96,26.194,24.89,24.794,23.922,22.737,22.527,20.832,20.528,22.422,21.754,23.5,21.688,17.121,19.169,20.388,21.213,22.846,23.105,22.245,19.915,21.16,20.836,20.657,18.031,17.694,19.583,20.207,21.15,20.989,20.915,2019.0
6946,936,SVK,PCPI,Slovak Republic,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2020 Harmonized prices: Yes. 2015=100 Frequency of source data: Monthly Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,33.278,37.758,41.497,43.896,46.544,49.658,54.853,61.524,65.919,68.219,73.961,79.472,81.68,85.164,86.782,90.21,91.055,91.691,95.425,98.984,100.429,100.333,100.0,99.528,100.917,103.463,106.324,108.462,111.025,114.335,116.771,119.096,121.467,123.906,2020.0
6947,936,SVK,PCPIPCH,Slovak Republic,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",,,,,,,,,,,,,,,13.464,9.901,5.782,6.033,6.691,10.461,12.161,7.144,3.489,8.417,7.451,2.779,4.266,1.899,3.951,0.937,0.698,4.073,3.73,1.46,-0.096,-0.331,-0.472,1.395,2.523,2.766,2.01,2.363,2.981,2.131,1.991,1.99,2.008,2020.0
6948,936,SVK,PCPIE,Slovak Republic,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,,Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2020 Harmonized prices: Yes. 2015=100 Frequency of source data: Monthly Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,36.604,40.922,43.95,46.351,49.252,52.152,58.41,63.34,67.5,69.59,76.02,80.41,83.35,86.25,88.26,91.32,91.36,92.55,96.8,100.04,100.39,100.24,99.78,100.04,102.06,103.97,107.25,108.99,112.832,115.681,118.146,120.499,122.897,125.365,2020.0
6949,936,SVK,PCPIEPCH,Slovak Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",,,,,,,,,,,,,,,11.796,7.402,5.462,6.258,5.889,11.999,8.44,6.568,3.096,9.24,5.775,3.656,3.479,2.33,3.467,0.044,1.303,4.592,3.347,0.35,-0.149,-0.459,0.261,2.019,1.871,3.155,1.622,3.525,2.525,2.131,1.991,1.99,2.008,2020.0
6950,936,SVK,FLIBOR6,Slovak Republic,Six-month London interbank offered rate (LIBOR),,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6951,936,SVK,TM_RPCH,Slovak Republic,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank. Haver Analytics Latest actual data: 2019 Base year: 2010 Methodology used to derive volumes: Other Formula used to derive volumes: Other Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,-4.733,12.226,17.441,7.888,-2.367,-4.026,7.833,17.726,5.434,8.697,21.454,15.329,20.291,8.718,4.261,-19.089,16.314,8.135,2.323,5.409,5.11,7.924,5.003,4.613,4.095,2.085,-8.504,13.605,6.115,4.894,4.698,4.36,3.993,2019.0
6952,936,SVK,TMG_RPCH,Slovak Republic,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank. Haver Analytics Latest actual data: 2019 Base year: 2010 Methodology used to derive volumes: Other Formula used to derive volumes: Other Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,-3.066,16.486,20.174,7.747,-5.67,-3.909,10.456,19.114,5.178,9.518,25.558,15.488,21.79,8.041,2.689,-19.694,19.173,9.388,2.786,4.473,4.713,8.486,4.448,4.385,3.586,1.883,-6.706,13.605,6.115,4.894,4.698,4.36,3.993,2019.0
6953,936,SVK,TX_RPCH,Slovak Republic,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank. Haver Analytics Latest actual data: 2019 Base year: 2010 Methodology used to derive volumes: Other Formula used to derive volumes: Other Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,14.758,6.171,-1.284,5.856,-2.619,10.058,9.233,10.393,7.387,20.152,20.472,12.876,23.553,13.833,3.105,-16.483,17.148,10.84,9.289,5.868,4.042,6.288,5.121,4.044,4.658,0.786,-7.625,13.842,5.814,4.634,5.132,4.849,4.12,2019.0
6954,936,SVK,TXG_RPCH,Slovak Republic,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank. Haver Analytics Latest actual data: 2019 Base year: 2010 Methodology used to derive volumes: Other Formula used to derive volumes: Other Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,,16.041,11.628,2.774,7.353,-10.759,9.816,13.741,10.028,7.977,27.721,23.72,13.834,26.059,14.384,4.004,-15.872,18.48,11.813,9.386,5.169,4.292,6.183,4.375,3.605,4.638,0.338,-5.772,13.842,5.814,4.634,5.132,4.849,4.12,2019.0
6955,936,SVK,LUR,Slovak Republic,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office. Eurostat & Haver Analytics Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2021,,,,,,,,,,,,,,12.7,14.6,13.7,12.6,11.882,12.725,16.492,18.9,19.458,18.825,17.7,18.358,16.358,13.442,11.217,9.592,12.092,14.483,13.675,13.975,14.258,13.183,11.483,9.683,8.108,6.542,5.758,6.7,6.8,6.1,5.8,5.7,5.7,5.7,2019.0
