,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6975,961,SVN,NGDP_R,Slovenia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,20.111,20.674,21.77,22.662,23.479,24.664,25.473,26.831,27.817,28.712,29.718,30.598,31.932,33.144,35.049,37.495,38.811,35.882,36.364,36.677,35.709,35.342,36.32,37.123,38.307,40.152,41.928,43.291,41.46,44.08,46.09,47.803,49.265,50.693,52.159,2020.0
6976,961,SVN,NGDP_RPCH,Slovenia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,2.8,5.3,4.1,3.602,5.05,3.28,5.332,3.673,3.217,3.506,2.96,4.359,3.798,5.746,6.98,3.51,-7.549,1.344,0.861,-2.64,-1.029,2.768,2.21,3.192,4.816,4.422,3.251,-4.23,6.321,4.559,3.716,3.058,2.9,2.89,2020.0
6977,961,SVN,NGDP,Slovenia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2021",,,,,,,,,,,,,6.443,7.802,9.045,10.561,12.147,13.837,15.352,17.227,18.853,21.148,23.549,25.613,27.628,29.114,31.47,35.074,37.926,36.255,36.364,37.059,36.253,36.454,37.634,38.853,40.443,43.011,45.864,48.397,46.918,50.982,54.22,57.245,60.238,63.328,66.585,2020.0
6978,961,SVN,NGDPD,Slovenia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.26,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.188,54.185,53.547,60.89,65.475,70.134,74.707,79.393,84.129,2020.0
6979,961,SVN,PPPGDP,Slovenia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,22.321,23.489,25.263,26.85,28.326,30.27,31.615,33.769,35.803,37.787,39.721,41.704,44.691,47.843,52.153,57.301,60.45,56.245,57.686,59.391,59.745,61.745,63.653,65.283,70.072,75.777,81.019,85.149,82.53,90.909,97.67,103.71,109.318,114.932,120.704,2020.0
6980,961,SVN,NGDP_D,Slovenia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,32.039,37.739,41.548,46.601,51.738,56.1,60.267,64.203,67.776,73.656,79.24,83.71,86.523,87.838,89.79,93.541,97.718,101.04,100.0,101.04,101.524,103.149,103.619,104.66,105.575,107.121,109.389,111.795,113.165,115.657,117.64,119.751,122.274,124.924,127.66,2020.0
6981,961,SVN,NGDPRPC,Slovenia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,10059.42,10393.04,10943.87,11391.05,11796.66,12412.8,12833.29,13562.57,13994.03,14427.21,14903.57,15336.94,15994.33,16592.19,17495.08,18650.93,19306.57,17655.17,17764.69,17889.62,17372.45,17165.89,17621.69,17995.53,18558.05,19435.64,20285.5,20803.76,19781.7,20950.04,21839.93,22610.45,23286.45,23973.0,24679.86,2020.0
6982,961,SVN,NGDPRPPPPC,Slovenia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,18984.77,19614.41,20653.97,21497.92,22263.42,23426.23,24219.81,25596.15,26410.42,27227.95,28126.96,28944.85,30185.51,31313.84,33017.82,35199.22,36436.59,33319.96,33526.66,33762.43,32786.39,32396.57,33256.78,33962.3,35023.93,36680.19,38284.09,39262.17,37333.29,39538.24,41217.7,42671.89,43947.67,45243.37,46577.41,2020.0
6983,961,SVN,NGDPPC,Slovenia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,3222.96,3922.28,4546.91,5308.38,6103.36,6963.55,7734.2,8707.63,9484.57,10626.48,11809.63,12838.54,13838.78,14574.31,15708.83,17446.23,18866.03,17838.75,17764.69,18075.65,17637.15,17706.45,18259.41,18834.16,19592.74,20819.69,22190.06,23257.54,22386.03,24230.28,25692.39,27076.27,28473.35,29948.05,31506.19,2020.0
6984,961,SVN,NGDPDPC,Slovenia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,9639.35,8357.94,8468.24,10748.46,10810.79,10470.5,11168.22,11509.46,10259.44,10502.32,11804.82,14873.63,17254.83,18152.06,19723.86,23912.49,27744.28,24854.16,23570.18,25156.07,22674.37,23516.59,24263.9,20898.86,21681.28,23511.32,26217.34,26039.1,25548.77,28939.27,31025.51,33172.85,35312.34,37544.96,39807.17,2020.0
6985,961,SVN,PPPPC,Slovenia,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,11164.71,11808.38,12699.82,13495.92,14232.4,15233.98,15927.32,17069.6,18011.65,18987.55,19920.18,20904.03,22385.23,23950.23,26032.74,28502.66,30070.41,27674.56,28180.95,28968.77,29066.17,29990.24,30883.37,31646.71,33946.56,36680.19,39198.63,40919.23,39377.83,43206.36,46281.35,49054.28,51672.4,54351.41,57113.49,2020.0
