,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7020,813,SLB,NGDP_R,Solomon Islands,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. For data prior to 1990, the source is IMF staff estimates. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. This has been updated till 2016 with data provided by the country authorities. For 2017 and onwards, real GDP is estimated by the staff, based on sectoral growth assumptions provided by the Central Bank of Solomon Islands. Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Solomon Islands dollar Data last updated: 08/2021",3.96,3.889,3.824,3.973,3.98,3.855,3.847,4.171,4.223,4.403,4.5,4.77,5.376,5.591,6.044,6.654,6.761,6.699,6.786,6.753,5.789,5.328,5.179,5.517,5.884,6.21,6.512,6.802,7.197,7.381,8.017,8.6,8.76,9.227,9.324,9.456,10.012,10.547,10.963,11.095,10.616,10.746,11.219,11.723,12.114,12.472,12.834,2019.0
7021,813,SLB,NGDP_RPCH,Solomon Islands,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.663,-1.797,-1.67,3.891,0.17,-3.132,-0.201,8.421,1.25,4.264,2.2,6.0,12.7,4.0,8.1,10.089,1.61,-0.914,1.292,-0.486,-14.277,-7.957,-2.8,6.523,6.667,5.526,4.874,4.442,5.806,2.569,8.616,7.267,1.865,5.332,1.05,1.417,5.873,5.347,3.943,1.204,-4.32,1.229,4.395,4.498,3.333,2.955,2.904,2019.0
7022,813,SLB,NGDP,Solomon Islands,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: Central Bank. For data prior to 1990, the source is IMF staff estimates. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. This has been updated till 2016 with data provided by the country authorities. For 2017 and onwards, real GDP is estimated by the staff, based on sectoral growth assumptions provided by the Central Bank of Solomon Islands. Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Solomon Islands dollar Data last updated: 08/2021",0.152,0.169,0.187,0.208,0.231,0.245,0.257,0.311,0.368,0.396,0.543,0.618,0.788,0.959,1.326,1.599,1.821,1.957,2.204,2.361,2.137,2.161,2.338,2.646,2.976,3.591,4.099,4.746,5.417,5.928,6.829,8.023,8.76,9.381,9.85,10.345,10.957,11.703,12.522,12.833,12.697,13.404,14.62,16.032,17.24,18.338,19.483,2019.0
7023,813,SLB,NGDPD,Solomon Islands,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.191,1.285,1.338,1.311,1.381,1.458,1.566,1.579,1.562,1.649,1.798,1.972,2.121,2.256,2.396,2019.0
7024,813,SLB,PPPGDP,Solomon Islands,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.223,0.24,0.25,0.27,0.28,0.28,0.285,0.317,0.332,0.36,0.382,0.418,0.482,0.513,0.567,0.637,0.659,0.664,0.68,0.687,0.602,0.566,0.559,0.607,0.665,0.724,0.783,0.84,0.905,0.935,1.027,1.125,1.167,1.251,1.288,1.319,1.411,1.514,1.612,1.66,1.608,1.686,1.809,1.935,2.045,2.151,2.26,2019.0
7025,813,SLB,NGDP_D,Solomon Islands,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",3.832,4.335,4.899,5.239,5.811,6.358,6.682,7.45,8.703,9.004,12.074,12.949,14.653,17.147,21.937,24.03,26.933,29.215,32.474,34.966,36.91,40.566,45.142,47.965,50.567,57.822,62.936,69.775,75.277,80.316,85.174,93.285,100.0,101.669,105.641,109.398,109.44,110.961,114.222,115.668,119.604,124.729,130.317,136.757,142.317,147.036,151.81,2019.0
7026,813,SLB,NGDPRPC,Solomon Islands,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",17177.25,16310.86,15516.74,15606.72,15149.56,14236.0,13797.22,14540.23,14317.64,14519.63,14430.15,14870.9,16291.5,16468.61,17304.24,18519.77,18296.35,17629.32,17368.22,16815.04,14027.54,12567.76,11893.57,12341.1,12833.12,13214.39,13537.0,13820.78,14296.97,14327.85,15188.5,15881.23,15754.26,16150.7,15882.61,15679.31,16162.85,16582.59,16792.39,16564.22,15507.53,15360.14,15689.98,16042.81,16220.72,16340.58,16453.09,2015.0
7027,813,SLB,NGDPRPPPPC,Solomon Islands,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2466.4,2342.0,2227.97,2240.89,2175.25,2044.08,1981.08,2087.76,2055.8,2084.8,2071.96,2135.24,2339.22,2364.65,2484.63,2659.17,2627.09,2531.31,2493.82,2414.39,2014.15,1804.54,1707.74,1772.0,1842.65,1897.39,1943.71,1984.46,2052.83,2057.27,2180.84,2280.31,2262.08,2319.0,2280.51,2251.32,2320.75,2381.01,2411.14,2378.38,2226.65,2205.49,2252.85,2303.51,2329.06,2346.27,2362.42,2015.0
7028,813,SLB,NGDPPC,Solomon Islands,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",658.158,707.108,760.114,817.658,880.398,905.15,921.973,1083.31,1246.06,1307.28,1742.35,1925.67,2387.19,2823.82,3796.03,4450.21,4927.8,5150.46,5640.09,5879.52,5177.51,5098.27,5368.97,5919.39,6489.3,7640.76,8519.59,9643.46,10762.4,11507.53,12936.66,14814.79,15754.26,16420.26,16778.56,17152.81,17688.55,18400.27,19180.56,19159.5,18547.54,19158.58,20446.66,21939.7,23084.88,24026.58,24977.5,2015.0
7029,813,SLB,NGDPDPC,Solomon Islands,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",793.126,812.613,782.732,711.899,691.205,611.271,529.413,540.763,598.343,570.057,689.006,709.335,815.269,885.84,1153.33,1306.62,1381.75,1385.67,1171.2,1215.24,1017.41,965.95,795.547,788.627,867.004,1014.73,1119.61,1260.25,1389.07,1428.61,1604.15,1938.79,2141.92,2248.69,2278.42,2174.31,2229.57,2291.68,2398.81,2356.62,2281.35,2356.51,2514.94,2698.58,2839.44,2955.27,3072.23,2015.0
