,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7065,726,SOM,NGDP_R,Somalia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.776,3.821,3.892,3.984,4.122,4.241,4.3,4.42,4.548,4.517,4.589,4.766,4.938,5.13,5.341,5.57,2019.0
7066,726,SOM,NGDP_RPCH,Somalia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.86,2.354,3.46,2.894,1.385,2.8,2.9,-0.7,1.6,3.861,3.6,3.9,4.1,4.3,2019.0
7067,726,SOM,NGDP,Somalia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.651,5.061,4.99,5.424,5.888,6.611,7.385,8.061,8.764,2019.0
7068,726,SOM,NGDPD,Somalia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.651,5.061,4.99,5.424,5.888,6.611,7.385,8.061,8.764,2019.0
7069,726,SOM,PPPGDP,Somalia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.105,10.156,9.015,9.864,11.346,12.23,12.655,13.32,13.952,14.021,14.759,15.75,16.706,17.753,18.882,20.102,2019.0
7070,726,SOM,NGDP_D,Somalia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.664,94.495,100.0,99.486,98.229,98.994,104.859,105.221,111.275,110.473,118.203,123.546,133.886,143.944,150.932,157.339,2019.0
7071,726,SOM,NGDPRPC,Somalia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.249,316.021,314.344,316.054,316.036,311.384,311.081,311.081,300.198,296.405,299.175,301.21,304.137,307.684,311.87,2013.0
7072,726,SOM,NGDPRPPPPC,Somalia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.583,930.084,925.147,930.181,930.128,916.435,915.544,915.544,883.514,872.352,880.503,886.493,895.108,905.546,917.867,2013.0
7073,726,SOM,NGDPPC,Somalia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.676,316.021,312.727,310.457,312.857,326.515,327.321,346.156,331.637,350.361,369.62,403.277,437.788,464.394,490.693,2013.0
7074,726,SOM,NGDPDPC,Somalia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.676,316.021,312.727,310.457,312.857,326.515,327.321,346.156,331.637,350.361,369.62,403.277,437.788,464.394,490.693,2013.0
