,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7126,199,ZAF,PCPI,South Africa,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2016. CPI basket has been updated and rebased at Dec-2016=100 Primary domestic currency: South African rand Data last updated: 09/2021,4.308,4.967,5.683,6.392,7.117,8.283,9.808,11.4,12.875,14.775,16.875,19.442,22.175,24.317,26.467,28.783,30.9,33.567,35.908,37.733,39.767,42.008,45.85,48.542,49.233,50.883,53.233,57.042,63.308,67.817,70.708,74.233,78.408,82.925,87.975,92.0,97.833,102.992,107.75,112.2,115.867,120.981,126.405,132.093,138.037,144.249,150.74,2020.0
7127,199,ZAF,PCPIPCH,South Africa,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.236,15.28,14.43,12.463,11.343,16.393,18.41,16.228,12.939,14.757,14.213,15.21,14.059,9.658,8.842,8.753,7.354,8.63,6.976,5.082,5.389,5.637,9.145,5.871,1.425,3.351,4.618,7.154,10.986,7.121,4.264,4.985,5.624,5.76,6.09,4.575,6.341,5.273,4.62,4.13,3.268,4.414,4.483,4.5,4.5,4.5,4.5,2020.0
7128,199,ZAF,PCPIE,South Africa,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2016. CPI basket has been updated and rebased at Dec-2016=100 Primary domestic currency: South African rand Data last updated: 09/2021,4.7,5.3,6.0,6.7,7.5,8.9,10.5,12.1,13.6,15.7,18.0,20.9,22.9,25.1,27.5,29.4,32.2,34.2,37.3,38.1,40.7,42.6,47.9,48.0,49.7,51.5,54.5,59.3,65.269,69.386,71.796,76.214,80.532,84.85,89.369,94.088,100.414,105.151,110.324,114.457,118.085,123.989,129.569,135.399,141.492,147.859,154.513,2020.0
7131,199,ZAF,TM_RPCH,South Africa,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Not applicable Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: South African rand Data last updated: 09/2021,18.774,13.736,-17.367,-16.092,19.799,-14.036,-2.452,3.494,21.911,0.317,-5.836,2.143,5.347,7.017,16.093,16.791,8.711,5.385,2.014,-8.362,5.338,0.25,5.342,8.085,15.508,10.879,18.261,9.366,2.809,-17.66,10.794,11.838,3.868,4.039,-0.687,5.045,-4.133,1.533,3.244,0.474,-17.423,15.08,11.265,4.424,3.988,3.568,3.568,2020.0
7132,199,ZAF,TMG_RPCH,South Africa,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Not applicable Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: South African rand Data last updated: 09/2021,21.616,14.216,-17.848,-18.681,21.473,-14.699,-5.324,3.961,23.943,-1.54,-4.265,0.38,5.539,6.695,18.918,19.676,11.852,6.732,1.223,-9.289,7.733,0.155,5.614,4.649,17.895,11.776,19.888,10.046,4.079,-21.394,9.743,14.408,6.437,6.194,0.014,5.574,-4.081,1.543,4.458,-0.143,-17.423,15.08,11.265,4.424,3.988,3.568,3.568,2020.0
7133,199,ZAF,TX_RPCH,South Africa,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Not applicable Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: South African rand Data last updated: 09/2021,0.221,-5.353,-2.645,-1.328,2.666,10.077,-3.691,4.649,8.17,2.182,-0.434,-1.545,5.491,10.379,2.486,10.937,7.204,5.296,3.246,1.261,8.314,2.393,0.989,0.109,2.834,8.567,7.463,7.829,1.55,-17.024,7.718,3.008,1.112,3.733,3.646,3.06,0.407,-0.273,2.809,-3.409,-11.95,12.2,1.8,3.088,3.137,2.9,2.9,2020.0
7134,199,ZAF,TXG_RPCH,South Africa,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,Source: Central Bank Latest actual data: 2020 Base year: 2010 Methodology used to derive volumes: Not applicable Formula used to derive volumes: Not applicable Chain-weighted: No Trade System: General trade Oil coverage: Primary or unrefined products; Valuation of exports: Free on board (FOB) Valuation of imports: Free on board (FOB) Primary domestic currency: South African rand Data last updated: 09/2021,0.624,-4.186,-2.612,-0.182,1.754,10.796,-3.233,5.731,8.798,0.039,-0.72,0.305,6.454,11.041,1.192,10.52,5.372,5.151,1.98,1.385,8.947,0.815,-0.809,-1.761,4.158,8.802,6.986,7.459,2.036,-18.517,8.702,4.025,-0.256,4.161,3.206,3.527,-0.167,0.114,3.839,-2.351,-11.95,12.2,1.8,3.087,3.137,2.9,2.9,2020.0
7135,199,ZAF,LUR,South Africa,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,Source: National Statistics Office Latest actual data: 2020 Employment type: National definition Primary domestic currency: South African rand Data last updated: 09/2021,9.241,9.824,10.755,12.543,13.718,15.452,16.049,16.592,17.238,17.829,18.784,20.162,21.213,22.163,22.89,16.5,20.3,22.0,26.1,23.3,23.0,25.95,27.8,27.65,25.15,24.65,23.55,23.0,22.525,23.7,24.875,24.8,24.875,24.725,25.1,25.35,26.725,27.45,27.125,28.7,29.175,33.5,34.375,36.186,37.357,38.007,38.645,2020.0
7137,199,ZAF,LP,South Africa,Population,"For census purposes, the total population of the country consists of all persons falling within the scope of the census. In the broadest sense, the total may comprise either all usual residents of the country or all persons present in the country at the time of the census. [Principles and Recommendations for Population and Housing Censuses, Revision 1, paragraph 2.42]",Persons,Millions,"Source: IFS until 2000, then National Statistics Office from 2002. Latest actual data: 2020 Primary domestic currency: South African rand Data last updated: 09/2021",29.08,29.83,30.61,31.41,32.21,32.98,33.73,34.46,35.2,35.97,36.79,37.69,38.65,39.62,40.56,41.43,42.21,42.92,43.58,44.23,44.9,45.724,46.355,46.806,47.31,47.86,48.446,49.089,49.795,50.545,51.329,52.129,52.93,53.751,54.574,55.407,56.252,57.098,57.939,58.775,59.622,60.531,61.454,62.392,63.343,64.309,65.29,2020.0
7153,199,ZAF,BCA,South Africa,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2020 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: South African rand Data last updated: 09/2021",3.287,-5.143,-3.422,-0.404,-1.873,2.321,2.775,5.105,2.567,1.514,1.545,1.416,1.963,2.778,0.016,-2.494,-1.656,-2.221,-2.368,-0.68,-0.172,0.333,1.044,-1.447,-6.332,-8.063,-12.17,-16.098,-15.896,-8.109,-5.633,-9.246,-20.335,-21.226,-17.794,-14.664,-8.503,-8.878,-13.064,-10.599,6.572,11.944,-3.76,-6.342,-7.899,-9.714,-12.772,2020.0
