,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7155,733,SSD,NGDP_R,South Sudan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. National Bureau of Statistics Latest actual data: 2018 Notes: Preliminary results by NBS, will be revised with time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report on fiscal year July/June Base year: 2010 Chain-weighted: No Primary domestic currency: South Sudanese pound Data last updated: 09/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.502,15.462,19.996,20.58,20.544,17.776,16.751,16.428,16.571,15.479,16.303,17.358,18.326,19.173,20.048,20.93,2018.0
7156,733,SSD,NGDP_RPCH,South Sudan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-52.429,29.329,2.918,-0.173,-13.475,-5.765,-1.931,0.87,-6.589,5.325,6.473,5.575,4.623,4.561,4.401,2018.0
7157,733,SSD,NGDP,South Sudan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. National Bureau of Statistics Latest actual data: 2018 Notes: Preliminary results by NBS, will be revised with time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report on fiscal year July/June Base year: 2010 Chain-weighted: No Primary domestic currency: South Sudanese pound Data last updated: 09/2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.63,33.237,44.093,45.381,52.876,164.374,397.138,660.315,725.237,736.557,1082.69,2170.9,3053.35,3444.76,3790.36,4779.37,2018.0
7158,733,SSD,NGDPD,South Sudan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.589,4.44,3.263,4.575,5.85,6.0,6.002,7.207,2018.0
7159,733,SSD,PPPGDP,South Sudan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.402,14.508,17.633,17.392,16.179,12.577,11.185,11.231,11.532,10.902,11.896,13.015,14.067,15.053,16.082,17.137,2018.0
7160,733,SSD,NGDP_D,South Sudan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.849,214.965,220.506,220.509,257.375,924.694,2370.8,4019.52,4376.63,4758.46,6640.96,12506.37,16661.21,17966.4,18906.54,22834.95,2018.0
7161,733,SSD,NGDPRPC,South Sudan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3110.62,1429.22,1788.99,1784.76,1729.02,1453.39,1331.0,1266.05,1238.67,1123.36,1149.83,1189.75,1220.68,1241.12,1261.16,1279.55,2008.0
7162,733,SSD,NGDPRPPPPC,South Sudan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077.08,954.343,1194.58,1191.75,1154.53,970.485,888.762,845.389,827.106,750.108,767.786,794.443,815.093,828.743,842.123,854.403,2008.0
7163,733,SSD,NGDPPC,South Sudan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4941.19,3072.32,3944.83,3935.56,4450.06,13439.42,31555.41,50889.07,54211.9,53454.44,76359.76,148794.77,203379.71,222984.53,238441.03,292183.87,2008.0
7164,733,SSD,NGDPDPC,South Sudan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.74,1041.46,1337.23,1334.09,1245.68,286.208,277.692,359.062,343.006,322.201,230.132,313.592,389.665,388.388,377.554,440.621,2008.0
7165,733,SSD,PPPPC,South Sudan,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100.98,1341.08,1577.53,1508.25,1361.59,1028.29,888.762,865.584,862.014,791.187,839.017,892.041,937.006,974.412,1011.65,1047.67,2008.0
7166,733,SSD,NGAP_NPGDP,South Sudan,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
