,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7290,361,KNA,NGDP_R,St. Kitts and Nevis,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.502,0.515,0.547,0.535,0.587,0.625,0.68,0.736,0.812,0.861,0.908,0.929,0.958,1.009,1.064,1.101,1.166,1.251,1.264,1.314,1.441,1.518,1.539,1.478,1.537,1.687,1.74,1.75,1.946,1.88,1.881,1.912,1.902,2.01,2.163,2.178,2.263,2.285,2.346,2.458,2.104,2.082,2.291,2.408,2.474,2.54,2.609,2019.0
7291,361,KNA,NGDP_RPCH,St. Kitts and Nevis,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.278,2.702,6.112,-2.058,9.651,6.437,8.842,8.268,10.353,6.013,5.454,2.27,3.077,5.418,5.404,3.462,5.897,7.327,1.024,3.943,9.714,5.309,1.37,-3.936,3.996,9.734,3.15,0.601,11.179,-3.379,0.044,1.617,-0.517,5.706,7.587,0.717,3.904,0.944,2.67,4.804,-14.41,-1.025,10.003,5.101,2.775,2.652,2.7,2019.0
7292,361,KNA,NGDP,St. Kitts and Nevis,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.156,0.187,0.213,0.21,0.245,0.273,0.321,0.367,0.435,0.485,0.548,0.544,0.602,0.656,0.733,0.79,0.843,0.948,0.988,1.049,1.137,1.237,1.298,1.267,1.369,1.477,1.74,1.861,2.1,2.091,2.103,2.257,2.231,2.364,2.576,2.588,2.724,2.864,2.912,3.145,2.648,2.636,2.948,3.125,3.266,3.408,3.569,2019.0
7293,361,KNA,NGDPD,St. Kitts and Nevis,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.826,0.875,0.954,0.958,1.009,1.061,1.079,1.165,0.981,0.976,1.092,1.157,1.21,1.262,1.322,2019.0
7294,361,KNA,PPPGDP,St. Kitts and Nevis,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.13,0.146,0.165,0.168,0.19,0.209,0.232,0.257,0.294,0.324,0.355,0.375,0.395,0.426,0.459,0.485,0.523,0.571,0.583,0.615,0.69,0.743,0.765,0.749,0.8,0.905,0.963,0.995,1.127,1.096,1.11,1.151,1.106,1.162,1.266,1.272,1.337,1.404,1.476,1.574,1.364,1.398,1.581,1.701,1.788,1.875,1.966,2019.0
7295,361,KNA,NGDP_D,St. Kitts and Nevis,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",31.138,36.264,39.02,39.26,41.726,43.686,47.205,49.877,53.567,56.254,60.326,58.566,62.828,64.99,68.901,71.747,72.285,75.799,78.208,79.878,78.874,81.502,84.336,85.743,89.038,87.589,100.0,106.324,107.9,111.183,111.772,118.098,117.311,117.581,119.112,118.803,120.368,125.353,124.15,127.946,125.878,126.565,128.679,129.806,132.007,134.178,136.818,2019.0
7296,361,KNA,NGDPRPC,St. Kitts and Nevis,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",11608.32,11984.91,12782.03,12584.29,13878.67,14870.88,16308.44,17804.64,19793.46,21083.85,22243.66,22649.36,23149.95,24121.42,25108.83,25664.28,26875.69,28533.65,28519.36,29308.64,31765.77,33004.13,32989.22,31245.3,32043.53,34699.55,35357.04,35159.99,38663.98,36950.7,36565.16,36755.51,36158.78,37806.34,40243.4,40121.9,41266.67,41234.83,41907.6,43476.68,36835.44,36089.34,39297.83,40884.56,41594.35,42265.54,42967.75,2015.0
7297,361,KNA,NGDPRPPPPC,St. Kitts and Nevis,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",7133.85,7365.28,7855.15,7733.62,8529.08,9138.84,10022.29,10941.77,12163.99,12957.0,13669.75,13919.08,14226.71,14823.72,15430.54,15771.88,16516.35,17535.25,17526.46,18011.51,19521.53,20282.56,20273.4,19201.68,19692.23,21324.48,21728.53,21607.44,23760.8,22707.91,22470.98,22587.96,22221.24,23233.74,24731.43,24656.76,25360.27,25340.71,25754.15,26718.42,22637.08,22178.57,24150.33,25125.45,25561.65,25974.13,26405.67,2015.0
7298,361,KNA,NGDPPC,St. Kitts and Nevis,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3614.62,4346.26,4987.58,4940.56,5790.96,6496.55,7698.39,8880.47,10602.78,11860.48,13418.67,13264.87,14544.74,15676.43,17300.3,18413.38,19426.97,21628.18,22304.41,23411.24,25054.88,26898.89,27821.66,26790.68,28530.78,30392.92,35357.04,37383.65,41718.32,41082.76,40869.65,43407.48,42418.39,44452.9,47934.81,47666.14,49672.04,51689.07,52028.3,55626.7,46367.74,45676.33,50568.08,53070.82,54907.64,56711.16,58787.67,2015.0
7299,361,KNA,NGDPDPC,St. Kitts and Nevis,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1338.75,1609.73,1847.25,1829.84,2144.8,2406.13,2851.26,3289.06,3926.96,4392.77,4969.88,4912.92,5386.94,5806.09,6407.52,6819.77,7195.17,8010.44,8260.89,8670.83,9279.58,9962.55,10304.32,9922.48,10566.96,11256.64,13095.2,13845.79,15451.23,15215.84,15136.91,16076.85,15710.51,16464.04,17753.63,17654.13,18397.05,19144.1,19269.74,20602.48,17173.24,16917.16,18728.92,19655.86,20336.16,21004.13,21773.21,2015.0
