,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7335,362,LCA,NGDP_R,St. Lucia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,1.457,1.532,1.564,1.627,1.758,1.979,2.264,2.353,2.68,2.921,3.21,3.222,3.478,3.498,3.554,3.616,3.722,3.696,3.928,4.033,4.035,3.898,3.914,4.081,4.378,4.36,4.631,4.721,4.952,4.86,4.885,5.12,5.102,4.989,5.054,5.044,5.234,5.417,5.576,5.572,4.437,4.591,5.194,5.654,5.879,5.982,6.07,2020.0
7336,362,LCA,NGDP_RPCH,St. Lucia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.51,5.105,2.114,4.059,8.01,12.59,14.402,3.924,13.899,8.983,9.89,0.376,7.952,0.583,1.599,1.749,2.922,-0.694,6.286,2.67,0.049,-3.409,0.417,4.264,7.268,-0.411,6.233,1.943,4.883,-1.853,0.506,4.811,-0.353,-2.202,1.306,-0.207,3.768,3.502,2.926,-0.064,-20.374,3.475,13.14,8.84,3.982,1.762,1.466,2020.0
7337,362,LCA,NGDP,St. Lucia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. Estimates. Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.46,0.525,0.495,0.532,0.679,0.768,0.918,1.014,1.16,1.314,1.565,1.656,1.82,1.849,1.927,2.06,2.13,2.176,2.369,2.489,2.518,2.41,2.43,2.666,2.88,3.066,3.424,3.607,3.882,3.784,4.014,4.259,4.336,4.498,4.741,4.887,5.037,5.391,5.576,5.721,4.365,4.631,5.395,5.988,6.351,6.592,6.822,2020.0
7338,362,LCA,NGDPD,St. Lucia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.43,0.487,0.58,0.614,0.674,0.685,0.714,0.763,0.789,0.806,0.877,0.922,0.933,0.892,0.9,0.987,1.067,1.136,1.268,1.336,1.438,1.402,1.487,1.577,1.606,1.666,1.756,1.81,1.866,1.997,2.065,2.119,1.617,1.715,1.998,2.218,2.352,2.441,2.527,2020.0
7339,362,LCA,PPPGDP,St. Lucia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.285,0.328,0.356,0.385,0.43,0.5,0.583,0.621,0.733,0.83,0.946,0.982,1.084,1.116,1.158,1.203,1.261,1.274,1.369,1.425,1.458,1.44,1.469,1.562,1.72,1.767,1.935,2.026,2.165,2.139,2.176,2.328,2.312,2.396,2.455,2.43,2.573,2.701,2.847,2.896,2.334,2.502,2.908,3.241,3.447,3.584,3.712,2020.0
7340,362,LCA,NGDP_D,St. Lucia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",31.543,34.252,31.634,32.713,38.628,38.806,40.548,43.085,43.288,45.002,48.752,51.416,52.323,52.85,54.215,56.952,57.224,58.882,60.292,61.715,62.403,61.819,62.081,65.329,65.798,70.335,73.939,76.409,78.403,77.862,82.174,83.189,84.985,90.147,93.806,96.887,96.233,99.52,100.0,102.664,98.384,100.868,103.866,105.91,108.029,110.189,112.393,2020.0
7341,362,LCA,NGDPRPC,St. Lucia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",12510.55,12972.51,13076.22,13431.13,14305.56,15858.23,17870.05,18311.04,20552.12,22010.02,23932.57,23693.12,25174.27,25149.05,25047.25,24992.84,25308.33,24695.53,25853.07,26241.03,25868.09,24685.22,24595.83,25407.26,26949.53,26529.15,27834.29,28046.23,29071.63,29503.83,29466.46,30589.7,30166.61,29220.79,29280.3,28945.61,29769.37,30554.3,31203.02,30987.84,24520.01,25213.16,28347.59,30660.49,31681.91,32038.28,32304.55,2015.0
7342,362,LCA,NGDPRPPPPC,St. Lucia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6238.45,6468.8,6520.52,6697.5,7133.54,7907.78,8910.99,9130.89,10248.41,10975.4,11934.09,11814.69,12553.27,12540.69,12489.93,12462.8,12620.12,12314.54,12891.76,13085.21,12899.25,12309.4,12264.83,12669.46,13438.51,13228.89,13879.71,13985.39,14496.71,14712.23,14693.59,15253.7,15042.73,14571.09,14600.76,14433.87,14844.64,15236.05,15559.54,15452.24,12227.02,12572.67,14135.66,15289.0,15798.34,15976.04,16108.82,2015.0
7343,362,LCA,NGDPPC,St. Lucia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3946.23,4443.36,4136.48,4393.71,5525.97,6153.87,7245.86,7889.36,8896.54,9904.92,11667.54,12182.04,13171.84,13291.3,13579.48,14233.96,14482.51,14541.16,15587.21,16194.74,16142.5,15260.06,15269.34,16598.32,17732.13,18659.2,20580.42,21429.84,22792.95,22972.41,24213.8,25447.35,25637.01,26341.56,27466.58,28044.4,28648.1,30407.5,31203.02,31813.43,24123.69,25432.04,29443.54,32472.63,34225.51,35302.71,36308.03,2015.0
7344,362,LCA,NGDPDPC,St. Lucia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1461.57,1645.69,1532.03,1627.3,2046.66,2279.21,2683.65,2921.99,3295.01,3668.49,4321.31,4511.87,4878.46,4922.71,5029.44,5271.84,5363.89,5385.62,5773.04,5998.05,5978.7,5651.87,5655.31,6147.53,6567.46,6910.81,7622.38,7936.98,8441.83,8508.3,8968.07,9424.95,9495.19,9756.13,10172.81,10386.82,10610.41,11262.04,11556.67,11782.75,8934.7,9419.27,10905.01,12026.9,12676.12,13075.08,13447.42,2015.0
