,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7380,364,VCT,NGDP_R,St. Vincent and the Grenadines,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Real GDP at market prices begins in 2000 Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.576,0.599,0.614,0.634,0.667,0.696,0.733,0.738,0.835,0.863,0.904,0.924,0.99,1.025,1.013,1.082,1.094,1.135,1.185,1.21,1.232,1.253,1.332,1.435,1.495,1.532,1.65,1.705,1.732,1.695,1.638,1.632,1.654,1.684,1.705,1.728,1.76,1.778,1.816,1.826,1.767,1.659,1.798,1.907,1.988,2.054,2.11,2019.0
7381,364,VCT,NGDP_RPCH,St. Vincent and the Grenadines,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.91,3.88,2.578,3.218,5.303,4.271,5.405,0.65,13.169,3.274,4.806,2.221,7.096,3.589,-1.165,6.798,1.06,3.741,4.459,2.107,1.806,1.71,6.321,7.69,4.156,2.488,7.688,3.343,1.584,-2.099,-3.353,-0.419,1.382,1.833,1.214,1.33,1.897,1.0,2.163,0.534,-3.253,-6.072,8.33,6.096,4.25,3.306,2.7,2019.0
7382,364,VCT,NGDP,St. Vincent and the Grenadines,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.† GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Real GDP at market prices begins in 2000 Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.222,0.276,0.307,0.33,0.365,0.393,0.434,0.474,0.542,0.58,0.649,0.688,0.75,0.773,0.781,0.853,0.895,0.939,1.009,1.055,1.07,1.161,1.247,1.301,1.409,1.487,1.65,1.848,1.878,1.822,1.839,1.826,1.871,1.947,1.965,2.04,2.091,2.139,2.191,2.228,2.18,2.077,2.309,2.508,2.672,2.816,2.951,2019.0
7383,364,VCT,NGDPD,St. Vincent and the Grenadines,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.684,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.774,0.792,0.811,0.825,0.807,0.769,0.855,0.929,0.99,1.043,1.093,2019.0
7384,364,VCT,PPPGDP,St. Vincent and the Grenadines,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.17,0.193,0.21,0.225,0.246,0.264,0.284,0.293,0.344,0.369,0.401,0.424,0.464,0.492,0.497,0.542,0.557,0.588,0.621,0.643,0.67,0.697,0.752,0.826,0.883,0.934,1.037,1.1,1.139,1.122,1.098,1.116,1.134,1.185,1.231,1.271,1.364,1.345,1.407,1.44,1.41,1.372,1.527,1.658,1.768,1.866,1.957,2019.0
7385,364,VCT,NGDP_D,St. Vincent and the Grenadines,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",38.586,46.052,50.029,52.089,54.633,56.514,59.215,64.221,64.875,67.206,71.775,74.441,75.816,75.388,77.11,78.83,81.825,82.748,85.104,87.163,86.831,92.649,93.593,90.659,94.297,97.077,100.0,108.409,108.431,107.49,112.258,111.888,113.105,115.601,115.245,118.059,118.78,120.298,120.594,121.985,123.401,125.171,128.45,131.507,134.374,137.103,139.907,2019.0
7386,364,VCT,NGDPRPC,St. Vincent and the Grenadines,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",5853.66,6028.33,6133.81,6283.24,6568.08,6800.44,7118.87,7117.9,8006.86,8226.67,8555.87,8678.77,9296.81,9632.74,9522.74,10172.42,10282.6,10669.74,11148.11,11385.6,11593.89,11794.87,12484.3,13384.37,13878.81,14161.32,15182.96,15621.79,15853.47,15505.17,14970.26,14892.6,15083.34,15344.47,15515.24,15705.93,15987.96,16131.76,16464.25,16535.63,15981.79,14996.33,16229.29,17201.4,17914.56,18488.33,18968.57,2016.0
7387,364,VCT,NGDPRPPPPC,St. Vincent and the Grenadines,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4427.61,4559.72,4639.51,4752.53,4967.98,5143.74,5384.59,5383.86,6056.25,6222.51,6471.51,6564.47,7031.94,7286.04,7202.84,7694.24,7777.58,8070.4,8432.24,8611.87,8769.41,8921.43,9442.91,10123.7,10497.69,10711.38,11484.13,11816.05,11991.29,11727.84,11323.24,11264.5,11408.78,11606.29,11735.46,11879.69,12093.01,12201.78,12453.27,12507.27,12088.35,11342.96,12275.56,13010.84,13550.26,13984.25,14347.5,2016.0
7388,364,VCT,NGDPPC,St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2258.71,2776.18,3068.68,3272.89,3588.36,3843.22,4215.43,4571.22,5194.46,5528.79,6140.97,6460.53,7048.46,7261.92,7343.0,8018.95,8413.75,8829.04,9487.45,9923.98,10067.13,10927.79,11684.44,12134.09,13087.34,13747.32,15182.96,16935.48,17190.11,16666.52,16805.38,16663.0,17060.06,17738.43,17880.6,18542.31,18990.42,19406.24,19854.82,20170.93,19721.73,18771.06,20846.49,22621.12,24072.43,25348.06,26538.3,2016.0
7389,364,VCT,NGDPDPC,St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",836.558,1028.22,1136.55,1212.18,1329.02,1423.41,1561.27,1693.04,1923.87,2047.7,2274.43,2392.79,2610.54,2689.6,2719.63,2969.98,3116.2,3270.01,3513.87,3675.55,3728.57,4047.33,4327.57,4494.11,4847.16,5091.6,5623.32,6272.4,6366.71,6172.79,6224.22,6171.48,6318.54,6569.79,6622.44,6867.52,7033.49,7187.49,7353.64,7470.71,7304.34,6952.24,7720.92,8378.19,8915.71,9388.17,9829.0,2016.0
