,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7425,732,SDN,NGDP_R,Sudan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Central Bureau of Statistics. Latest actual data: 2019. Substantial delay occurred in the regular production of national accounts data. National accounts manual used: Other GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1982. Fiscal year and calendar year are the same. Chain-weighted: No Primary domestic currency: Sudanese pound Data last updated: 08/2021,6.425,6.831,7.113,7.005,6.611,6.57,7.222,7.689,8.019,8.133,8.201,8.777,9.264,9.519,9.853,10.726,11.312,11.998,12.986,13.536,14.671,16.266,17.232,18.316,19.257,20.344,21.673,22.916,23.798,23.139,24.032,23.259,19.304,19.682,20.599,20.992,21.719,21.873,21.287,20.823,20.067,20.248,20.957,22.005,23.435,25.028,26.655,2019.0
7426,732,SDN,NGDP_RPCH,Sudan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.5,6.32,4.127,-1.51,-5.629,-0.623,9.933,6.462,4.292,1.423,0.838,7.024,5.541,2.75,3.514,8.86,5.465,6.057,8.242,4.235,8.385,10.867,5.941,6.289,5.136,5.648,6.531,5.735,3.847,-2.768,3.858,-3.214,-17.005,1.955,4.661,1.907,3.464,0.71,-2.681,-2.178,-3.63,0.9,3.5,5.0,6.5,6.8,6.5,2019.0
7427,732,SDN,NGDP,Sudan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Central Bureau of Statistics. Latest actual data: 2019. Substantial delay occurred in the regular production of national accounts data. National accounts manual used: Other GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 1982. Fiscal year and calendar year are the same. Chain-weighted: No Primary domestic currency: Sudanese pound Data last updated: 08/2021,0.005,0.006,0.006,0.008,0.01,0.013,0.019,0.034,0.043,0.076,0.101,0.177,0.302,0.836,1.726,3.888,10.478,16.137,21.936,27.059,33.771,40.659,47.756,55.734,68.721,85.707,98.292,119.837,135.512,134.215,170.993,209.071,225.798,314.076,440.7,506.366,743.896,866.958,1361.93,2029.75,5172.18,15597.13,22854.06,28133.8,32727.62,37792.38,43445.99,2019.0
7428,732,SDN,NGDPD,Sudan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,33.432,33.564,34.396,35.919,37.769,40.285,43.716,47.597,51.665,2019.0
7429,732,SDN,PPPGDP,Sudan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",20.182,23.487,25.968,26.577,25.987,26.641,29.877,32.595,35.192,37.093,38.804,42.934,46.346,48.749,51.54,57.283,61.52,66.371,72.65,76.794,85.119,96.495,103.821,112.528,121.484,132.37,145.367,157.858,167.074,163.491,171.84,169.773,137.75,142.298,168.145,170.584,220.516,187.695,187.027,186.226,181.629,189.867,201.922,217.063,236.441,258.004,280.468,2019.0
7430,732,SDN,NGDP_D,Sudan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.071,0.086,0.087,0.12,0.157,0.195,0.256,0.436,0.536,0.932,1.232,2.016,3.261,8.781,17.522,36.252,92.626,134.505,168.914,199.897,230.18,249.963,277.133,304.292,356.872,421.283,453.521,522.941,569.436,580.04,711.533,898.87,1169.69,1595.78,2139.42,2412.21,3425.09,3963.54,6397.95,9747.54,25774.06,77030.47,109053.84,127854.72,139653.95,150998.2,162992.48,2019.0
7431,732,SDN,NGDPRPC,Sudan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",343.935,355.028,359.225,344.069,310.213,299.883,320.692,332.115,339.792,336.083,318.499,330.85,339.087,338.381,340.351,383.763,395.537,410.877,435.785,445.276,471.749,509.9,526.979,545.116,558.59,576.326,598.409,616.694,624.187,591.532,598.786,712.139,550.674,544.235,552.41,546.16,548.478,536.338,507.018,481.777,452.524,445.026,448.93,459.431,476.895,496.417,515.287,2011.0
7432,732,SDN,NGDPRPPPPC,Sudan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2951.3,3046.5,3082.51,2952.46,2661.94,2573.29,2751.86,2849.88,2915.76,2883.93,2733.04,2839.03,2909.71,2903.65,2920.55,3293.07,3394.11,3525.74,3739.48,3820.92,4048.08,4375.45,4522.01,4677.64,4793.26,4945.46,5134.95,5291.85,5356.16,5075.94,5138.19,6110.87,4725.34,4670.09,4740.23,4686.6,4706.5,4602.32,4350.73,4134.13,3883.11,3818.77,3852.27,3942.38,4092.24,4259.76,4421.68,2011.0
7433,732,SDN,NGDPPC,Sudan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",0.243,0.305,0.312,0.414,0.488,0.583,0.821,1.447,1.821,3.134,3.924,6.67,11.056,29.713,59.637,139.123,366.368,552.65,736.104,890.093,1085.87,1274.56,1460.43,1658.74,1993.45,2427.96,2713.91,3224.95,3554.35,3431.12,4260.56,6401.2,6441.16,8684.81,11818.38,13174.51,18785.88,21257.96,32438.79,46961.44,116633.82,342805.69,489575.2,587404.34,666002.49,749580.53,839878.29,2011.0
7434,732,SDN,NGDPDPC,Sudan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",486.908,339.389,239.807,318.513,375.019,253.184,328.588,516.781,404.705,696.391,87.197,95.292,113.476,186.506,205.922,239.507,292.909,350.723,366.582,352.442,422.316,492.676,554.652,635.575,772.939,996.677,1249.77,1599.6,1700.51,1401.24,1637.42,2034.46,1396.29,1462.58,1628.5,1679.07,1638.51,1172.97,796.298,776.549,775.635,789.448,809.088,841.11,889.609,944.043,998.771,2011.0
