,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7470,366,SUR,NGDP_R,Suriname,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Surinamese dollar Data last updated: 09/2021",10.485,10.684,10.011,9.5,9.215,9.132,8.913,8.129,9.007,9.214,9.076,7.823,8.128,7.95,7.393,8.229,9.15,9.791,10.006,9.916,9.906,10.392,10.781,11.449,12.285,12.889,13.632,14.328,14.922,15.372,16.166,17.111,17.573,18.088,18.134,17.515,16.654,16.915,17.752,17.947,15.092,15.196,15.428,15.744,16.006,16.211,16.373,2020.0
7471,366,SUR,NGDP_RPCH,Suriname,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-6.5,1.9,-6.3,-5.1,-3.0,-0.9,-2.4,-8.8,10.8,2.3,-1.5,-13.799,3.9,-2.2,-7.0,11.3,11.2,7.0,2.2,-0.9,-0.1,4.902,3.747,6.19,7.305,4.919,5.767,5.099,4.149,3.017,5.163,5.847,2.697,2.931,0.254,-3.414,-4.912,1.566,4.948,1.098,-15.906,0.684,1.528,2.048,1.662,1.284,1.0,2020.0
7472,366,SUR,NGDP,Suriname,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. IMF Staff reports, National Statistical Office, and IMF staff estimates. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Surinamese dollar Data last updated: 09/2021",0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.006,0.006,0.009,0.021,0.116,0.44,0.495,0.531,0.638,1.091,1.792,2.542,3.459,4.497,5.467,6.538,7.716,8.631,10.384,11.391,12.842,15.475,17.597,18.182,18.518,17.515,20.663,26.893,29.822,31.483,38.353,58.677,76.979,94.439,108.849,123.235,138.834,2020.0
7473,366,SUR,NGDPD,Suriname,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2.0,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,3.984,2.884,2.817,2.937,3.114,3.271,3.431,3.6,2020.0
7474,366,SUR,PPPGDP,Suriname,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.187,2.44,2.427,2.394,2.406,2.46,2.449,2.289,2.625,2.791,2.852,2.541,2.701,2.704,2.568,2.919,3.305,3.597,3.718,3.736,3.817,4.094,4.314,4.671,5.147,5.57,6.073,6.555,6.958,7.213,7.677,8.295,9.148,9.854,10.226,9.623,8.509,10.431,11.209,11.534,9.817,10.24,10.683,11.161,11.605,12.009,12.381,2020.0
7475,366,SUR,NGDP_D,Suriname,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.022,0.024,0.026,0.027,0.027,0.027,0.029,0.035,0.037,0.042,0.061,0.082,0.107,0.263,1.572,5.341,5.409,5.423,6.374,11.003,18.094,24.464,32.081,39.281,44.498,50.725,56.602,60.24,69.59,74.102,79.436,90.435,100.136,100.522,102.12,100.0,124.069,158.989,167.989,175.419,254.123,386.144,498.958,599.844,680.068,760.194,847.94,2020.0
7482,366,SUR,PPPSH,Suriname,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",0.016,0.016,0.015,0.014,0.013,0.013,0.012,0.01,0.011,0.011,0.01,0.009,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.007,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.006,2020.0
7483,366,SUR,PPPEX,Suriname,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.008,0.045,0.151,0.15,0.148,0.172,0.292,0.47,0.621,0.802,0.963,1.062,1.174,1.271,1.317,1.493,1.579,1.673,1.866,1.924,1.845,1.811,1.82,2.429,2.578,2.661,2.729,3.907,5.73,7.206,8.462,9.38,10.262,11.214,2020.0
7486,366,SUR,PCPI,Suriname,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,Source: National Statistics Office Latest actual data: 2020 Harmonized prices: No Frequency of source data: Monthly Base year: 2016. April--June Primary domestic currency: Surinamese dollar Data last updated: 09/2021,0.227,0.246,0.264,0.275,0.285,0.316,0.375,0.576,0.618,0.623,0.759,0.838,1.017,1.823,4.426,5.496,5.652,5.995,6.67,10.707,13.872,18.639,21.531,26.483,28.9,32.94,36.656,39.012,44.734,44.599,47.698,56.133,58.945,60.075,62.108,66.391,103.238,125.975,134.717,140.633,189.7,292.874,385.657,467.945,538.157,610.414,688.479,2020.0
7487,366,SUR,PCPIPCH,Suriname,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.151,8.678,7.119,4.374,3.688,10.852,18.664,53.418,7.34,0.758,21.766,10.488,21.311,79.263,142.841,24.162,2.84,6.081,11.248,60.526,29.557,34.366,15.516,23.001,9.126,13.981,11.281,6.426,14.667,-0.3,6.948,17.684,5.009,1.916,3.384,6.896,55.501,22.024,6.939,4.392,34.89,54.388,31.68,21.337,15.004,13.427,12.789,2020.0
