,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7515,144,SWE,NGDP_R,Sweden,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. In June 2010, the authorities performed a major revision of historical time series data 1993-2009 which involved the introduction of new methods, improved source data and a further adjustment to recommendations from the European Union. Annual data do not always match annual average quarterly data. These discrepancies are because of seasonal adjustment. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1993 Primary domestic currency: Swedish krona Data last updated: 08/2021",2107.83,2203.54,2234.31,2280.3,2379.43,2434.79,2507.13,2589.92,2653.83,2724.37,2744.82,2714.54,2689.15,2639.98,2743.73,2851.7,2896.74,2985.69,3114.42,3246.7,3401.45,3450.75,3526.56,3608.02,3764.49,3872.11,4052.66,4192.04,4173.15,3992.05,4229.66,4364.81,4339.13,4390.67,4507.37,4709.71,4807.23,4930.68,5026.83,5126.67,4983.36,5184.47,5359.62,5510.07,5618.26,5730.19,5842.03,2020.0
7516,144,SWE,NGDP_RPCH,Sweden,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.555,4.54,1.397,2.058,4.347,2.326,2.971,3.302,2.468,2.658,0.751,-1.103,-0.935,-1.829,3.93,3.935,1.579,3.071,4.312,4.247,4.766,1.449,2.197,2.31,4.337,2.859,4.663,3.439,-0.451,-4.34,5.952,3.195,-0.588,1.188,2.658,4.489,2.071,2.568,1.95,1.986,-2.795,4.036,3.378,2.807,1.964,1.992,1.952,2020.0
7517,144,SWE,NGDP,Sweden,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. In June 2010, the authorities performed a major revision of historical time series data 1993-2009 which involved the introduction of new methods, improved source data and a further adjustment to recommendations from the European Union. Annual data do not always match annual average quarterly data. These discrepancies are because of seasonal adjustment. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2020 Chain-weighted: Yes, from 1993 Primary domestic currency: Swedish krona Data last updated: 08/2021",593.764,648.868,710.306,796.537,895.464,974.383,1065.92,1153.9,1261.48,1396.98,1538.29,1646.15,1649.47,1657.5,1767.22,1906.77,1956.43,2047.27,2152.91,2264.49,2408.15,2503.73,2598.34,2703.55,2830.19,2931.09,3121.67,3320.28,3412.25,3341.17,3573.58,3727.91,3743.09,3822.67,3992.73,4260.47,4415.03,4625.09,4828.31,5049.62,4983.36,5297.57,5583.33,5837.64,6061.79,6302.49,6550.16,2020.0
7518,144,SWE,NGDPD,Sweden,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,541.064,622.365,660.918,711.241,747.591,792.47,837.192,2020.0
7519,144,SWE,PPPGDP,Sweden,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",87.604,100.245,107.926,114.461,123.748,130.63,137.22,145.258,154.09,164.389,171.821,175.673,177.996,178.882,189.883,201.494,208.424,218.528,230.517,243.693,261.093,270.845,281.109,293.278,314.211,333.329,359.637,382.059,387.631,373.185,400.15,421.516,432.488,444.617,457.508,481.3,500.373,530.433,553.695,574.794,565.46,609.478,647.411,681.422,710.638,740.54,770.64,2020.0
7520,144,SWE,NGDP_D,Sweden,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",28.169,29.447,31.791,34.931,37.633,40.019,42.516,44.553,47.534,51.277,56.044,60.642,61.338,62.785,64.41,66.864,67.539,68.569,69.127,69.748,70.798,72.556,73.679,74.932,75.181,75.697,77.028,79.204,81.767,83.696,84.489,85.408,86.263,87.063,88.582,90.461,91.841,93.802,96.051,98.497,100.0,102.182,104.174,105.945,107.894,109.988,112.121,2020.0
7521,144,SWE,NGDPRPC,Sweden,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",253408.27,264752.04,268306.01,273726.55,285214.2,291307.55,299125.99,307808.23,313732.85,319497.42,319512.77,314033.51,309381.73,301880.4,311207.85,322681.79,327518.95,337456.21,351740.54,366385.73,382925.66,387327.81,394435.37,401977.79,417748.34,427964.21,444699.63,456503.9,450842.43,427382.82,449219.54,460284.38,454079.17,455234.1,462419.4,478094.19,480956.42,487209.59,491372.15,496405.41,480125.38,488479.99,500189.98,509526.08,514967.7,520866.85,526897.21,2020.0
7522,144,SWE,NGDPRPPPPC,Sweden,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",27261.18,28481.52,28863.85,29446.98,30682.8,31338.31,32179.41,33113.43,33750.79,34370.93,34372.58,33783.13,33282.7,32475.72,33479.15,34713.5,35233.87,36302.9,37839.58,39415.08,41194.42,41667.99,42432.61,43244.01,44940.57,46039.58,47839.94,49109.82,48500.77,45977.03,48326.19,49516.52,48848.98,48973.22,49746.2,51432.47,51740.38,52413.09,52860.88,53402.35,51650.98,52549.75,53809.49,54813.85,55399.25,56033.87,56682.6,2020.0
7523,144,SWE,NGDPPC,Sweden,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",71383.57,77960.52,85296.59,95616.11,107336.05,116578.94,127175.34,137139.25,149130.36,163829.14,179066.26,190436.06,189768.93,189534.63,200447.67,215759.42,221203.49,231391.93,243147.36,255545.1,271102.94,281029.86,290616.0,301208.82,314068.46,323957.27,342541.42,361570.77,368639.27,357700.54,379539.53,393120.53,391704.47,396342.65,409621.89,432490.37,441717.2,457014.17,471966.64,488944.61,480125.38,499136.42,521068.01,539817.3,555621.14,572888.51,590763.87,2020.0
7524,144,SWE,NGDPDPC,Sweden,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",16877.24,15396.75,13576.62,12470.95,12976.14,13549.51,17852.72,21629.29,24339.27,25412.18,30253.86,31490.22,32584.88,24351.05,25978.29,30246.92,32986.12,30307.16,30585.08,30928.57,29589.14,27207.49,29846.19,37249.26,42736.88,43349.85,46425.84,53496.53,55929.86,46734.91,52658.79,60540.22,57816.02,60845.01,59704.81,51274.28,51590.47,53459.07,54295.73,51694.5,52129.13,58639.19,61680.6,65769.75,68523.93,72034.54,75506.93,2020.0
