,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7560,146,CHE,NGDP_R,Switzerland,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Swiss franc Data last updated: 09/2021",364.259,370.118,364.794,366.861,378.649,392.907,399.955,406.175,419.04,437.756,453.929,450.097,449.096,448.224,453.945,456.542,459.115,469.374,483.584,491.7,511.747,520.159,520.338,519.921,533.563,548.791,571.542,594.754,610.527,597.985,617.104,628.957,637.375,649.201,664.929,675.779,689.216,700.634,721.242,730.222,711.922,738.3,760.393,771.201,785.082,794.503,808.804,2020.0
7561,146,CHE,NGDP_RPCH,Switzerland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.11,1.609,-1.438,0.567,3.213,3.765,1.794,1.555,3.167,4.467,3.695,-0.844,-0.223,-0.194,1.276,0.572,0.563,2.235,3.027,1.678,4.077,1.644,0.034,-0.08,2.624,2.854,4.146,4.061,2.652,-2.054,3.197,1.921,1.338,1.855,2.423,1.632,1.988,1.657,2.941,1.245,-2.506,3.705,2.992,1.421,1.8,1.2,1.8,2020.0
7562,146,CHE,NGDP,Switzerland,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Swiss franc Data last updated: 09/2021",205.611,220.57,233.189,240.376,257.515,273.335,286.714,297.294,315.372,340.903,369.813,386.304,393.681,402.029,412.159,417.725,421.199,428.512,440.42,447.936,472.751,485.25,484.12,489.348,503.696,523.147,556.524,592.865,617.426,607.284,628.752,640.876,649.236,661.098,673.099,675.779,685.277,693.969,719.809,727.932,705.893,736.649,761.782,776.775,796.101,812.229,833.648,2020.0
7563,146,CHE,NGDPD,Switzerland,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",122.701,112.293,114.856,114.512,109.596,111.242,159.381,199.367,215.521,208.386,266.214,269.391,279.957,272.079,301.353,353.265,340.773,295.258,303.777,298.195,279.926,287.536,310.611,363.382,405.064,420.139,443.854,493.903,570.059,558.093,602.885,721.673,692.382,713.232,734.703,702.195,695.434,704.758,736.089,732.492,751.877,810.83,862.819,897.979,945.739,986.27,1038.79,2020.0
7564,146,CHE,PPPGDP,Switzerland,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",114.3,127.127,133.04,139.034,148.68,159.157,165.274,171.996,183.7,199.431,214.538,219.921,224.433,229.306,237.193,243.552,249.409,259.379,270.24,278.647,296.578,308.244,313.156,319.081,336.244,356.685,382.935,409.256,428.165,422.057,440.787,458.588,479.469,503.702,525.136,546.988,570.073,588.151,619.914,638.861,630.356,677.269,716.735,744.219,774.883,801.216,832.54,2020.0
7565,146,CHE,NGDP_D,Switzerland,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",56.446,59.595,63.923,65.522,68.009,69.568,71.687,73.194,75.261,77.875,81.469,85.827,87.661,89.694,90.795,91.497,91.742,91.294,91.074,91.099,92.38,93.289,93.04,94.12,94.402,95.327,97.372,99.682,101.13,101.555,101.888,101.895,101.861,101.833,101.229,100.0,99.428,99.049,99.801,99.686,99.153,99.776,100.183,100.723,101.403,102.231,103.072,2020.0
7566,146,CHE,NGDPRPC,Switzerland,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",57782.14,58424.31,57240.56,57232.65,58906.21,60859.12,61673.85,62268.08,63809.88,66126.27,68014.58,66611.97,65628.45,64884.76,65137.68,65043.8,65011.97,66286.43,68148.8,69020.2,71433.12,72264.35,71711.43,71085.74,72455.61,74010.87,76624.47,79205.47,80406.51,77640.21,79258.14,79918.35,80122.5,80756.43,81686.59,82031.95,82768.81,83210.63,85012.01,85456.07,82723.89,85150.37,87045.53,87625.59,88538.81,88934.27,89861.13,2020.0
7567,146,CHE,NGDPRPPPPC,Switzerland,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",48505.59,49044.66,48050.96,48044.32,49449.2,51088.58,51772.51,52271.34,53565.62,55510.12,57095.28,55917.85,55092.23,54467.93,54680.25,54601.43,54574.71,55644.57,57207.95,57939.45,59965.0,60662.78,60198.62,59673.38,60823.33,62128.9,64322.9,66489.55,67497.76,65175.58,66533.76,67087.97,67259.35,67791.5,68572.33,68862.25,69480.81,69851.7,71363.88,71736.65,69443.1,71480.02,73070.93,73557.87,74324.48,74656.45,75434.5,2020.0
7568,146,CHE,NGDPPC,Switzerland,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",32615.9,34817.74,36590.16,37500.2,40061.45,42338.18,44211.84,45576.27,48023.79,51495.95,55411.04,57170.96,57530.45,58197.61,59141.74,59513.39,59643.02,60515.79,62065.95,62877.01,65989.8,67414.57,66719.96,66905.66,68399.77,70552.58,74611.05,78953.9,81315.12,78847.56,80754.19,81432.77,81613.53,82236.31,82690.3,82031.96,82295.75,82419.16,84843.13,85188.11,82023.4,84959.89,87204.54,88258.91,89781.4,90918.38,92621.33,2020.0
7569,146,CHE,NGDPDPC,Switzerland,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",19463.95,17725.79,18022.27,17864.54,17049.72,17230.78,24576.93,30563.66,32818.82,31478.19,39888.21,39868.41,40911.47,39386.14,43241.99,50329.76,48254.48,41697.28,42809.62,41857.87,39073.98,39946.66,42807.41,49683.01,55006.03,56660.7,59505.88,65774.86,75076.97,72460.75,77431.92,91699.23,87037.3,88721.54,90258.36,85238.52,83515.54,83700.47,86762.02,85721.73,87366.6,93515.48,98770.71,102030.38,106657.09,110400.08,115413.44,2020.0
