,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
6615,716,STP,NGDP_R,S„o TomÈ and PrÌncipe,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Instituto Nacional de Estatistica de Sao Tome & Principe. Latest actual data: 2020 Notes: There is a break in the series for 2001 onwards due to revision in GDP data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008. Previously it was 2000. Manual revision to 2000 to smooth the series since the authorities did not splice and provide 2000. The rebased series begins in 2001 Chain-weighted: No Primary domestic currency: S„o TomÈ and PrÌncipe dobra Data last updated: 09/2021,1.828,1.64,1.69,1.625,1.527,1.669,1.572,1.526,1.556,1.605,1.57,1.589,1.6,1.618,1.654,1.687,1.712,1.729,1.772,1.816,1.825,1.868,1.913,2.039,2.117,2.267,2.473,2.554,2.763,2.83,3.019,3.152,3.251,3.407,3.63,3.768,3.925,4.077,4.201,4.294,4.423,4.517,4.648,4.8,4.969,5.155,5.36,2020.0
6616,716,STP,NGDP_RPCH,S„o TomÈ and PrÌncipe,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.08,-10.314,3.093,-3.874,-6.03,9.3,-5.832,-2.93,1.999,3.135,-2.153,1.201,0.7,1.1,2.2,2.0,1.5,0.996,2.5,2.5,0.448,2.4,2.377,6.573,3.832,7.094,9.116,3.254,8.186,2.426,6.672,4.398,3.142,4.815,6.55,3.798,4.172,3.871,3.028,2.211,3.003,2.131,2.907,3.261,3.531,3.737,3.973,2020.0
6617,716,STP,NGDP,S„o TomÈ and PrÌncipe,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Instituto Nacional de Estatistica de Sao Tome & Principe. Latest actual data: 2020 Notes: There is a break in the series for 2001 onwards due to revision in GDP data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008. Previously it was 2000. Manual revision to 2000 to smooth the series since the authorities did not splice and provide 2000. The rebased series begins in 2001 Chain-weighted: No Primary domestic currency: S„o TomÈ and PrÌncipe dobra Data last updated: 09/2021,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.006,0.009,0.012,0.017,0.022,0.031,0.054,0.097,0.148,0.3,0.422,0.501,0.554,0.612,0.633,0.726,0.893,1.035,1.321,1.66,1.958,2.763,3.044,3.653,4.11,4.816,5.589,6.444,7.031,7.698,8.154,8.619,9.424,10.247,10.75,11.281,11.972,12.748,13.602,14.693,2020.0
6618,716,STP,NGDPD,S„o TomÈ and PrÌncipe,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.431,0.477,0.534,0.573,0.616,0.662,0.711,0.772,2020.0
6619,716,STP,PPPGDP,S„o TomÈ and PrÌncipe,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.138,0.136,0.148,0.148,0.144,0.163,0.156,0.155,0.164,0.176,0.179,0.187,0.192,0.199,0.208,0.217,0.224,0.23,0.238,0.248,0.254,0.266,0.277,0.301,0.321,0.355,0.399,0.423,0.466,0.481,0.519,0.553,0.557,0.638,0.747,0.765,0.79,0.811,0.855,0.89,0.928,0.982,1.038,1.097,1.162,1.232,1.307,2020.0
6620,716,STP,NGDP_D,S„o TomÈ and PrÌncipe,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.156,0.197,0.196,0.197,0.228,0.223,0.287,0.415,0.553,0.771,1.097,1.375,1.919,3.365,5.862,8.797,17.526,24.381,28.282,30.518,33.562,33.899,37.945,43.811,48.881,58.288,67.101,76.652,100.0,107.57,120.993,130.405,148.152,164.035,177.495,186.578,196.097,199.974,205.171,219.488,231.697,237.991,242.7,249.42,256.534,263.862,274.133,2020.0
6621,716,STP,NGDPRPC,S„o TomÈ and PrÌncipe,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",20646.51,18149.97,18308.05,17191.25,15756.48,16774.05,15380.49,14519.82,14400.92,14427.32,13723.94,13501.33,13205.15,13195.06,13234.59,13249.63,13200.53,13088.63,13173.33,13261.48,13086.42,13177.92,13242.33,13824.91,14032.4,14661.1,15575.37,15630.94,16544.96,16549.99,17250.67,17606.95,17763.21,18220.22,19007.06,19225.73,19627.35,19987.41,20099.93,20158.5,20287.66,20255.46,20477.05,20689.06,20967.79,21301.99,20855.65,2011.0
6622,716,STP,NGDPRPPPPC,S„o TomÈ and PrÌncipe,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4106.11,3609.6,3641.04,3418.94,3133.59,3335.96,3058.82,2887.65,2864.0,2869.25,2729.37,2685.1,2626.19,2624.19,2632.05,2635.04,2625.27,2603.02,2619.87,2637.4,2602.58,2620.78,2633.59,2749.45,2790.71,2915.75,3097.58,3108.63,3290.4,3291.4,3430.75,3501.61,3532.69,3623.57,3780.06,3823.55,3903.42,3975.03,3997.4,4009.05,4034.74,4028.33,4072.4,4114.57,4170.0,4236.46,4147.7,2011.0
6623,716,STP,NGDPPC,S„o TomÈ and PrÌncipe,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",32.301,35.75,35.92,33.887,35.9,37.361,44.1,60.265,79.689,111.256,150.534,185.626,253.375,444.048,775.803,1165.52,2313.54,3191.17,3725.71,4047.12,4392.11,4467.15,5024.85,6056.8,6859.2,8545.69,10451.21,11981.4,16544.96,17802.85,20872.14,22960.37,26316.56,29887.49,33736.64,35870.91,38488.67,39969.61,41239.19,44245.52,47005.96,48206.08,49697.89,51602.7,53789.57,56207.81,57172.22,2011.0
6624,716,STP,NGDPDPC,S„o TomÈ and PrÌncipe,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",775.709,931.011,876.128,800.45,812.985,837.601,1142.83,1111.67,922.926,892.384,1050.25,920.765,788.501,1033.02,1058.93,820.593,1050.1,700.969,541.273,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1125.88,1098.37,1128.31,1302.78,1380.11,1619.71,1826.92,1623.81,1737.73,1842.33,1988.72,2021.93,2189.68,2392.89,2523.79,2656.96,2794.22,2938.2,3002.28,2011.0
