,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7650,528,TWN,NGDP_R,Taiwan Province of China,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Expenditure-based measure Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: New Taiwan dollar Data last updated: 09/2021,2346.03,2512.6,2633.46,2871.08,3159.59,3311.48,3692.7,4163.55,4497.63,4889.91,5160.86,5592.92,6057.7,6470.47,6955.94,7407.97,7865.54,8341.51,8692.25,9277.42,9863.23,9724.99,10258.06,10691.42,11434.65,12050.23,12745.6,13618.74,13727.57,13506.15,14889.91,15436.98,15779.91,16171.82,16935.01,17183.24,17555.27,18136.59,18642.01,19194.64,19794.06,20954.82,21655.27,22221.45,22719.7,23191.99,23674.08,2020.0
7651,528,TWN,NGDP_RPCH,Taiwan Province of China,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.039,7.1,4.81,9.023,10.049,4.807,11.512,12.751,8.024,8.722,5.541,8.372,8.31,6.814,7.503,6.499,6.177,6.051,4.205,6.732,6.314,-1.402,5.481,4.225,6.952,5.383,5.771,6.851,0.799,-1.613,10.245,3.674,2.222,2.484,4.719,1.466,2.165,3.311,2.787,2.964,3.123,5.864,3.343,2.615,2.242,2.079,2.079,2020.0
7652,528,TWN,NGDP,Taiwan Province of China,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Expenditure-based measure Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: New Taiwan dollar Data last updated: 09/2021,1522.11,1804.43,1938.02,2169.45,2418.24,2535.06,2965.45,3344.94,3615.66,4032.46,4474.29,5018.02,5609.36,6200.15,6779.4,7391.06,8031.31,8705.15,9366.34,9804.5,10328.55,10119.43,10630.91,10924.03,11596.24,12036.68,12572.59,13363.92,13115.1,12919.45,14060.35,14262.2,14677.77,15270.73,16258.05,17055.08,17555.27,17983.35,18375.02,18932.53,19766.24,21967.25,22930.56,23567.66,24311.24,25137.73,26141.01,2020.0
7653,528,TWN,NGDPD,Taiwan Province of China,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,612.168,668.156,785.589,850.528,899.873,953.314,999.548,1048.52,2020.0
7654,528,TWN,PPPGDP,Taiwan Province of China,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",61.57,72.18,80.326,91.004,103.763,112.19,127.624,147.456,164.905,186.319,204.002,228.557,253.192,276.854,303.984,330.526,357.368,385.528,406.261,439.72,478.077,481.996,516.34,548.775,602.68,655.041,714.22,783.772,805.185,797.275,889.524,941.367,973.232,1015.24,1066.1,1102.04,1112.78,1143.22,1203.15,1260.98,1316.03,1443.41,1532.72,1610.21,1683.84,1756.18,1829.84,2020.0
7655,528,TWN,NGDP_D,Taiwan Province of China,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",64.88,71.815,73.592,75.562,76.536,76.553,80.306,80.339,80.39,82.465,86.697,89.721,92.599,95.822,97.462,99.772,102.108,104.359,107.755,105.681,104.718,104.056,103.635,102.176,101.413,99.888,98.643,98.129,95.538,95.656,94.429,92.39,93.016,94.428,96.003,99.254,100.0,99.155,98.568,98.634,99.859,104.832,105.889,106.058,107.005,108.39,110.42,2020.0
7656,528,TWN,NGDPRPC,Taiwan Province of China,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",131312.32,138100.54,142227.8,152793.87,165690.85,171456.61,189281.13,211079.79,225395.29,242595.98,252967.1,271423.9,291198.77,308184.75,328453.18,346856.98,365406.73,383644.34,396389.08,419937.38,442760.44,434043.58,455493.05,472976.55,503970.63,529206.07,557147.29,593193.02,595891.37,584181.71,642856.1,664673.13,676789.74,691886.51,722675.83,731448.19,745769.13,769437.63,790286.48,813224.45,840111.06,890957.78,922376.42,948174.91,971157.96,993108.51,1015554.55,2020.0
7657,528,TWN,NGDPRPPPPC,Taiwan Province of China,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",8277.16,8705.05,8965.21,9631.23,10444.18,10807.62,11931.17,13305.24,14207.6,15291.83,15945.57,17108.97,18355.47,19426.16,20703.77,21863.83,23033.1,24182.69,24986.05,26470.39,27909.03,27359.57,28711.62,29813.67,31767.36,33358.05,35119.3,37391.42,37561.5,36823.4,40521.89,41897.1,42660.86,43612.48,45553.26,46106.21,47008.92,48500.85,49815.03,51260.91,52955.68,56160.76,58141.21,59767.4,61216.11,62599.75,64014.62,2020.0
7658,528,TWN,NGDPPC,Taiwan Province of China,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",85195.8,99177.5,104668.87,115454.17,126813.96,131256.03,152003.46,169578.37,181196.26,200056.89,219313.81,243524.22,269646.63,295309.89,320116.93,346065.12,373107.71,400369.0,427128.99,443795.55,463648.66,451647.96,472049.05,483266.82,511092.54,528611.0,549584.6,582093.71,569304.96,558805.04,607040.43,614090.64,629519.52,653334.63,693787.59,725992.95,745769.13,762936.4,778967.95,802119.56,838930.52,934004.54,976695.79,1005616.54,1039188.78,1076427.55,1121379.0,2020.0
7659,528,TWN,NGDPDPC,Taiwan Province of China,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2366.8,2691.49,2675.31,2881.66,3202.62,3293.87,4008.13,5325.17,6338.1,7575.91,8167.2,9081.9,10715.54,11256.71,12099.75,13066.13,13588.31,13948.72,12767.08,13752.72,14844.24,13357.2,13651.36,14040.6,15290.31,16427.46,16892.88,17723.7,18053.59,16904.54,19181.36,20838.59,21256.36,21945.46,22844.32,22752.99,23070.73,25061.62,25825.57,25935.9,28358.3,33401.71,36227.09,38396.98,40749.6,42801.84,44978.6,2020.0
