,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7695,923,TJK,NGDP_R,Tajikistan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Tajik somoni Data last updated: 09/2021,,,,,,,,,,,,,0.106,0.094,0.074,0.065,0.062,0.063,0.066,0.069,0.075,0.082,0.09,0.099,0.109,0.117,0.125,0.134,0.145,0.151,0.161,0.172,0.185,0.199,0.212,0.225,0.241,0.258,0.277,0.297,0.311,0.326,0.341,0.355,0.369,0.384,0.399,2019.0
7696,923,TJK,NGDP_RPCH,Tajikistan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-11.099,-21.401,-12.498,-4.368,1.7,5.3,3.699,8.3,10.2,9.1,10.2,10.6,6.7,7.0,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6.0,6.9,7.1,7.3,7.5,4.5,5.0,4.5,4.0,4.0,4.0,4.0,2019.0
7697,923,TJK,NGDP,Tajikistan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Tajik somoni Data last updated: 09/2021,,,,,,,,,,,,,0.001,0.007,0.02,0.065,0.308,0.632,1.025,1.345,1.807,2.512,3.345,4.758,6.158,7.201,9.272,12.78,17.609,20.623,24.705,30.069,36.161,40.525,45.605,48.402,54.471,61.093,68.844,77.355,82.543,92.148,102.021,112.228,123.592,136.119,149.917,2019.0
7698,923,TJK,NGDPD,Tajikistan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,8.117,7.997,8.104,8.756,9.304,9.87,10.498,11.063,2019.0
7699,923,TJK,PPPGDP,Tajikistan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,8.099,7.37,5.917,5.286,5.148,5.325,5.671,5.963,6.605,7.442,8.246,9.267,10.524,11.581,12.774,14.143,15.553,16.263,17.528,19.216,21.657,24.57,27.63,25.288,26.829,27.389,30.09,32.926,34.822,37.881,40.675,43.309,46.068,48.951,51.964,2019.0
7700,923,TJK,NGDP_D,Tajikistan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.679,7.44,27.263,100.0,497.494,1002.27,1544.04,1953.42,2422.87,3057.03,3730.63,4815.74,5635.19,6176.44,7432.52,9502.89,12135.44,13678.73,15386.08,17436.83,19506.41,20353.97,21467.49,21494.18,22628.18,23696.56,24886.3,26011.92,26561.32,28240.19,29919.43,31646.98,33511.06,35488.21,37582.01,2019.0
7701,923,TJK,NGDPRPC,Tajikistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,19.153,16.914,13.215,11.439,10.811,10.83,11.181,11.26,11.996,12.988,13.905,15.022,16.278,17.01,17.82,18.802,19.851,20.175,21.012,22.063,23.187,24.346,25.403,26.342,27.559,28.899,30.375,32.004,32.797,33.79,34.667,35.416,36.201,37.022,37.881,2014.0
7702,923,TJK,NGDPRPPPPC,Tajikistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,2034.68,1796.82,1403.9,1215.25,1148.47,1150.5,1187.79,1196.21,1274.38,1379.75,1477.16,1595.85,1729.27,1807.08,1893.14,1997.49,2108.89,2143.32,2232.21,2343.93,2463.27,2586.43,2698.69,2798.41,2927.69,3070.05,3226.93,3399.97,3484.25,3589.74,3682.88,3762.45,3845.81,3933.06,4024.34,2014.0
7703,923,TJK,NGDPPC,Tajikistan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,0.13,1.258,3.603,11.439,53.782,108.543,172.635,219.955,290.644,397.037,518.729,723.413,917.276,1050.62,1324.5,1786.78,2409.02,2759.71,3232.91,3847.17,4522.93,4955.42,5453.38,5661.9,6235.99,6847.96,7559.29,8324.87,8711.44,9542.48,10372.21,11208.13,12131.28,13138.49,14236.55,2014.0
7704,923,TJK,NGDPDPC,Tajikistan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.2,919.073,795.981,800.802,825.77,873.499,843.974,839.18,890.169,929.2,968.773,1013.32,1050.58,2014.0
7705,923,TJK,PPPPC,Tajikistan,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,1462.8,1322.41,1055.3,932.654,897.539,914.63,954.905,975.225,1062.49,1176.26,1278.93,1408.96,1567.74,1689.66,1824.75,1977.35,2127.67,2176.26,2293.76,2458.6,2708.85,3004.45,3303.96,2958.11,3071.44,3070.05,3304.02,3543.46,3675.07,3922.77,4135.33,4325.19,4521.79,4724.84,4934.66,2014.0
7706,923,TJK,NGAP_NPGDP,Tajikistan,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
