,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7785,578,THA,NGDP_R,Thailand,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Economic and Social Development Board Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: Yes, from 1993. Ratio splicing for years before 1993 Primary domestic currency: Thai baht Data last updated: 08/2021",1577.94,1671.2,1760.65,1858.92,1965.99,2057.27,2171.12,2377.79,2693.75,3022.21,3373.48,3656.94,3994.47,4341.03,4688.18,5068.88,5355.37,5207.9,4810.33,5030.27,5254.38,5435.36,5769.58,6184.37,6573.32,6848.59,7188.82,7579.54,7710.34,7657.09,8232.4,8301.56,8902.82,9142.09,9232.09,9521.43,9848.5,10259.94,10689.79,10932.07,10265.32,10363.84,10826.37,11263.33,11666.73,12074.77,12505.64,2020.0
7786,578,THA,NGDP_RPCH,Thailand,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.601,5.91,5.353,5.581,5.76,4.643,5.534,9.519,13.288,12.194,11.623,8.403,9.23,8.676,7.997,8.12,5.652,-2.754,-7.634,4.572,4.455,3.444,6.149,7.189,6.289,4.188,4.968,5.435,1.726,-0.691,7.513,0.84,7.243,2.687,0.984,3.134,3.435,4.178,4.19,2.266,-6.099,0.96,4.463,4.036,3.582,3.497,3.568,2020.0
7787,578,THA,NGDP,Thailand,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Economic and Social Development Board Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: Yes, from 1993. Ratio splicing for years before 1993 Primary domestic currency: Thai baht Data last updated: 08/2021",684.362,785.514,869.396,951.419,1020.74,1091.39,1170.83,1342.85,1611.32,1918.33,2263.47,2583.49,2935.65,3263.43,3689.09,4217.61,4638.6,4710.31,4701.55,4789.83,5069.82,5345.0,5769.58,6317.3,6954.28,7614.41,8400.64,9076.3,9706.93,9658.67,10808.15,11306.91,12357.34,12915.16,13230.3,13743.48,14590.34,15488.66,16368.71,16898.09,15698.29,16112.83,16945.37,17575.47,18450.45,19413.91,20458.65,2020.0
7788,578,THA,NGDPD,Thailand,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.403,544.21,501.712,546.223,585.586,617.041,654.644,694.098,734.757,2020.0
7789,578,THA,PPPGDP,Thailand,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",74.669,86.563,96.832,106.24,116.415,125.671,135.296,151.84,178.083,207.632,240.438,269.457,301.035,334.905,369.414,407.786,438.723,433.999,405.379,429.888,459.213,485.732,523.636,572.359,624.687,671.257,726.346,786.52,815.436,814.994,886.76,912.79,1008.79,1049.95,1059.45,1087.23,1146.04,1205.84,1286.37,1339.06,1272.54,1331.05,1428.73,1521.76,1612.19,1704.82,1802.25,2020.0
7790,578,THA,NGDP_D,Thailand,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",43.371,47.003,49.379,51.181,51.92,53.05,53.928,56.475,59.817,63.474,67.096,70.646,73.493,75.176,78.689,83.206,86.616,90.445,97.739,95.22,96.487,98.338,100.0,102.15,105.796,111.182,116.857,119.747,125.895,126.14,131.288,136.202,138.802,141.271,143.308,144.343,148.148,150.963,153.125,154.574,152.925,155.472,156.519,156.042,158.146,160.781,163.595,2020.0
7791,578,THA,NGDPRPC,Thailand,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",33307.81,34581.54,35745.04,37049.51,38477.29,39542.45,40979.87,44077.22,49074.02,54188.53,59646.16,63896.25,69095.33,74411.94,79629.01,85238.06,89062.83,85590.68,78108.63,80744.57,83465.64,85543.36,90052.42,95807.59,101135.35,104692.59,109231.69,114525.56,115890.94,114512.51,122514.95,122952.58,131240.46,134157.33,134895.63,138564.98,142791.28,148244.01,153968.43,157012.22,147067.7,148158.95,154489.87,160485.53,166036.42,171689.88,177708.46,2019.0
7792,578,THA,NGDPRPPPPC,Thailand,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3914.63,4064.33,4201.08,4354.39,4522.19,4647.38,4816.32,5180.35,5767.61,6368.72,7010.15,7509.65,8120.7,8745.55,9358.71,10017.93,10467.46,10059.38,9180.02,9489.82,9809.62,10053.82,10583.76,11260.16,11886.33,12304.4,12837.88,13460.06,13620.53,13458.53,14399.05,14450.48,15424.54,15767.36,15854.13,16285.39,16782.1,17422.95,18095.74,18453.47,17284.7,17412.96,18157.02,18861.68,19514.07,20178.52,20885.88,2019.0
7793,578,THA,NGDPPC,Thailand,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14445.8,16254.39,17650.6,18962.41,19977.24,20977.41,22099.44,24892.47,29354.64,34395.87,40020.14,45140.3,50780.04,55940.19,62659.41,70923.28,77142.68,77412.89,76342.38,76885.01,80533.88,84121.33,90052.44,97867.02,106996.69,116399.49,127645.04,137141.4,145900.89,144446.3,160847.38,167464.12,182165.04,189526.0,193315.99,200008.39,211542.11,223792.88,235763.64,242699.39,224903.88,230345.09,241806.62,250424.05,262579.82,276044.41,290722.9,2019.0
7794,578,THA,NGDPDPC,Thailand,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.54,1338.26,1564.18,1769.04,1999.2,2209.36,2491.43,2846.59,3043.98,2468.18,1845.83,2031.17,2003.61,1890.25,2094.26,2356.97,2657.91,2890.48,3366.82,3973.99,4373.45,4208.36,5073.71,5493.74,5862.99,6168.71,5952.38,5837.81,5995.21,6596.22,7293.89,7816.23,7187.86,7808.66,8356.18,8791.91,9316.65,9869.3,10441.09,2019.0
