,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
540,313,BHS,NGDP_R,The Bahamas,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2021,5.731,5.564,5.915,6.317,6.469,6.734,6.909,7.165,7.326,7.495,7.574,7.257,6.979,7.001,7.221,7.537,7.856,8.244,8.633,9.25,9.634,9.887,10.154,10.026,10.114,10.458,10.721,10.876,10.623,10.18,10.336,10.4,10.721,10.336,10.573,10.741,10.751,10.925,11.228,11.307,9.666,9.859,10.647,11.073,11.454,11.66,11.835,2019.0
541,313,BHS,NGDP_RPCH,The Bahamas,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.1,-2.9,6.3,6.8,2.4,4.1,2.6,3.7,2.255,2.3,1.052,-4.182,-3.826,0.308,3.149,4.379,4.224,4.946,4.716,7.144,4.149,2.626,2.705,-1.265,0.883,3.395,2.517,1.446,-2.324,-4.175,1.539,0.613,3.087,-3.584,2.288,1.59,0.091,1.625,2.767,0.703,-14.515,2.0,7.996,3.997,3.448,1.798,1.497,2019.0
542,313,BHS,NGDP,The Bahamas,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2021,2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.495,11.143,11.891,11.993,12.36,12.838,13.164,9.908,10.681,12.039,12.884,13.688,14.282,14.843,2019.0
543,313,BHS,NGDPD,The Bahamas,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.495,11.143,11.891,11.993,12.36,12.838,13.164,9.908,10.681,12.039,12.884,13.688,14.282,14.843,2019.0
544,313,BHS,PPPGDP,The Bahamas,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.658,2.825,3.188,3.539,3.754,4.032,4.22,4.484,4.747,5.047,5.291,5.241,5.155,5.294,5.577,5.943,6.308,6.734,7.131,7.748,8.252,8.66,9.032,9.094,9.421,10.046,10.617,11.061,11.011,10.619,10.912,11.207,11.713,11.621,12.323,12.699,12.977,13.712,14.428,14.789,12.795,13.521,15.004,15.975,16.902,17.58,18.213,2019.0
545,313,BHS,NGDP_D,The Bahamas,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",45.337,48.372,51.239,53.398,55.692,58.26,61.383,65.172,66.266,73.019,68.902,70.67,73.434,72.801,74.387,74.999,75.738,76.809,79.151,83.07,83.836,84.132,87.464,88.474,89.531,94.059,94.837,97.633,99.086,98.059,97.674,96.836,100.0,101.531,105.392,110.704,111.552,113.128,114.34,116.431,102.504,108.341,113.077,116.357,119.5,122.483,125.421,2019.0
546,313,BHS,NGDPRPC,The Bahamas,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",27106.62,25828.56,26828.91,28013.7,28059.69,28832.43,29080.68,29653.94,29703.83,29874.88,29688.84,27971.79,26441.72,26069.58,26430.69,27028.67,27693.66,28579.63,29438.34,31034.66,31811.56,32164.3,32558.42,31696.7,31541.09,32181.06,32590.74,32667.7,31536.73,29876.28,30000.99,29851.51,30433.06,29018.34,29354.48,29491.85,29192.75,29339.49,29818.3,29696.21,25105.58,25324.81,27047.67,27818.12,28459.42,28651.14,28758.96,2018.0
547,313,BHS,NGDPRPPPPC,The Bahamas,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",34019.28,32415.29,33670.75,35157.68,35215.4,36185.2,36496.76,37216.21,37278.83,37493.49,37260.01,35105.09,33184.81,32717.78,33170.98,33921.45,34756.02,35867.93,36945.63,38949.04,39924.06,40366.75,40861.39,39779.92,39584.62,40387.79,40901.95,40998.54,39579.15,37495.25,37651.77,37464.16,38194.02,36418.53,36840.39,37012.78,36637.41,36821.57,37422.49,37269.26,31507.94,31783.08,33945.3,34912.22,35717.07,35957.68,36093.0,2018.0
548,313,BHS,NGDPPC,The Bahamas,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12289.31,12493.75,13746.78,14958.65,15627.02,16797.76,17850.61,19326.11,19683.61,21814.31,20456.26,19767.72,19417.22,18979.01,19660.92,20271.25,20974.54,21951.76,23300.8,25780.48,26669.44,27060.51,28477.06,28043.46,28239.07,30269.03,30908.21,31894.39,31248.6,29296.49,29303.26,28906.97,30433.05,29462.76,30937.32,32648.64,32565.04,33191.21,34094.37,34575.62,25734.16,27437.2,30584.62,32368.22,34008.96,35092.86,36069.75,2018.0
549,313,BHS,NGDPDPC,The Bahamas,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",12289.31,12493.75,13746.78,14958.65,15627.02,16797.76,17850.61,19326.11,19683.61,21814.31,20456.26,19767.72,19417.22,18979.01,19660.92,20271.25,20974.54,21951.76,23300.8,25780.48,26669.44,27060.51,28477.06,28043.46,28239.07,30269.03,30908.21,31894.39,31248.6,29296.49,29303.26,28906.97,30433.05,29462.76,30937.32,32648.64,32565.04,33191.21,34094.37,34575.62,25734.16,27437.2,30584.62,32368.22,34008.96,35092.86,36069.75,2018.0
