,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7830,537,TLS,NGDP_R,Timor-Leste,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,0.832,0.968,0.903,0.884,0.887,0.914,0.876,0.966,1.076,1.183,1.295,1.37,1.453,1.483,1.549,1.594,1.648,1.58,1.564,1.592,1.471,1.497,1.554,1.595,1.627,1.672,1.722,2019.0
7831,537,TLS,NGDP_RPCH,Timor-Leste,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,16.348,-6.701,-2.182,0.4,3.018,-4.106,10.229,11.336,9.99,9.46,5.805,6.022,2.119,4.45,2.91,3.365,-4.104,-1.054,1.801,-7.6,1.8,3.8,2.6,2.0,2.8,3.0,2019.0
7832,537,TLS,NGDP,Timor-Leste,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,,,,,,,,,,,,,,,,,,,,,0.367,0.477,0.469,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.055,1.148,1.396,1.447,1.594,1.651,1.599,1.56,1.674,1.565,1.625,1.738,1.854,1.967,2.103,2.253,2019.0
7833,537,TLS,NGDPD,Timor-Leste,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,0.367,0.477,0.469,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.055,1.148,1.396,1.447,1.594,1.651,1.599,1.56,2.018,1.777,1.697,1.782,1.875,1.967,2.103,2.253,2019.0
7834,537,TLS,PPPGDP,Timor-Leste,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,1.12,1.333,1.263,1.26,1.299,1.38,1.364,1.544,1.752,1.94,2.149,2.32,2.629,2.864,3.195,3.484,3.817,3.911,3.962,4.788,4.424,4.174,4.399,4.58,4.732,4.971,5.226,2019.0
7835,537,TLS,NGDP_D,Timor-Leste,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,44.114,49.315,51.972,55.501,49.681,50.581,51.781,56.189,60.295,61.446,68.101,76.985,79.019,94.081,93.416,100.0,100.155,101.196,99.752,105.169,106.422,108.55,111.807,116.279,120.93,125.768,130.798,2019.0
7836,537,TLS,NGDPRPC,Timor-Leste,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,927.506,1065.26,979.921,943.862,931.854,942.615,886.189,956.123,1040.15,1112.06,1184.14,1230.78,1282.03,1286.17,1319.32,1332.79,1351.66,1271.2,1233.29,1435.73,1285.76,1148.61,1156.05,1154.15,1144.91,1156.01,1169.88,2019.0
7837,537,TLS,NGDPRPPPPC,Timor-Leste,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,2295.04,2635.9,2424.74,2335.51,2305.8,2332.43,2192.81,2365.85,2573.76,2751.7,2930.05,3045.46,3172.28,3182.53,3264.56,3297.89,3344.57,3145.48,3051.67,3552.6,3181.5,2842.13,2860.55,2855.85,2832.98,2860.47,2894.76,2019.0
7838,537,TLS,NGDPPC,Timor-Leste,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,409.156,525.331,509.279,523.851,462.954,476.785,458.878,537.236,627.16,683.31,806.413,947.511,1013.04,1210.04,1232.45,1332.79,1353.75,1286.41,1230.23,1560.51,1347.86,1262.72,1301.32,1344.33,1384.54,1453.89,1530.18,2019.0
7839,537,TLS,NGDPDPC,Timor-Leste,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,409.156,525.331,509.279,523.851,462.954,476.785,458.878,537.236,627.16,683.31,806.413,947.511,1013.04,1210.04,1232.45,1332.79,1353.75,1286.41,1230.23,1560.51,1347.86,1262.72,1301.32,1344.33,1384.54,1453.89,1530.18,2019.0
