,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7875,742,TGO,NGDP_R,Togo,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,1565.48,1511.96,1455.9,1380.83,1462.04,1516.38,1565.82,1526.93,1681.52,1750.46,1853.69,1842.75,1783.66,1492.58,1700.49,2035.34,1956.55,2030.96,1985.0,2035.42,2015.68,2032.2,2110.04,2251.83,2229.76,2125.63,2181.96,2156.22,2243.76,2368.06,2512.52,2673.32,2848.15,3022.17,3201.09,3384.83,3574.38,3729.78,3915.03,4128.96,4201.54,4402.2,4662.4,4946.81,5258.46,5600.26,5964.27,2016.0
7876,742,TGO,NGDP_RPCH,Togo,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.285,-3.419,-3.708,-5.156,5.881,3.717,3.26,-2.484,10.124,4.1,5.897,-0.59,-3.207,-16.319,13.93,19.691,-3.871,3.803,-2.263,2.54,-0.97,0.82,3.83,6.72,-0.98,-4.67,2.65,-1.18,4.06,5.54,6.1,6.4,6.54,6.11,5.92,5.74,5.6,4.348,4.967,5.464,1.758,4.776,5.911,6.1,6.3,6.5,6.5,2016.0
7877,742,TGO,NGDP,Togo,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: National Statistics Office Latest actual data: 2016 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,421.392,450.025,458.816,506.991,533.862,575.503,621.543,633.353,698.588,734.216,754.774,772.889,760.522,619.826,942.135,1118.31,1252.51,1455.42,1392.84,1456.91,1429.23,1464.53,1597.08,1655.05,1607.56,1622.67,1657.24,1719.23,1999.81,2144.0,2289.16,2462.0,2667.83,2879.66,3047.84,3334.96,3574.4,3713.57,3950.45,4230.51,4359.85,4648.9,5041.85,5452.13,5895.8,6375.57,6891.83,2016.0
7878,742,TGO,NGDPD,Togo,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2.0,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.115,7.221,7.586,8.493,9.357,10.267,11.241,12.286,13.383,2016.0
7879,742,TGO,PPPGDP,Togo,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.714,2.869,2.933,2.891,3.172,3.394,3.575,3.572,4.073,4.406,4.84,4.974,4.925,4.219,4.909,5.999,5.872,6.201,6.128,6.373,6.454,6.653,7.016,7.635,7.763,7.633,8.077,8.197,8.694,9.234,9.915,10.769,11.214,11.966,12.793,13.806,14.676,15.491,16.649,17.873,18.406,19.98,21.744,23.619,25.679,27.942,30.375,2016.0
7880,742,TGO,NGDP_D,Togo,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",26.918,29.764,31.514,36.716,36.515,37.952,39.694,41.479,41.545,41.944,40.717,41.942,42.638,41.527,55.404,54.945,64.016,71.662,70.168,71.578,70.906,72.066,75.689,73.498,72.095,76.338,75.952,79.734,89.128,90.538,91.11,92.095,93.669,95.284,95.213,98.527,100.001,99.565,100.905,102.459,103.768,105.604,108.139,110.215,112.12,113.844,115.552,2016.0
7881,742,TGO,NGDPRPC,Togo,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",575257.71,537570.63,499345.01,456173.63,465492.08,466149.31,465597.5,439816.72,470029.71,475853.47,491132.87,477024.59,452027.1,370455.06,412678.78,481588.94,449904.61,452738.26,428498.8,425779.3,409323.54,401417.36,406007.52,422432.69,407801.36,378789.98,378623.73,364203.6,368832.0,378839.19,391255.48,405297.29,420465.35,434549.9,448457.19,462208.61,475952.31,484483.42,496258.19,510729.64,507149.92,518531.69,535911.07,554862.9,575567.84,598168.73,621657.08,2016.0
7882,742,TGO,NGDPRPPPPC,Togo,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2389.26,2232.73,2073.97,1894.66,1933.36,1936.09,1933.8,1826.72,1952.21,1976.4,2039.86,1981.26,1877.44,1538.64,1714.01,2000.22,1868.62,1880.39,1779.72,1768.42,1700.07,1667.24,1686.3,1754.52,1693.75,1573.26,1572.57,1512.67,1531.9,1573.46,1625.03,1683.35,1746.35,1804.85,1862.61,1919.73,1976.81,2012.24,2061.15,2121.25,2106.38,2153.66,2225.84,2304.55,2390.55,2484.42,2581.97,2016.0
7883,742,TGO,NGDPPC,Togo,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",154846.39,160004.76,157364.81,167490.81,169974.23,176914.73,184815.92,182431.01,195274.36,199592.93,199976.69,200074.81,192737.27,153839.4,228639.44,264608.81,288012.74,324439.79,300669.35,304763.14,290233.03,289286.05,307304.86,310480.08,294006.24,289162.02,287571.71,290392.33,328731.46,342994.36,356473.75,373259.44,393844.52,414058.34,426988.25,455398.47,475955.11,482377.81,500747.8,523290.69,526259.45,547590.29,579526.26,611543.07,645328.6,680980.72,718336.67,2016.0
7884,742,TGO,NGDPDPC,Togo,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",732.897,588.837,478.885,439.532,388.995,393.789,533.68,607.02,655.62,625.669,734.496,709.219,728.16,543.292,411.811,530.121,563.017,555.862,509.651,495.79,409.01,395.011,442.767,535.374,557.462,548.802,550.519,606.782,736.985,728.528,721.037,791.925,771.891,838.357,864.996,770.358,802.935,830.452,901.932,893.161,915.625,1000.44,1075.57,1151.57,1230.43,1312.32,1394.9,2016.0
