,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
7965,369,TTO,NGDP_R,Trinidad and Tobago,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Trinidad and Tobago's growth forecast estimates for 2020 are based on energy sector data from the Ministry of Energy and Ministry of Finance up until September, preliminary national accounts data for 2019 from the Central Statistical Office, and staff projections for the fourth quarter nonenergy output based on available information. Growth estimates are subject to revision once the finalized data for the full year become available. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2021",70.077,73.285,76.069,68.234,64.31,61.661,59.639,56.918,54.687,54.233,55.052,56.765,62.494,62.076,64.29,66.74,71.501,76.88,83.127,89.797,95.995,99.544,106.664,121.467,130.367,138.053,157.631,164.338,169.738,161.551,167.143,166.822,165.647,169.339,167.794,170.284,160.745,155.943,156.046,154.101,141.998,140.556,148.173,151.241,153.618,156.019,158.478,2019.0
7966,369,TTO,NGDP_RPCH,Trinidad and Tobago,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.4,4.577,3.799,-10.3,-5.751,-4.119,-3.279,-4.562,-3.92,-0.83,1.509,3.112,10.093,-0.669,3.567,3.81,7.134,7.523,8.125,8.025,6.901,3.698,7.152,13.878,7.328,5.895,14.181,4.255,3.286,-4.823,3.461,-0.192,-0.704,2.229,-0.913,1.484,-5.602,-2.987,0.066,-1.246,-7.854,-1.015,5.419,2.07,1.572,1.563,1.576,2019.0
7967,369,TTO,NGDP,Trinidad and Tobago,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: Trinidad and Tobago's growth forecast estimates for 2020 are based on energy sector data from the Ministry of Energy and Ministry of Finance up until September, preliminary national accounts data for 2019 from the Central Statistical Office, and staff projections for the fourth quarter nonenergy output based on available information. Growth estimates are subject to revision once the finalized data for the full year become available. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Trinidad and Tobago dollar Data last updated: 09/2021",15.224,17.07,19.873,18.954,18.937,18.382,17.557,17.569,17.582,18.689,21.91,22.947,23.516,24.912,29.816,32.243,35.182,36.489,38.721,43.628,52.255,55.852,57.163,72.164,84.857,101.863,117.412,138.82,177.319,123.461,143.589,165.292,165.647,175.68,176.993,159.179,149.294,151.762,160.332,156.756,145.734,146.019,156.05,161.473,166.267,171.191,176.281,2019.0
7968,369,TTO,NGDPD,Trinidad and Tobago,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.763,27.268,27.616,24.96,22.394,22.385,23.68,23.208,21.587,21.599,23.082,23.885,24.594,25.322,26.075,2019.0
7969,369,TTO,PPPGDP,Trinidad and Tobago,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.566,8.661,9.545,8.897,8.688,8.594,8.479,8.293,8.249,8.501,8.952,9.543,10.746,10.927,11.558,12.25,13.364,14.618,15.983,17.509,19.141,20.296,22.087,25.649,28.267,30.872,36.338,38.908,40.957,39.231,41.077,41.85,40.43,40.692,40.459,37.543,36.353,36.46,37.355,37.55,35.018,35.911,38.899,40.649,42.229,43.821,45.434,2019.0
7970,369,TTO,NGDP_D,Trinidad and Tobago,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",21.724,23.293,26.125,27.778,29.447,29.812,29.439,30.868,32.151,34.461,39.799,40.425,37.629,40.132,46.378,48.311,49.205,47.461,46.58,48.585,54.436,56.108,53.592,59.411,65.091,73.786,74.485,84.472,104.467,76.422,85.908,99.083,100.0,103.744,105.482,93.479,92.876,97.319,102.746,101.723,102.631,103.886,105.316,106.765,108.235,109.724,111.234,2019.0
7971,369,TTO,NGDPRPC,Trinidad and Tobago,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",64602.61,66502.67,67917.72,59955.63,55675.4,52687.97,50396.72,47648.78,45415.41,44715.13,45082.82,46183.9,50533.71,49916.27,51451.86,53213.13,56857.87,61024.04,65884.65,71046.31,75755.76,78281.05,83513.15,94632.31,101051.0,106481.29,121016.69,125597.34,129132.46,122301.83,125846.72,124850.03,123174.81,125093.07,123166.48,124264.43,116687.81,112670.88,112276.28,110469.2,101464.25,99909.71,104782.17,106415.61,107563.19,108730.44,109936.47,2019.0
7972,369,TTO,NGDPRPPPPC,Trinidad and Tobago,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",15104.17,15548.4,15879.24,14017.7,13016.97,12318.51,11782.81,11140.34,10618.17,10454.45,10540.41,10797.85,11814.84,11670.48,12029.51,12441.29,13293.44,14267.49,15403.91,16610.71,17711.78,18302.2,19525.47,22125.14,23625.84,24895.45,28293.84,29364.8,30191.32,28594.31,29423.11,29190.08,28798.41,29246.9,28796.46,29053.17,27281.75,26342.58,26250.32,25827.83,23722.46,23359.01,24498.19,24880.09,25148.4,25421.3,25703.27,2019.0
7973,369,TTO,NGDPPC,Trinidad and Tobago,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",14034.5,15490.6,17743.57,16654.65,16394.92,15707.47,14836.22,14708.13,14601.46,15409.3,17942.71,18669.69,19015.11,20032.27,23862.2,25707.89,27976.84,28962.86,30689.25,34517.55,41238.18,43921.61,44756.28,56221.74,65775.13,78567.8,90139.67,106094.9,134900.18,93465.67,108112.26,123704.84,123174.78,129776.84,129918.43,116161.05,108375.3,109649.73,115359.74,112372.46,104133.78,103792.68,110352.5,113615.06,116420.65,119303.53,122286.84,2019.0
7974,369,TTO,NGDPDPC,Trinidad and Tobago,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5847.71,6454.42,7393.15,6939.44,6831.22,6411.21,4121.17,4085.59,3798.75,3625.72,4221.81,4392.87,4474.14,3743.58,4027.42,4322.26,4658.87,4632.81,4872.62,5478.86,6545.95,7046.38,7162.51,8931.03,10442.17,12471.95,14280.04,16818.28,21479.28,14809.02,16957.43,19300.83,19157.45,20143.46,20270.95,18214.37,16256.46,16173.66,17037.95,16637.11,15424.82,15352.72,16323.03,16805.62,17220.62,17647.04,18088.33,2019.0
