,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8010,744,TUN,NGDP_R,Tunisia,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2009 Primary domestic currency: Tunisian dinar Data last updated: 07/2021",18.277,19.286,19.193,20.09,21.242,22.446,22.119,23.602,23.618,24.228,25.942,27.015,29.179,29.902,30.986,31.814,33.995,35.941,37.725,39.995,41.714,43.298,43.871,45.934,48.798,50.499,53.147,56.713,59.117,60.916,63.055,61.846,64.374,66.191,68.092,68.898,69.745,71.083,73.013,73.729,67.397,69.43,71.752,73.551,75.241,76.889,78.541,2020.0
8011,744,TUN,NGDP_RPCH,Tunisia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.4,5.522,-0.482,4.674,5.731,5.668,-1.453,6.701,0.071,2.579,7.075,4.138,8.009,2.477,3.628,2.671,6.855,5.725,4.963,6.017,4.299,3.796,1.323,4.702,6.236,3.487,5.244,6.71,4.238,3.043,3.511,-1.918,4.089,2.822,2.873,1.184,1.229,1.919,2.715,0.981,-8.588,3.016,3.344,2.508,2.298,2.19,2.149,2020.0
8012,744,TUN,NGDP,Tunisia,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 2009 Primary domestic currency: Tunisian dinar Data last updated: 07/2021",3.874,4.554,5.257,6.246,7.034,7.715,7.869,8.836,9.499,10.508,11.835,13.132,15.016,16.004,17.249,18.588,20.717,22.944,24.828,27.216,29.433,31.746,32.901,35.373,38.839,41.871,45.756,49.865,55.273,58.677,63.055,64.492,70.354,75.144,80.866,84.689,89.789,95.865,106.243,114.939,110.295,120.297,132.375,143.18,153.935,165.186,177.015,2020.0
8013,744,TUN,NGDPD,Tunisia,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.219,42.733,45.454,47.915,50.505,52.927,55.093,2020.0
8014,744,TUN,PPPGDP,Tunisia,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.755,15.887,16.788,18.26,20.004,21.806,21.922,23.969,24.832,26.472,29.405,31.658,34.972,36.688,38.831,40.704,44.291,47.634,50.561,54.358,57.98,61.537,63.322,67.609,73.753,78.718,85.402,93.595,99.432,103.115,108.018,108.148,110.825,112.068,115.567,114.133,117.101,120.71,126.949,130.487,120.718,128.841,136.814,143.582,150.229,156.853,163.544,2020.0
8015,744,TUN,NGDP_D,Tunisia,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",21.198,23.615,27.392,31.091,33.113,34.374,35.575,37.439,40.217,43.372,45.622,48.609,51.464,53.521,55.667,58.426,60.942,63.837,65.812,68.048,70.559,73.321,74.996,77.009,79.591,82.914,86.093,87.924,93.498,96.325,99.999,104.279,109.29,113.527,118.759,122.919,128.739,134.863,145.511,155.893,163.649,173.263,184.49,194.667,204.589,214.837,225.379,2020.0
8016,744,TUN,NGDPRPC,Tunisia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2832.99,2907.52,2824.72,2888.08,3018.54,3087.76,2928.98,3059.81,3010.75,3033.75,3151.02,3209.35,3391.62,3403.76,3459.61,3490.7,3672.73,3829.98,3971.29,4164.51,4300.81,4424.61,4447.4,4621.23,4871.21,4998.7,5212.51,5507.18,5680.3,5789.48,5926.25,5746.95,5913.13,6009.38,6110.26,6111.45,6116.26,6163.95,6262.31,6257.18,5662.16,5776.96,5915.69,6011.68,6099.56,6184.97,6271.9,2019.0
8017,744,TUN,NGDPRPPPPC,Tunisia,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4810.83,4937.39,4796.78,4904.38,5125.92,5243.45,4973.82,5195.99,5112.69,5151.75,5350.88,5449.93,5759.45,5780.06,5874.92,5927.7,6236.81,6503.86,6743.83,7071.93,7303.38,7513.63,7552.32,7847.51,8272.02,8488.5,8851.59,9351.98,9645.96,9831.37,10063.61,9759.15,10041.33,10204.79,10376.1,10378.12,10386.28,10467.26,10634.31,10625.59,9615.15,9810.1,10045.69,10208.69,10357.92,10502.96,10650.58,2019.0
8018,744,TUN,NGDPPC,Tunisia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",600.543,686.621,773.757,897.944,999.517,1061.39,1041.98,1145.56,1210.83,1315.81,1437.55,1560.03,1745.45,1821.72,1925.85,2039.47,2238.23,2444.95,2613.59,2833.88,3034.62,3244.16,3335.37,3558.79,3877.03,4144.63,4487.6,4842.11,5310.98,5576.71,5926.21,5992.88,6462.44,6822.26,7256.48,7512.13,7874.0,8312.89,9112.36,9754.49,9266.08,10009.34,10913.83,11702.78,12479.01,13287.61,14135.53,2019.0
8019,744,TUN,NGDPDPC,Tunisia,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1482.82,1390.41,1309.9,1322.84,1286.6,1271.85,1312.23,1382.41,1411.51,1386.02,1636.64,1687.19,1973.45,1814.88,1903.85,2156.45,2299.38,2210.81,2295.19,2388.99,2213.95,2254.91,2345.99,2762.05,3112.91,3194.48,3371.54,3778.89,4308.91,4131.02,4140.47,4256.84,4137.57,4198.85,4274.47,3829.5,3665.68,3436.2,3442.7,3324.13,3294.88,3555.59,3747.54,3916.28,4094.26,4257.46,4399.4,2019.0
