,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8055,186,TUR,NGDP_R,Turkey,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2009 Primary domestic currency: Turkish lira Data last updated: 09/2021",308.657,322.13,333.176,349.028,372.841,388.718,415.7,457.382,467.084,468.266,511.604,516.342,547.242,591.253,558.994,599.186,641.172,689.437,710.757,687.564,735.235,692.959,737.639,780.15,856.573,933.599,998.465,1048.82,1057.37,1006.37,1091.18,1213.39,1271.5,1379.39,1447.53,1535.61,1586.64,1705.67,1756.49,1772.12,1803.9,1965.41,2030.04,2097.81,2166.7,2238.49,2312.78,2020.0
8056,186,TUR,NGDP_RPCH,Turkey,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.779,4.365,3.429,4.758,6.823,4.258,6.941,10.027,2.121,0.253,9.255,0.926,5.984,8.042,-5.456,7.19,7.007,7.528,3.092,-3.263,6.933,-5.75,6.448,5.763,9.796,8.992,6.948,5.044,0.815,-4.823,8.427,11.2,4.788,8.486,4.94,6.084,3.323,7.502,2.98,0.89,1.794,8.953,3.288,3.339,3.284,3.314,3.318,2020.0
8057,186,TUR,NGDP,Turkey,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2009 Primary domestic currency: Turkish lira Data last updated: 09/2021",0.007,0.011,0.014,0.019,0.03,0.048,0.07,0.103,0.178,0.313,0.541,0.868,1.506,2.73,5.329,10.694,20.35,39.724,71.945,107.374,171.494,247.266,362.11,472.172,582.853,680.276,795.757,887.714,1002.76,1006.37,1167.66,1404.93,1581.48,1823.43,2054.9,2350.94,2626.56,3133.7,3758.77,4317.79,5046.88,6631.34,7706.82,8894.15,10254.94,11854.54,13714.58,2020.0
8058,186,TUR,NGDPD,Turkey,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.694,760.516,719.919,795.952,844.534,946.01,1060.67,1190.5,1333.77,2020.0
8059,186,TUR,PPPGDP,Turkey,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",159.188,181.854,199.712,217.406,240.621,258.8,282.337,318.331,336.546,350.629,397.415,414.661,449.491,497.151,480.066,525.373,572.48,626.189,652.819,640.415,700.332,674.933,729.649,786.931,887.212,997.317,1099.52,1186.19,1218.79,1167.44,1281.04,1454.11,1550.69,1703.67,1860.47,2022.94,2116.18,2282.3,2406.46,2471.3,2545.94,2873.84,3050.04,3226.87,3408.79,3598.25,3794.69,2020.0
8060,186,TUR,NGDP_D,Turkey,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",0.002,0.003,0.004,0.005,0.008,0.012,0.017,0.023,0.038,0.067,0.106,0.168,0.275,0.462,0.953,1.785,3.174,5.762,10.122,15.617,23.325,35.683,49.09,60.523,68.045,72.866,79.698,84.639,94.835,100.0,107.009,115.785,124.379,132.19,141.959,153.095,165.543,183.723,213.993,243.651,279.776,337.403,379.64,423.973,473.299,529.577,592.993,2020.0
8061,186,TUR,NGDPRPC,Turkey,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",6817.86,6955.33,7031.75,7202.3,7527.27,7684.93,8055.3,8694.36,8716.26,8583.52,9216.31,9145.81,9534.77,10136.7,9433.14,9955.88,10492.82,11115.79,11297.72,10773.83,11358.57,10562.88,11108.71,11611.58,12594.77,13557.82,14319.03,14858.8,14784.89,13869.33,14801.09,16238.34,16812.74,17991.79,18630.72,19502.0,19878.93,21106.86,21419.6,21311.03,21574.17,23227.24,23710.34,24221.45,24738.66,25282.24,25847.84,2020.0
8062,186,TUR,NGDPRPPPPC,Turkey,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9122.79,9306.73,9408.98,9637.19,10072.02,10282.99,10778.57,11633.68,11662.99,11485.36,12332.08,12237.75,12758.21,13563.63,12622.22,13321.68,14040.15,14873.72,15117.16,14416.15,15198.58,14133.9,14864.25,15537.13,16852.71,18141.34,19159.89,19882.14,19783.25,18558.16,19804.92,21728.07,22496.66,24074.3,24929.24,26095.08,26599.44,28242.49,28660.97,28515.69,28867.79,31079.72,31726.14,32410.04,33102.11,33829.45,34586.27,2020.0
8063,186,TUR,NGDPPC,Turkey,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",0.162,0.235,0.305,0.395,0.612,0.956,1.364,1.957,3.322,5.74,9.754,15.375,26.243,46.808,89.93,177.68,333.029,640.471,1143.59,1682.51,2649.4,3769.12,5453.31,7027.7,8570.08,9879.04,11411.98,12576.35,14021.23,13869.33,15838.54,18801.56,20911.57,23783.42,26447.92,29856.64,32908.1,38778.19,45836.47,51924.56,60359.31,78369.3,90013.92,102692.31,117087.76,133888.95,153275.78,2020.0
8064,186,TUR,NGDPDPC,Turkey,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2133.69,2113.07,1876.64,1753.33,1668.46,1835.18,1983.05,2260.66,2333.23,2707.9,3738.16,3691.37,3818.77,4261.64,3026.72,3880.86,4099.23,4221.92,4384.47,4020.27,4237.96,3082.9,3617.23,4684.7,6015.67,7350.89,7961.08,9640.57,10778.13,8941.4,10533.45,11221.4,11637.92,12488.97,12079.29,10973.59,10891.19,10628.9,9508.0,9145.77,8610.03,9406.58,9863.96,10922.67,12110.44,13445.84,14906.4,2020.0
8065,186,TUR,PPPPC,Turkey,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3516.26,3926.53,4214.96,4486.25,4857.89,5116.46,5471.03,6051.13,6280.29,6427.17,7159.25,7344.77,7831.63,8523.37,8101.21,8729.42,9368.68,10096.03,10376.78,10035.02,10819.36,10288.12,10988.38,11712.5,13045.27,14483.14,15768.29,16804.89,17041.96,16089.09,17376.35,19459.77,20504.43,22221.39,23945.52,25691.07,26513.62,28242.49,29345.63,29719.19,30448.71,33963.1,35623.73,37257.58,38920.5,40639.73,42409.88,2020.0
