,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8100,925,TKM,NGDP_R,Turkmenistan,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. Staff estimates, compiled in line with international (System of National Accounts) methodologies, using official estimates and sources, as well as UN and World Bank databases. The Turkmenistan authorities' estimate of real GDP growth in 2020 is 5.9 percent. Latest actual data: 2020 National accounts manual used: Not applicable GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2007 Primary domestic currency: New Turkmen manat Data last updated: 08/2021",,,,,,,,,,,,,31.51,28.359,23.453,21.764,20.306,18.012,19.218,22.389,26.551,31.964,37.004,43.331,49.697,56.177,62.338,69.231,79.441,84.313,96.596,109.859,117.131,117.678,123.059,124.966,119.12,119.689,121.276,111.913,108.159,113.06,114.952,116.943,119.038,121.243,123.56,2020.0
8101,925,TKM,NGDP_RPCH,Turkmenistan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.499,18.587,20.391,15.768,17.095,14.692,13.04,10.967,11.057,14.747,6.133,14.569,13.73,6.619,0.467,4.572,1.55,-4.678,0.478,1.326,-7.721,-3.355,4.532,1.673,1.732,1.791,1.852,1.912,2020.0
8102,925,TKM,NGDP,Turkmenistan,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: IMF Staff Estimates. Staff estimates, compiled in line with international (System of National Accounts) methodologies, using official estimates and sources, as well as UN and World Bank databases. The Turkmenistan authorities' estimate of real GDP growth in 2020 is 5.9 percent. Latest actual data: 2020 National accounts manual used: Not applicable GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 2007 Primary domestic currency: New Turkmen manat Data last updated: 08/2021",,,,,,,,,,,,,,0.003,0.03,0.223,2.656,3.806,4.795,6.872,8.948,12.353,15.501,20.354,25.293,30.598,38.116,46.256,84.75,98.697,99.401,128.685,147.505,151.402,165.005,147.567,134.758,144.849,142.667,161.923,159.63,185.806,210.921,233.206,258.523,287.251,319.82,2020.0
8103,925,TKM,NGDPD,Turkmenistan,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,1.629,9.187,7.781,10.063,4.076,4.593,4.903,6.608,8.604,11.878,14.904,19.571,24.32,29.421,36.65,44.476,36.861,34.63,34.877,45.153,51.756,53.124,57.897,42.162,38.502,41.385,40.762,46.264,45.609,53.087,60.263,66.63,73.864,82.072,91.377,2020.0
8104,925,TKM,PPPGDP,Turkmenistan,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,17.745,16.349,13.81,13.084,12.431,11.216,12.103,14.298,17.34,21.346,25.097,29.967,35.292,41.146,47.067,53.684,62.782,67.06,77.753,90.266,93.486,92.651,98.098,89.733,83.556,89.247,92.591,86.971,85.066,92.126,96.245,100.243,104.364,108.606,112.975,2020.0
8105,925,TKM,NGDP_D,Turkmenistan,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,0.012,0.127,1.026,13.08,21.132,24.951,30.694,33.701,38.647,41.888,46.975,50.895,54.467,61.143,66.813,106.683,117.059,102.903,117.136,125.931,128.658,134.086,118.086,113.128,121.021,117.638,144.687,147.589,164.342,183.486,199.418,217.176,236.922,258.837,2020.0
8106,925,TKM,NGDPRPC,Turkmenistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,7927.02,7063.0,5693.35,5166.74,4730.56,4129.91,4347.16,5002.77,5864.12,6981.76,7997.59,9268.38,10519.57,11763.72,12907.71,14167.81,16061.12,16835.87,18988.11,21232.74,22235.19,21929.24,22512.54,22454.55,21111.43,20962.7,21019.64,19110.15,18197.56,18834.84,18958.89,19095.9,19247.68,19409.99,19583.03,2004.0
8107,925,TKM,NGDPRPPPPC,Turkmenistan,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,5910.87,5266.6,4245.31,3852.63,3527.4,3079.52,3241.51,3730.37,4372.64,5206.03,5963.49,6911.07,7844.03,8771.74,9624.78,10564.38,11976.15,12553.85,14158.69,15832.42,16579.91,16351.78,16786.72,16743.48,15741.97,15631.07,15673.52,14249.69,13569.21,14044.41,14136.91,14239.06,14352.24,14473.27,14602.3,2004.0
8108,925,TKM,NGDPPC,Turkmenistan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,0.033,0.824,7.253,53.033,618.742,872.739,1084.65,1535.56,1976.27,2698.23,3350.07,4353.78,5353.9,6407.34,7892.21,9465.94,17134.41,19707.98,19539.32,24871.23,28001.04,28213.67,30186.24,26515.59,23882.99,25369.3,24727.09,27649.87,26857.59,30953.54,34786.89,38080.69,41801.35,45986.57,50688.16,2004.0
8109,925,TKM,NGDPDPC,Turkmenistan,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,409.7,2288.15,1888.79,2388.87,949.573,1053.19,1109.02,1476.5,1900.26,2594.45,3221.22,4186.32,5147.98,6160.91,7588.66,9101.87,7452.44,6915.08,6855.9,8726.75,9824.93,9899.53,10591.66,7575.88,6823.71,7248.37,7064.88,7899.96,7673.6,8843.87,9939.11,10880.2,11943.24,13139.02,14482.33,2004.0
