,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8145,869,TUV,NGDP_R,Tuvalu,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: PFTAC advisors Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021,,,,,,,,,,,,,,,,,,,,,0.042,0.042,0.046,0.044,0.043,0.041,0.042,0.045,0.048,0.045,0.044,0.047,0.046,0.048,0.048,0.053,0.056,0.057,0.058,0.066,0.067,0.069,0.071,0.074,0.077,0.08,0.083,2019.0
8146,869,TUV,NGDP_RPCH,Tuvalu,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,,,,,,,,,0.695,8.317,-4.351,-1.888,-3.746,1.301,6.905,6.579,-5.62,-2.468,7.52,-2.853,3.805,1.667,9.379,4.746,3.373,1.581,13.874,1.006,2.532,3.513,3.846,4.019,3.843,3.721,2019.0
8147,869,TUV,NGDP,Tuvalu,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,Source: PFTAC advisors Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021,,,,,,,,,,,,,,,,,,,,,0.026,0.027,0.031,0.03,0.031,0.03,0.032,0.034,0.038,0.036,0.035,0.038,0.038,0.04,0.043,0.049,0.056,0.059,0.064,0.078,0.08,0.084,0.089,0.095,0.103,0.11,0.118,2019.0
8148,869,TUV,NGDPD,Tuvalu,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,0.015,0.014,0.017,0.02,0.023,0.023,0.024,0.029,0.032,0.028,0.032,0.04,0.039,0.039,0.039,0.037,0.041,0.045,0.048,0.054,0.055,0.065,0.07,0.076,0.082,0.088,0.094,2019.0
8149,869,TUV,PPPGDP,Tuvalu,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,0.023,0.024,0.026,0.026,0.026,0.026,0.027,0.029,0.032,0.03,0.03,0.033,0.032,0.034,0.035,0.039,0.041,0.044,0.045,0.053,0.054,0.057,0.061,0.065,0.069,0.073,0.077,2019.0
8150,869,TUV,NGDP_D,Tuvalu,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,,,,,,,,,61.063,64.591,66.8,68.861,72.308,72.242,76.843,76.074,78.823,79.159,80.339,81.285,81.774,84.176,88.389,92.226,100.0,102.877,110.384,117.334,118.715,121.532,125.023,129.051,133.456,138.34,142.79,2019.0
8151,869,TUV,NGDPRPC,Tuvalu,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,4793.52,4624.22,4479.07,4256.31,4256.73,4492.67,4727.22,4404.69,4241.21,4502.03,4260.99,4435.04,4491.47,4893.64,5105.97,5394.38,5458.35,6191.52,6229.5,6362.4,6560.34,6786.18,7031.47,7273.32,7514.65,2017.0
8152,869,TUV,NGDPRPPPPC,Tuvalu,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,3646.73,3517.93,3407.51,3238.04,3238.36,3417.85,3596.29,3350.92,3226.55,3424.97,3241.6,3374.01,3416.94,3722.89,3884.43,4103.84,4152.51,4710.27,4739.16,4840.27,4990.86,5162.67,5349.28,5533.27,5716.86,2017.0
8153,869,TUV,NGDPPC,Tuvalu,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,3202.05,3184.29,3238.71,3074.86,3271.01,3417.74,3726.15,3486.69,3407.34,3659.46,3484.37,3733.25,3969.95,4513.2,5105.97,5549.56,6025.16,7264.79,7395.36,7732.36,8201.94,8757.61,9383.91,10061.91,10730.17,2017.0
8154,869,TUV,NGDPDPC,Tuvalu,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,,,,,,,,,,,1741.53,2075.67,2385.56,2348.71,2464.22,2865.98,3186.85,2759.03,3133.04,3777.34,3609.11,3615.37,3583.65,3396.69,3798.27,4255.25,4507.67,5052.11,5105.93,6004.1,6455.94,6965.41,7468.56,7982.84,8497.59,2017.0
