,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8235,926,UKR,NGDP_R,Ukraine,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the State Statistics Service of Ukraine Latest actual data: 2020. Starting in 2014, the data was changed to SNA 2008. Revised National Accounts data is available from 2000 on an annual basis and from 2010 on a quarterly basis. The data excludes Crimea and Sevastopol from 2010. The revised quarterly GDP data based on SNA 2008 excluding Crimea and Sevastopol are available from 2010. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 2005 Primary domestic currency: Ukrainian hryvnia Data last updated: 09/2021",,,,,,,,,,,,,3270.53,2806.11,2163.51,1899.56,1709.61,1658.32,1626.81,1623.56,1719.35,1870.65,1969.79,2156.93,2411.44,2486.2,2675.15,2894.51,2958.19,2511.5,2614.47,2757.24,2763.42,2763.47,2581.78,2329.08,2385.37,2441.66,2526.84,2607.68,2502.29,2588.63,2682.75,2773.86,2879.13,2994.2,3113.94,2020.0
8236,926,UKR,NGDP_RPCH,Ukraine,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",,,,,,,,,,,,,,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.46,0.224,0.002,-6.575,-9.788,2.417,2.36,3.488,3.199,-4.042,3.45,3.636,3.396,3.795,3.997,3.999,2020.0
8237,926,UKR,NGDP,Ukraine,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office. Formally, the State Statistics Service of Ukraine Latest actual data: 2020. Starting in 2014, the data was changed to SNA 2008. Revised National Accounts data is available from 2000 on an annual basis and from 2010 on a quarterly basis. The data excludes Crimea and Sevastopol from 2010. The revised quarterly GDP data based on SNA 2008 excluding Crimea and Sevastopol are available from 2010. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: Yes, from 2005 Primary domestic currency: Ukrainian hryvnia Data last updated: 09/2021",,,,,,,,,,,,,0.052,1.587,12.449,56.381,84.308,96.559,106.103,134.904,175.888,203.403,225.521,267.148,344.386,440.495,544.225,723.464,954.356,912.19,1079.35,1299.99,1404.67,1465.2,1586.92,1988.54,2385.37,2982.92,3560.3,3977.2,4191.86,4982.71,5589.24,6163.82,6757.67,7403.66,8084.4,2020.0
8238,926,UKR,NGDPD,Ukraine,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.574,130.571,90.477,93.313,112.114,130.916,153.997,155.3,181.038,203.925,222.822,243.082,266.319,290.806,2020.0
8239,926,UKR,PPPGDP,Ukraine,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",,,,,,,,,,,,,331.074,290.793,228.991,205.27,188.125,185.628,184.151,186.372,201.84,224.549,240.135,268.138,307.825,327.321,363.065,403.452,420.235,359.066,378.281,407.226,425.994,486.365,461.987,435.49,475.722,504.188,534.24,561.196,545.004,584.126,622.026,658.456,699.022,742.751,788.462,2020.0
8240,926,UKR,NGDP_D,Ukraine,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",,,,,,,,,,,,,0.002,0.057,0.575,2.968,4.931,5.823,6.522,8.309,10.23,10.873,11.449,12.386,14.281,17.718,20.344,24.994,32.261,36.32,41.283,47.148,50.831,53.02,61.466,85.379,100.0,122.168,140.9,152.519,167.521,192.485,208.34,222.211,234.712,247.267,259.619,2020.0
8241,926,UKR,NGDPRPC,Ukraine,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,,63051.88,54260.66,42173.4,37338.52,33920.78,33183.97,32835.15,33056.24,35331.28,38777.26,41189.18,45464.36,51197.8,53181.59,57572.52,62662.17,64359.66,54857.14,57337.22,60660.87,60904.96,61076.65,60378.75,54684.88,56238.89,57836.24,60186.24,62485.17,60278.22,62689.18,65229.42,67715.76,70567.85,73682.88,76937.37,2020.0
8242,926,UKR,NGDPRPPPPC,Ukraine,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",,,,,,,,,,,,14495.74,13019.82,11204.49,8708.54,7710.17,7004.43,6852.28,6780.25,6825.91,7295.69,8007.26,8505.31,9388.11,10572.02,10981.66,11888.37,12939.35,13289.87,11327.66,11839.78,12526.09,12576.49,12611.95,12467.83,11292.09,11612.98,11942.82,12428.08,12902.8,12447.07,12944.92,13469.47,13982.88,14571.82,15215.05,15887.08,2020.0
8243,926,UKR,NGDPPC,Ukraine,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,1.003,30.697,242.678,1108.25,1672.77,1932.2,2141.55,2746.7,3614.36,4216.41,4715.74,5631.03,7311.73,9422.51,11712.39,15662.01,20763.38,19924.37,23670.8,28600.59,30958.46,32383.0,37112.4,46689.41,56238.89,70657.18,84802.21,95301.49,100978.78,120667.16,135899.06,150471.53,165631.31,182193.31,199744.38,2020.0
8244,926,UKR,NGDPDPC,Ukraine,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",,,,,,,,,,,,,427.863,677.261,740.97,752.339,914.348,1037.89,874.265,664.99,664.376,784.864,885.315,1055.95,1374.75,1839.52,2319.29,3101.39,3944.72,2557.28,2982.81,3589.63,3872.53,3968.85,3053.61,2124.33,2200.0,2655.66,3118.27,3690.07,3741.06,4384.24,4958.31,5439.55,5957.96,6553.72,7185.05,2020.0
