,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8280,466,ARE,NGDP_R,United Arab Emirates,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. Preliminary official data, not published yet National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: U.A.E. dirham Data last updated: 09/2021",392.835,424.356,393.852,373.176,389.784,379.955,306.743,323.013,314.539,364.025,449.797,459.428,473.648,473.513,508.376,541.826,570.761,619.578,624.479,647.904,727.782,737.129,755.398,821.973,900.693,944.528,1037.39,1070.91,1105.33,1047.54,1064.24,1138.0,1189.03,1249.12,1302.64,1369.15,1411.06,1444.55,1461.74,1511.61,1418.88,1450.62,1494.68,1540.13,1588.21,1639.5,1693.86,2020.0
8281,466,ARE,NGDP_RPCH,United Arab Emirates,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.78,8.024,-7.188,-5.25,4.451,-2.522,-19.269,5.304,-2.623,15.733,23.562,2.141,3.095,-0.029,7.363,6.58,5.34,8.553,0.791,3.751,12.329,1.284,2.478,8.813,9.577,4.867,9.831,3.231,3.215,-5.229,1.595,6.93,4.485,5.053,4.284,5.106,3.061,2.374,1.19,3.412,-6.135,2.237,3.038,3.041,3.122,3.23,3.315,2020.0
8282,466,ARE,NGDP,United Arab Emirates,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. Preliminary official data, not published yet National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: U.A.E. dirham Data last updated: 09/2021",149.832,165.202,153.625,140.764,139.543,136.964,108.542,119.183,121.139,139.829,180.21,182.892,191.654,196.171,210.901,233.611,260.607,279.736,269.539,304.321,381.549,379.412,403.3,456.662,542.885,663.318,815.723,947.197,1158.58,931.153,1064.24,1287.82,1375.68,1432.67,1480.52,1315.25,1311.25,1416.14,1550.59,1532.22,1317.95,1506.31,1571.57,1627.84,1691.27,1762.9,1842.91,2020.0
8283,466,ARE,NGDPD,United Arab Emirates,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,417.216,358.869,410.158,427.93,443.251,460.524,480.027,501.814,2020.0
8284,466,ARE,PPPGDP,United Arab Emirates,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",89.965,106.378,104.832,103.218,111.703,112.329,92.511,99.827,100.636,121.036,155.152,163.834,172.754,176.798,193.869,210.958,226.293,249.883,254.695,267.972,307.829,318.806,331.8,368.168,414.257,448.041,507.273,537.816,565.75,539.606,554.8,605.575,631.707,647.296,678.339,601.179,598.811,637.385,660.376,695.121,660.342,699.444,740.527,781.199,823.948,869.035,916.452,2020.0
8285,466,ARE,NGDP_D,United Arab Emirates,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",38.141,38.93,39.006,37.721,35.8,36.047,35.385,36.897,38.513,38.412,40.065,39.809,40.463,41.429,41.485,43.116,45.66,45.149,43.162,46.97,52.426,51.472,53.389,55.557,60.274,70.227,78.633,88.448,104.817,88.889,100.0,113.165,115.698,114.694,113.656,96.063,92.927,98.033,106.078,101.364,92.887,103.839,105.144,105.695,106.489,107.526,108.8,2020.0
8286,466,ARE,NGDPRPC,United Arab Emirates,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",388945.36,385778.61,336625.33,308410.0,297545.29,275329.69,213016.18,215341.72,175720.12,195712.18,243924.61,238354.55,235528.81,227322.67,227971.34,224730.92,233631.18,240146.7,220352.65,213618.33,242999.0,232752.99,225559.24,231476.44,239482.32,230012.21,206964.65,172199.07,136906.67,127748.82,128779.7,135572.64,139452.79,144217.74,148046.33,153166.11,154701.37,155256.44,156054.64,159053.7,152856.35,153981.13,156313.87,158686.31,161221.92,163969.25,166901.9,2020.0
8287,466,ARE,NGDPRPPPPC,United Arab Emirates,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",171616.05,170218.77,148530.65,136081.08,131287.2,121484.91,93990.05,95016.16,77533.75,86354.94,107627.92,105170.21,103923.4,100302.57,100588.78,99159.0,103086.1,105960.97,97227.15,94255.74,107219.5,102698.61,99524.48,102135.35,105667.82,101489.29,91319.91,75980.14,60407.92,56367.17,56822.02,59819.31,61531.36,63633.82,65323.13,67582.15,68259.56,68504.47,68856.67,70179.96,67445.47,67941.76,68971.05,70017.85,71136.65,72348.86,73642.85,2020.0
8288,466,ARE,NGDPPC,United Arab Emirates,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",148348.66,150183.98,131303.06,116334.24,106521.75,99249.15,75376.71,79455.39,67675.6,75176.67,97727.57,94885.83,95302.7,94177.19,94574.25,96893.93,106675.07,108425.0,95109.13,100336.53,127395.27,119801.7,120423.89,128601.08,144345.8,161531.58,162741.52,152306.83,143501.88,113555.26,128779.65,153421.26,161343.59,165409.65,168263.18,147136.69,143758.8,152202.69,165540.03,161223.3,141983.17,159892.16,164354.88,167723.64,171684.07,176310.17,181588.59,2020.0
8289,466,ARE,NGDPDPC,United Arab Emirates,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",40014.58,40910.92,35767.65,31690.07,29017.09,27036.0,20533.02,21644.07,18435.2,20478.53,26621.51,25847.41,25960.97,25654.37,25762.53,26394.42,29058.86,29523.49,25897.65,27321.04,34688.98,32621.29,32790.71,35017.31,39304.51,43984.09,44313.55,41472.25,39074.71,30920.43,35065.94,41775.7,43932.9,45040.07,45817.07,40064.45,39144.67,41443.89,45075.57,43900.15,38661.18,43537.69,44752.86,45670.15,46748.56,48008.21,49445.5,2020.0
