,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
8325,112,GBR,NGDP_R,United Kingdom,"Gross domestic product, constant prices","Expressed in billions of national currency units; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 09/2021",915.042,908.707,926.621,965.509,987.166,1027.87,1060.26,1117.43,1181.48,1211.94,1220.83,1207.36,1212.21,1242.4,1290.18,1322.84,1355.8,1423.25,1476.03,1524.66,1578.12,1621.21,1656.53,1711.56,1750.69,1802.44,1850.99,1894.68,1889.4,1811.67,1849.25,1872.84,1899.63,1941.16,1996.73,2043.91,2079.11,2115.3,2141.79,2172.51,1958.59,2091.04,2195.88,2238.07,2274.31,2308.67,2343.33,2020.0
8326,112,GBR,NGDP_RPCH,United Kingdom,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.056,-0.692,1.971,4.197,2.243,4.124,3.15,5.392,5.732,2.578,0.734,-1.103,0.401,2.491,3.846,2.531,2.492,4.975,3.708,3.295,3.506,2.73,2.179,3.322,2.286,2.956,2.694,2.361,-0.279,-4.114,2.074,1.276,1.43,2.186,2.863,2.363,1.722,1.74,1.253,1.434,-9.847,6.763,5.013,1.921,1.62,1.511,1.501,2020.0
8327,112,GBR,NGDP,United Kingdom,"Gross domestic product, current prices","Expressed in billions of national currency units. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from before 1980 Primary domestic currency: British pound Data last updated: 09/2021",259.663,289.84,319.212,351.051,377.644,414.428,446.635,496.14,555.607,614.524,668.931,705.464,730.578,769.159,809.486,850.181,907.265,951.75,997.247,1039.75,1095.9,1138.38,1187.67,1256.19,1317.46,1393.04,1470.72,1546.09,1589.26,1548.51,1606.03,1660.14,1711.77,1780.34,1863.01,1919.64,1994.71,2068.76,2141.79,2218.44,2112.04,2235.6,2390.92,2455.37,2540.91,2633.93,2730.31,2020.0
8328,112,GBR,NGDPD,United Kingdom,"Gross domestic product, current prices","Values are based upon GDP in national currency converted to U.S. dollars using market exchange rates (yearly average). Exchange rate projections are provided by country economists for the group of other emerging market and developing countries. Exchanges rates for advanced economies are established in the WEO assumptions for each WEO exercise. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",603.983,587.652,558.72,532.476,504.571,536.938,655.086,813.006,989.57,1007.45,1193.69,1247.88,1289.07,1154.12,1239.72,1341.88,1416.84,1558.53,1651.78,1682.59,1661.34,1639.08,1782.89,2052.79,2413.13,2535.64,2709.83,3094.59,2952.33,2421.02,2484.02,2660.79,2704.5,2785.06,3067.12,2933.43,2703.24,2664.71,2860.98,2833.3,2709.68,3108.42,3442.21,3582.34,3761.69,3959.37,4161.7,2020.0
8329,112,GBR,PPPGDP,United Kingdom,"Gross domestic product, current prices","These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.   For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",494.408,537.436,581.894,630.058,667.441,716.938,754.414,814.761,891.842,950.707,993.523,1015.8,1043.11,1094.43,1160.8,1215.14,1268.22,1354.27,1420.29,1487.76,1574.82,1654.26,1716.65,1808.68,1899.7,2017.18,2135.44,2244.92,2281.59,2201.75,2274.43,2351.3,2439.69,2560.72,2667.37,2772.58,2896.46,3032.78,3144.12,3246.27,2961.89,3276.14,3535.08,3688.74,3833.92,3976.38,4119.71,2020.0
8330,112,GBR,NGDP_D,United Kingdom,"Gross domestic product, deflator",The GDP deflator is derived by dividing current price GDP by constant price GDP and is considered to be an alternate measure of inflation. Data are expressed in the base year of each country's national accounts.,Index,,"See notes for:  Gross domestic product, constant prices (National currency) Gross domestic product, current prices (National currency).",28.377,31.896,34.449,36.359,38.255,40.319,42.125,44.4,47.026,50.706,54.793,58.43,60.268,61.909,62.742,64.269,66.917,66.871,67.563,68.196,69.443,70.218,71.696,73.394,75.254,77.286,79.456,81.601,84.114,85.474,86.848,88.643,90.111,91.715,93.303,93.92,95.941,97.8,100.0,102.114,107.835,106.913,108.882,109.709,111.722,114.089,116.514,2020.0
8331,112,GBR,NGDPRPC,United Kingdom,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",16244.31,16123.83,16461.26,17144.49,17500.15,18175.07,18704.66,19671.64,20758.33,21233.37,21329.03,21019.93,21050.73,21526.77,22297.52,22797.74,23309.92,24406.73,25241.98,25980.88,26799.6,27425.58,27903.7,28699.62,29202.5,29835.22,30430.39,30898.78,30560.96,29098.02,29465.38,29593.71,29819.1,30280.4,30910.49,31391.63,31670.62,32030.53,32238.43,32524.08,29197.4,31079.09,32457.39,32943.65,33349.77,33736.1,34129.89,2019.0
8332,112,GBR,NGDPRPPPPC,United Kingdom,"Gross domestic product per capita, constant prices",GDP is expressed in constant international dollars per person. Data are derived by dividing constant price purchasing-power parity (PPP) GDP by total population.,Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",23290.08,23117.34,23601.13,24580.69,25090.62,26058.28,26817.57,28203.97,29761.99,30443.07,30580.23,30137.07,30181.21,30863.73,31968.79,32685.98,33420.3,34992.84,36190.38,37249.76,38423.58,39321.07,40006.58,41147.71,41868.72,42775.87,43629.18,44300.73,43816.4,41718.92,42245.61,42429.61,42752.76,43414.13,44317.53,45007.35,45407.35,45923.36,46221.43,46630.99,41861.41,44559.25,46535.37,47232.54,47814.81,48368.7,48933.29,2019.0
8333,112,GBR,NGDPPC,United Kingdom,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4609.68,5142.84,5670.75,6233.59,6694.75,7328.01,7879.38,8734.24,9761.88,10766.58,11686.83,12281.97,12686.95,13327.08,13989.94,14651.98,15598.39,16321.12,17054.25,17717.81,18610.54,19257.61,20005.91,21063.9,21975.96,23058.58,24178.72,25213.8,25706.18,24871.32,25589.98,26232.77,26870.26,27771.75,28840.47,29483.04,30384.96,31325.82,32238.43,33211.66,31484.91,33227.57,35340.27,36142.29,37258.98,38489.07,39766.17,2019.0
8334,112,GBR,NGDPDPC,United Kingdom,"Gross domestic product per capita, current prices",GDP is expressed in current U.S. dollars per person. Data are derived by first converting GDP in national currency to U.S. dollars and then dividing it by total population.,U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",10722.22,10427.13,9925.57,9455.14,8944.86,9494.26,11556.81,14312.48,17386.5,17650.68,20854.87,21725.34,22385.42,19997.19,21425.4,23125.86,24359.37,26726.5,28247.54,28672.04,28212.73,27727.89,30032.21,34421.36,40252.45,41971.8,44549.73,50467.11,47753.72,38885.08,39579.62,42044.62,42453.47,43444.63,47480.8,45053.49,41177.83,40349.87,43063.74,42416.6,40394.13,46200.26,50879.45,52730.91,55160.08,57857.4,60613.93,2019.0
